,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
LogisticRegression,0.9898531302000859,0.9876310358416514,0.9604308872101681,0.9857854737371698,0.9950618955594447,0.9759421111296543,0.9910537864857392,0.9885206293212082
SVMClassifier,0.9902128501163251,0.9886827958862544,0.9599042786890841,0.9857078945228486,0.9948424055570907,0.9746356989774645,0.9915504837429645,0.9893733167341264
DecisionTree2,0.9793668704302162,0.9745451476782557,0.8911262809437157,0.9714980987339711,0.9910894892367701,0.9256553983367901,0.974833873981399,0.9783905987940048
DecisionTree4,0.994044066454563,0.9868150416024354,0.9194383497853147,0.9769415656938321,0.9975604087695342,0.9460614670203568,0.9966437827130331,0.9868961194212659
DecisionTree8,0.9668618850794978,0.9681759549326528,0.9186124260398404,0.9670508676083729,0.9802358871984008,0.941295594694064,0.9703307788362343,0.9696161527711256
DecisionTree16,0.9285078838995701,0.9622825148026953,0.9207272797471207,0.9822063396387405,0.9479803260233853,0.9424257554149915,0.9353947927191081,0.964386517812249
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.966292660848485,0.9751438252542683,0.8941016429937367,0.9744715853013904,0.9828898207093647,0.9319179986556986,0.9849917203148841,0.977772016963065
RandomForest4,0.9953011754648954,0.9871105530969669,0.9352802549875773,0.9783691066013591,0.9983233992473926,0.956378539027629,0.9968843156576015,0.9869863984378591
RandomForest8,0.9663696051619632,0.9691608153392869,0.9207518453868395,0.9674506224466006,0.9804391838215457,0.9423748629310889,0.972430499105032,0.9705459160207947
RandomForest16,0.929580524469074,0.9614154802432806,0.9221851879622495,0.9824662728100368,0.9481911888950283,0.9429446728575386,0.9364910949821474,0.9635612837983313
RandomForest,0.9999537387145149,0.9999411968119952,0.9999144405349766,0.9999858414944928,0.9999527095782069,0.9999432585044328,0.9999426660971912,0.9999577884325527
XGBoost,0.9593262297310191,0.9775345327570918,0.949199652423073,0.990300513760941,0.9695970451511559,0.9568102958699302,0.9610286085813665,0.9761570304231245
MLP,0.976757957068838,0.9817386181940587,0.9426860564585116,0.9900426742532006,0.9816466596406447,0.9609115366355436,0.9743178170144462,0.9810139503232392
LogisticRegression_err,0.0012765626778248858,0.0016446020929089943,0.0058814780308677475,0.002938008145917001,0.0007505284052214877,0.003443506883667407,0.0011234229351732784,0.0013908487410352617
SVMClassifier_err,0.0012271675913483658,0.0018278412681423059,0.0056591491480900815,0.0028038648948213287,0.0007371151135267717,0.0035842597595702056,0.001064593523246715,0.0015849958838883536
DecisionTree2_err,0.054678253041197174,0.021864484655121173,0.07466840779636279,0.014867260087940244,0.032004416536839046,0.0473952031557102,0.060062665054729576,0.0199138692637612
DecisionTree4_err,0.007705992095562339,0.008566376772180433,0.047367105152019286,0.010558393922177759,0.005268128266256388,0.031037648792788083,0.005562439907245435,0.008340918257644188
DecisionTree8_err,0.018379755122398755,0.009502024546694512,0.027954500978473126,0.00732427740380382,0.013879067149056646,0.01684960035343467,0.017656849678645423,0.009242388674794575
DecisionTree16_err,0.014743996060636026,0.004524244463627539,0.011830127535753304,0.003715068050335924,0.01180303274279996,0.007201190519254591,0.013553743956522037,0.003941494135587171
DecisionTree_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest2_err,0.0670723414196111,0.0209232672820714,0.0768063882646587,0.017489713574650623,0.04391826040565135,0.04988875924126242,0.04648450043119976,0.02065153027164752
RandomForest4_err,0.007017205768165838,0.00782097676853846,0.05050828256665108,0.011257336475350042,0.004478891141077503,0.033658078952111495,0.005355068198826611,0.007565331993520266
RandomForest8_err,0.016952176205463645,0.008151473053007575,0.0259600986393919,0.007208975739283056,0.015156365352350338,0.016539820867554126,0.016343238990019913,0.008134783899343946
RandomForest16_err,0.014011857388239138,0.004916785625192553,0.010922768652070534,0.00391780511762956,0.01097578285877762,0.006967043468833494,0.012117051570644183,0.004000532685116461
RandomForest_err,5.2747570231951313e-05,0.00011142170357885254,0.0002777084667546395,6.937941670747751e-05,4.232885992099468e-05,0.00015373192963995708,5.105215401225105e-05,7.253923242876983e-05
XGBoost_err,0.0021959551317963554,0.0021343764184719814,0.005514551450741293,0.002140807310795409,0.00184992747126635,0.003720969090193319,0.002271325828937763,0.002048148049443735
MLP_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
