,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
LogisticRegression,0.9087734757999383,0.8856776624486156,0.9533538456342234,0.9918011408702401,0.9309161889845278,0.9701217699429695,0.9257026312154382,0.949621408418966
SVMClassifier,0.8933900225360917,0.8686140884661927,0.9483114492574662,0.9878612933195459,0.9233983784333365,0.9621545914403749,0.9110273576456659,0.9407695228378056
DecisionTree2,0.8069454096255414,0.7946145457837186,0.9021516856941715,0.9900159579360651,0.823611304035086,0.9599037091506376,0.8974393753373654,0.913282200659504
DecisionTree4,0.7955470203019191,0.7767939465501392,0.9147743765338586,0.9832998587871467,0.7931458507307565,0.9568456782923171,0.8432043126279696,0.8992235622502863
DecisionTree8,0.8895058598426573,0.8884427685803815,0.9784957571342606,0.9981009163457999,0.8777842979236802,0.9868577404065425,0.9127148288463958,0.9514542525701885
DecisionTree16,0.9991618179682201,0.9991456444549395,0.9999705014749263,1.0,0.9980428884155166,0.999900668454755,0.9991110510304457,0.999610998839116
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.8137162397453657,0.7974352822404963,0.9039523683387982,0.9903105927256516,0.8415756975989954,0.9607989671100613,0.8976761904432392,0.9080522839259103
RandomForest4,0.795602080617759,0.7732575839584519,0.9163230023508869,0.9830388261152856,0.789560132421676,0.9569264912270316,0.8485376539814363,0.8975887612264354
RandomForest8,0.8865815152136709,0.8975169646566852,0.9786665403389953,0.9981324848307368,0.8768936745322421,0.98761993211076,0.9084320729911489,0.9533364034840761
RandomForest16,0.9982716270318481,0.9989380162042508,1.0,1.0,0.9973196386395705,0.9998596805106278,0.9987873233095308,0.9995394810393767
RandomForest,0.999983164983165,1.0,1.0,1.0,1.0,1.0,0.9999894514767932,1.0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLP,0.7824675324675324,0.922077922077922,0.9550561797752809,1.0,0.6343656343656343,0.9969788519637462,0.73559670781893,1.0
LogisticRegression_err,0.014429070784162185,0.0249185989796505,0.01485566221270176,0.004485838609114045,0.013498668419009532,0.007782526622693182,0.012307164667372843,0.009280781441845784
SVMClassifier_err,0.017621335578154037,0.02326494583928195,0.014865399238811588,0.005186391019197277,0.011990714911432027,0.00701064774242134,0.014012871020299873,0.011178347600999457
DecisionTree2_err,0.12297433984831115,0.157788838787555,0.04172802611054643,0.015545104341948465,0.1354576433957287,0.019741865744972116,0.0867172737540271,0.06792641523578577
DecisionTree4_err,0.06368731426746893,0.09531236746662144,0.025419241334374003,0.009084701938852245,0.0691800160300296,0.014542908621126274,0.056878750311056436,0.03441756986417571
DecisionTree8_err,0.03348130677279955,0.0460597036362149,0.01338967959348242,0.0032351815350062114,0.03788721526328864,0.008303781034938442,0.028478012353378337,0.018574821180857546
DecisionTree16_err,0.0027783331895253538,0.0032693648815084854,0.0002935066186155261,0.0,0.004097677101311605,0.00054712867918229,0.002379107376450851,0.001675335587996076
DecisionTree_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest2_err,0.13826308994567701,0.1550892296769352,0.04327070183246366,0.013280140903777903,0.1218641477476881,0.019615521349642787,0.08956359519435876,0.06809342519595994
RandomForest4_err,0.07529247975176787,0.08987624635063242,0.02697426072719943,0.011296782011658827,0.07389363795628798,0.014484157844560116,0.06447324362285815,0.03461753658769195
RandomForest8_err,0.03733365194546326,0.04920758845581617,0.01366948575456199,0.002778154713095976,0.036645157837387976,0.008212421257902731,0.02502759139512263,0.018307635984574796
RandomForest16_err,0.004825025484738134,0.004151954027925317,0.0,0.0,0.005697121996493015,0.0006118292485904989,0.0032756328553957496,0.0019369716181935667
RandomForest_err,0.0001675063025432068,0.0,0.0,0.0,0.0,0.0,0.00010495648070745361,0.0
XGBoost_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
