,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
LogisticRegression,0.9432587983062531,0.9283606331056201,0.9592368474878392,0.965383078951491,0.9312606677274704,0.9657099600204451,0.9790269179768163,0.9395577620934745
SVMClassifier,0.932013167597041,0.9286725510090862,0.9575003338294639,0.9595029357344964,0.9161164653934704,0.9649718287554958,0.976064284674826,0.9364498722024059
DecisionTree2,0.8790843414835285,0.632843689979405,0.6913772238265636,0.7762551388211861,0.826114042494836,0.77293301590645,0.894831563782596,0.726106352861612
DecisionTree4,0.8535070408077439,0.7973246958373632,0.8581750466510739,0.8682743814739426,0.8526988222271479,0.8822019411692962,0.9078811417198774,0.8375497833129972
DecisionTree8,0.8546544358528364,0.8285977006535887,0.8546490274720129,0.8730852076236176,0.8555842767733333,0.863903255810174,0.8786775273576386,0.848448913439574
DecisionTree16,0.949498077573748,0.97603878452374,0.9503314432383091,0.9716884520181952,0.9469302594430462,0.9487298222252621,0.9474259291077316,0.9690845936350353
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.8916812146389066,0.6274536134104308,0.6985254481636587,0.7892966191261059,0.828860515837244,0.7803016385895835,0.8984835198682933,0.717945950553633
RandomForest4,0.8617934398751105,0.8022567615173566,0.8688911618332082,0.86928105821471,0.8615372033183053,0.882092070260464,0.9116247518532612,0.8525414703027886
RandomForest8,0.8571669130404441,0.8262397181909868,0.8472482598505411,0.870147078897706,0.8556516822221347,0.8599627988297904,0.8795161932248196,0.8504079988514742
RandomForest16,0.9518345573724006,0.9750761479859787,0.9515951357486426,0.9734664939395374,0.9466700435308288,0.9496863885240083,0.9483387252870831,0.9697841092782354
RandomForest,0.9780746844267508,0.9840621205560882,0.9801732836514543,0.9896242306090186,0.9809692382680473,0.9817950907575269,0.9787176840898764,0.9860799612631275
XGBoost,0.9255789225675732,0.9190903568019343,0.9250629260539641,0.9335806156023062,0.9229433801240313,0.9265784207771004,0.9383842714086771,0.8982511702124236
MLP,0.9819316688567674,0.8849693251533742,0.9495495495495495,0.955585464333782,0.9637445887445888,0.9536668561682774,0.9793778999828149,0.9225806451612903
LogisticRegression_err,0.018692822038423075,0.02271148210246836,0.008454141118706068,0.01399261648065102,0.018198753403017926,0.0066478566277640965,0.006701241487245231,0.016840950888213985
SVMClassifier_err,0.019340335359474672,0.019765446451669954,0.007891903477025305,0.015319741173357614,0.01867267642570195,0.0064694493158280715,0.00796493775444013,0.014911700169580147
DecisionTree2_err,0.09392062378746419,0.11816794393507131,0.13289977250625024,0.09995766859003691,0.1039065327589751,0.13847195846727708,0.10957496992981525,0.09778575787731848
DecisionTree4_err,0.05689054943445041,0.06250299148254783,0.050182337746651935,0.04712474035510487,0.05294150327535809,0.04539595613455303,0.04974577519970306,0.04468339943181977
DecisionTree8_err,0.03251398670622138,0.03641028977442306,0.029949240562792884,0.02744795515924575,0.028449505413918857,0.026117195929070913,0.028800253690583543,0.02054502525519575
DecisionTree16_err,0.012294301583345402,0.014252119752499168,0.01086009486154766,0.014741194091728882,0.01219422161934196,0.01113254419113027,0.0102485986912216,0.012252005279313728
DecisionTree_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest2_err,0.09437776273254476,0.11258491030860711,0.13449124383709982,0.10830721862882631,0.10453534984419412,0.13965879276302157,0.10780028222939778,0.10112919418962521
RandomForest4_err,0.05001420755578767,0.06878071298391321,0.04145517305894908,0.04068703943424912,0.05503975742243248,0.04642373838845779,0.053230121155162916,0.04697714057823312
RandomForest8_err,0.03496383081322404,0.040934367914842715,0.02891926513292049,0.02572959714047229,0.0282364739676077,0.027909785268930707,0.028770250654004088,0.026118453440922777
RandomForest16_err,0.01067518943992069,0.016345291519471818,0.011655653766649001,0.01167801354478822,0.01243816185042291,0.01047169292905996,0.010363325577360836,0.012887599025975905
RandomForest_err,0.007052806849431777,0.010180446347973883,0.006044443688464109,0.007890212053830305,0.0052560553673536735,0.005342984123759124,0.00471014393694546,0.006072743395101428
XGBoost_err,0.012850707622551992,0.01973612229442222,0.009110786943073207,0.015529815203392267,0.011694087701123691,0.009486841066919247,0.007380500804816374,0.015207705402634095
MLP_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
