,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
LogisticRegression,0.9508183261262247,0.9692913728562723,0.8754700287547003,0.90559186637618,0.8778761061946903,0.8225039619651348,0.9400389060533242,0.9605875742494783,0.8705035971223022,0.881159420289855,0.8607685433422699,0.8559538092381523,0.9406727828746178,0.9418926397343663,0.9566830416538737,0.9524445878070135,0.8255497899678774,0.9363735070575462,0.7822141560798548,0.862015503875969,0.9750287326298193,0.9190607259590573,0.9064516129032258,0.8722044728434505,0.8396921830700689,0.913882275675232,0.9588918677390528,0.915282392026578,0.9586138892801803,0.8853383458646616,0.9179650781895349,0.9470614035087719,0.9837669422689911,0.9093851132686084,0.8394648829431438,0.9551823371231778,0.8908507223113965,0.8625947973579059,0.9478500871586287,0.951950618040345,0.959582192374887,0.9445766408883601,0.9501671264855688
SVMClassifier,0.9556078603098145,0.9712065813528337,0.8568900685689007,0.8961510530137982,0.8849557522123894,0.8446909667194928,0.9433573635427395,0.9605073045432654,0.8812949640287769,0.8985507246376812,0.8468275245755138,0.8573035392921415,0.9452599388379205,0.9463198671831765,0.9616211237334971,0.9555089627206119,0.8047936743266617,0.9374592833876222,0.7695099818511797,0.8821705426356589,0.9772228607251071,0.9224152761052813,0.9129032258064517,0.8690095846645367,0.8308626974483596,0.9163451276578277,0.9680518319928507,0.9190199335548173,0.959825327510917,0.8898361976369495,0.9226080268892244,0.9478508771929824,0.9865674175011517,0.8907766990291263,0.8553511705685619,0.9585318677171298,0.8956661316211878,0.8521976677811303,0.9516269610691458,0.9536201694058541,0.961663796201073,0.9466587348800317,0.9521301994906621
DecisionTree2,0.9878078980156572,0.9602466220019855,0.5311619243237226,0.6041608090445701,0.9583291421990316,0.9657094898774521,0.9845848100230314,0.9850392948390556,0.9186556050717876,0.9229326573315201,0.7910913512731719,0.7144739347917454,0.9650257476677093,0.9575294717071613,0.9807616659539485,0.9593035259242114,0.4874147081743786,0.6531212033911467,0.9600229483630962,0.9879738801561004,0.989108456263305,0.989568382962089,0.9422920774247551,0.9149166813857573,0.7201375117981277,0.7807419450171313,0.959562556494006,0.9745740940943987,0.9829541107778081,0.9682538279644928,0.9838674872655397,0.9736468316385231,0.9936173925087592,0.5512079755393713,0.9526017528539203,0.9858976914081222,0.9160566515373502,0.759089005534187,0.9707867822189792,0.9938872802662231,0.967417265697193,0.984346020313252,0.9684857649183165
DecisionTree4,0.9743103195750852,0.963693123737286,0.8081821247839095,0.78042473632314,0.7990119374841254,0.7926570775411155,0.9593002343873965,0.940353765914925,0.806862419810884,0.7925749824102108,0.6648122994089357,0.6818959401804632,0.9019625755481225,0.898575692053863,0.9796469086908391,0.8708895553917145,0.8148392723789203,0.7638818213310057,0.7965013543224521,0.7757434168799695,0.9812870718481258,0.8633017548695321,0.854667912417002,0.7295399635782778,0.5603348259233989,0.9147523251333942,0.9272217949879635,0.832330657037742,0.9770841964013397,0.8131679519358497,0.9680656422844187,0.8901024663722591,0.9887034215549142,0.7969945736094185,0.7917672932406363,0.9556834185604629,0.7976056037445018,0.67353855846331,0.9011270330996856,0.9767585604988775,0.9665866594199582,0.9777286886776047,0.8718291297920032
DecisionTree8,0.8544497118981377,0.8804805176686287,0.7773465311414138,0.759379741656007,0.7521217924686695,0.7010975559417862,0.8671742976408955,0.85213998126893,0.7493700262094144,0.7435725455002193,0.8507474053192173,0.8017092203208778,0.847744146005863,0.8345097488188626,0.8774148157717638,0.8884895359686104,0.7517676189649187,0.7911977770654359,0.6274437572022762,0.7672376623258528,0.9340279397636965,0.8618180875523754,0.7229424774342469,0.7344014764571531,0.8288513526280689,0.8441355407834061,0.841422907095584,0.820441834365578,0.8392856583091366,0.871206548149732,0.834867550182602,0.913398097604403,0.9000148435539108,0.7813693218971135,0.7165780161400737,0.8502161909288932,0.7317357799703927,0.8096832909085316,0.8392416534787324,0.8638550776179206,0.862641545794906,0.8608900333737042,0.8819996917041679
DecisionTree16,0.8585654717376633,0.8688996027085942,0.8157190666358161,0.833093987823482,0.8348954755799513,0.8274890226586669,0.8579029375113437,0.8831454654761351,0.8510041890332823,0.8632749569202935,0.8215347211762155,0.792060224475981,0.8677486256554359,0.8645163890911008,0.8719802083904316,0.860854499800844,0.799321133798674,0.8509973828914745,0.7868843961843622,0.8867570866136214,0.8922248200399773,0.8694150371374372,0.8454185861537709,0.8924473165581541,0.8106278596417433,0.8094276242176758,0.8698045563181502,0.8817804141805732,0.8681958473433853,0.8326765892294056,0.8503837675628325,0.8736389466015575,0.871977305058032,0.8137434611544857,0.8079916231702055,0.8671746520140923,0.8354285915368882,0.8052275245212279,0.8562881304963302,0.8521287578765324,0.8649301602905937,0.8648958841942342,0.8535995279819558
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.9894028894039956,0.9608767678932106,0.5356491761684192,0.6065511784583765,0.9534100954358786,0.956207690290309,0.9836399146611172,0.9836949188821751,0.9404525482464499,0.9486008423157064,0.8056781746097809,0.7335056359503908,0.9647250752571972,0.958832884812146,0.981054666360939,0.9592564822432287,0.49044659169529387,0.6593000352634476,0.954920131811599,0.9815134791046377,0.988348756360202,0.9907159359892976,0.9488055832862543,0.957418613677394,0.7403561543936522,0.7944352931902108,0.9598331250461459,0.977657025514011,0.9797889043392171,0.9674570827094526,0.9826898003406118,0.9713838197347462,0.9961613321503208,0.5543792495792378,0.9465984220563668,0.98450327408031,0.9378211166309828,0.7768600302911932,0.9695098065520068,0.9913176330612318,0.966261108582269,0.9815263845602487,0.9657750514416528
RandomForest4,0.974157118306821,0.9653441967790828,0.8066958576081867,0.7815364994017532,0.8083847631989148,0.7871060802767679,0.967976871854267,0.9505935752474461,0.8041399783043583,0.7848649606489981,0.6693612212918076,0.6891444574346981,0.8982666569728442,0.8920404044102835,0.9787210227337282,0.8716911765098502,0.8154471864866092,0.7614872587468539,0.8066640639084116,0.7766727812870207,0.9838287358310667,0.8765685798613696,0.844323593063684,0.7392600683501765,0.5619566028860729,0.9234026012981239,0.9196343029081312,0.8281942033591377,0.975984384635392,0.8134441160411439,0.9686086014635988,0.8905811411949035,0.9901457158393636,0.7973934562464912,0.7990288687508663,0.9669744988141225,0.7922642911649979,0.6799105104176103,0.8955833286409739,0.9779178728551214,0.9677905126572081,0.9773603766282385,0.872608045304007
RandomForest8,0.8524839403322821,0.8814303479890312,0.7646232796941206,0.7592088561317332,0.7456915823252206,0.698837034734563,0.8707960281205483,0.8528693341289366,0.7465961486726578,0.7357432943864305,0.8574376398839278,0.8020295533570799,0.849403319428326,0.8347713828175714,0.8827178162881694,0.8929670517034978,0.7566572782510397,0.7934546758535777,0.6400201758905965,0.7640847705595704,0.9354675059593894,0.8644810528382229,0.7164875720218989,0.7361531228194296,0.832576401639974,0.8433933326872427,0.848991787411808,0.8228883550468242,0.8415703542400658,0.859468036099849,0.8375651957472019,0.912377698132632,0.9023943783852073,0.7776004623898316,0.7189350440986942,0.8542224580828532,0.725327672476148,0.8032187997692148,0.8442874554322465,0.862997773938616,0.8601889469681404,0.8640839700424627,0.8847672506792315
