,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
LogisticRegression,0.9602969827813175,0.9827229827229828,0.8852306547619048,0.8306150186884131,0.845360824742268,0.7299270072992701,0.8363171355498721,0.8674401382374722,0.7037037037037037,0.8421052631578947,0.822007722007722,0.8081542351453855,0.9247422680412372,0.9021097046413502,0.9624003750586029,0.93687237147026,0.7707617152162113,0.8917175239755885,0.7719298245614035,0.7416666666666667,0.8812351543942993,0.7764366308055628,0.8205128205128205,0.7692307692307693,0.725018504811251,0.823394495412844,0.9066467513069455,0.8480392156862745,0.9434695560004711,0.8605647653835347,0.9016290368676765,0.9306891379158211,0.9833079404911275,0.8647664713194815,0.7735042735042735,0.8633514417049728,0.7846153846153846,0.8023983315954119,0.9169373549883991,0.9532641424819015,0.9675804885336521,0.9260956579748818,0.9247737250013549
SVMClassifier,0.9655626349323364,0.9843999843999844,0.8703497023809523,0.8188922867821951,0.8350515463917526,0.7226277372262774,0.840153452685422,0.8807701802024192,0.7037037037037037,0.8421052631578947,0.8142857142857143,0.797724399494311,0.9278350515463918,0.9012658227848102,0.9648382559774965,0.9375590078104884,0.7562873168083951,0.8936355710549259,0.7631578947368421,0.7333333333333333,0.8907363420427553,0.7827341905011808,0.8205128205128205,0.7692307692307693,0.7079940784603997,0.8247051114023591,0.9118745332337566,0.8406862745098039,0.9457661052879519,0.8614779432424838,0.9084881394684196,0.9301597105797229,0.9879234629861983,0.8482507547504884,0.7564102564102564,0.8732413985234713,0.7846153846153846,0.7914494264859229,0.9262180974477958,0.9551540777756422,0.9691242747939544,0.9324767236128434,0.9250176142214515
DecisionTree2,0.9960880720897726,0.9969496090441161,0.3775263095452588,0.37968035887567153,0.902173556933661,0.8782718312680737,0.6599841174537109,0.6574069208103919,0.7563379433835806,0.7710768984136723,0.5582530359690812,0.4573548039462058,0.950810211000457,0.9552900012613847,0.9762238446647404,0.9963375977030888,0.2416015304961641,0.49702201586242123,0.9049895267580814,0.8695137703638426,0.769827440775943,0.5510310620939356,0.7991335254978875,0.6711481630762053,0.39490165505593666,0.5901787318111967,0.9450125596193791,0.9536308318886075,0.9782827177088464,0.9993002038054205,0.9775979469904477,0.9990717566308569,0.9964075017291525,0.37945733605122944,0.8878766685717074,0.6584127688580089,0.7645024675954527,0.502738583689839,0.9529299429268137,0.9984842813115197,0.9992543463508892,0.9780447636098747,0.9986763703186747
DecisionTree4,0.832858284011718,0.9869724510162176,0.8369232629543485,0.6338645213273782,0.7292163233274607,0.5379397011606427,0.7191267063630454,0.6951955834130246,0.6818670511705797,0.5295210986605791,0.7070826971624328,0.6777496912361626,0.8150253789783125,0.5929202533707039,0.9762889383987811,0.8618963755788688,0.7520145405011734,0.8811629334759256,0.6778186046594412,0.6745954217012833,0.8557502272297076,0.5698011509640117,0.7233426321936208,0.777795976553593,0.5308789351352131,0.7417014848506726,0.8139004291752228,0.7177976237242045,0.894069926275186,0.8241790635558054,0.7819631281358334,0.7989103491056423,0.9879185041433907,0.6744381429059706,0.6231783846195146,0.781864562289718,0.5580607241710337,0.6653132864062141,0.6422441269767131,0.7614769437309112,0.9389466643648938,0.8332554156618389,0.7961500721234256
DecisionTree8,0.8968113403550094,0.9284209704966969,0.8181132777960041,0.7974477777368014,0.7563827592959934,0.6710692895410802,0.7629005029380852,0.7816763186370264,0.7062036080847409,0.8001351616318882,0.7549456253980176,0.7047110460347296,0.765431711486871,0.7424670362128615,0.927307036613456,0.9060796182129315,0.7911271821126437,0.8465620009060659,0.6714186189100788,0.7331255063293631,0.7866482623134202,0.8088664391755575,0.7261656466066134,0.7707968253723465,0.6797191678737399,0.7636445638020714,0.7390015226697517,0.7514397927716953,0.8679156870209787,0.8595246636797037,0.8540461566255577,0.8916531864868612,0.9330951405014646,0.7925265768006645,0.6726193067902279,0.7774948361990833,0.717725112047882,0.7052770909114909,0.7353885211854854,0.8582772838095771,0.8746139931577668,0.8734899595302746,0.871169353211112
DecisionTree16,0.8957507381318881,0.9206940701131895,0.8472950450132686,0.8488265179802882,0.9020134927238853,0.8859016616602123,0.849146821749182,0.8287347187522082,0.8884779369930067,0.9358022440744592,0.858505502839742,0.8188331178691004,0.8689222341760642,0.875060639231863,0.9262941440916492,0.9024443570113114,0.8237201453235515,0.886981655054426,0.8650175818463705,0.9164313586574364,0.8417252419376503,0.8506304880257811,0.9194567526289625,0.9339227756076312,0.8272053845433761,0.8651271387753147,0.8567619175230132,0.9130925823084352,0.880813529834581,0.8698958789359579,0.8740701711871948,0.8914094961826815,0.9550388507096603,0.8334137342744192,0.8659313057460695,0.8215379529021647,0.8957429267904687,0.819311289125245,0.8504198940005868,0.8656074009279119,0.8811649399098223,0.8890535691361936,0.8752088290539213
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.9983761723435591,0.9980140456668667,0.41953743500274265,0.42124221188575917,0.894643036194312,0.8653645719825309,0.6974452807408406,0.6887951753595212,0.7632679424367942,0.7861222396216259,0.5660805458946636,0.46415328014411983,0.9525244747742738,0.9600231682526289,0.977758989660959,0.9964533172399667,0.29317142523072287,0.5262106915072372,0.8827626377369435,0.8614789368858204,0.8038901008173943,0.5837388428864368,0.8314607913466142,0.6783151512724019,0.4042865425949598,0.5940694725189349,0.9503947835344404,0.9560369470632453,0.9796862628103138,0.9953234505978658,0.9784506758292545,0.9951044324322461,0.997643184216837,0.421425853406743,0.8770887004998177,0.6921391301548105,0.7756713521472882,0.5103200064345857,0.9560644788311857,0.9987153684824325,0.9972669110332333,0.9795251959427492,0.9942864729176571
RandomForest4,0.8372248152617296,0.9894178517346933,0.8593264368061407,0.620356156590517,0.733891919325427,0.5256450583859165,0.7234088048810585,0.6860353612867088,0.6708200011027091,0.5051789565515006,0.7081734883249382,0.6631513304687673,0.8084201118954415,0.5992639510685897,0.9792537646834609,0.8644270076540953,0.7618885087847059,0.8689429201213781,0.7082087485790995,0.6572450017174835,0.8617386415438726,0.5678420834406877,0.742569142991654,0.7826498208439482,0.5112232787145669,0.7559546750321765,0.8204385126639083,0.7210490126936732,0.8994018714371763,0.8181067668890155,0.7732332446486371,0.7985485092134834,0.9890992613498665,0.6625491242952473,0.6266768020461455,0.7778642641445161,0.5530342897460677,0.6528388332135754,0.6462237014534291,0.7684044985682393,0.9374902500102393,0.8301449327102856,0.7975161718846284
RandomForest8,0.8929793172180724,0.9280484531530042,0.8207436130639888,0.7953340541076279,0.7415289498735984,0.6714751843257512,0.7622743321787147,0.7869656648465997,0.7005758918999336,0.7961118637198811,0.757318605381354,0.690830673334458,0.7792615151652257,0.7409280047983613,0.925764053946713,0.906646591552777,0.7900887467178719,0.8456471177473243,0.6611758809591309,0.7316288994004921,0.7841581137040321,0.8067271668963737,0.7092679133397728,0.7684307865476515,0.6883654288506139,0.7600660206580561,0.7571827199832442,0.7488975703991688,0.8657610387452428,0.8593328807740166,0.8551920182566031,0.8910911211761292,0.9310850002111809,0.7936999589998923,0.6653310111654723,0.7768123434069991,0.7041363311494933,0.7147961509547248,0.7299887134930683,0.8551266828312558,0.87317609330235,0.8689146300027543,0.873622389677857
