,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
LogisticRegression,0.968514214765528,0.9858565180980738,0.9590970807875084,0.9640445644834571,0.9411764705882353,0.9484978540772532,0.9686296092460099,0.985278276481149,0.8421052631578947,0.8636363636363636,0.9601670414391262,0.9575589459084605,0.9433962264150944,0.9593908629441624,0.97918637653737,0.9816286249304115,0.9569657184536834,0.9592545799115604,0.9637305699481865,0.9157088122605364,0.9719152854511971,0.9843621399176955,0.8297872340425532,0.8596491228070176,0.9539270253555968,0.9692881745120551,0.9587965990843689,0.937007874015748,0.9748805868304333,0.9550329627078619,0.9717803578068834,0.9823734994681659,0.9948386403043051,0.962762356127285,0.9537444933920705,0.9767492394611038,0.8653846153846154,0.9601071747543912,0.9567779960707269,0.9707132087540549,0.9864117111437977,0.9786153491007534,0.981796321692247
SVMClassifier,0.980357199707109,0.9916953568437703,0.9631704005431093,0.9638757596218771,0.9547511312217195,0.9484978540772532,0.9658778205833792,0.9802513464991023,0.868421052631579,0.8636363636363636,0.9521362030195952,0.9603328710124827,0.9536878216123499,0.9637418419144308,0.9773802356583814,0.9780353256743762,0.9682713347921226,0.9636765634870499,0.9585492227979274,0.9233716475095786,0.9700736648250461,0.9790123456790123,0.851063829787234,0.8596491228070176,0.9573283858998145,0.9569460390355913,0.972531066056246,0.937007874015748,0.9776953258273626,0.9618714946374102,0.9796306243027724,0.9838930253760827,0.9964918883318324,0.9648781313473257,0.947136563876652,0.9756627553237722,0.8557692307692307,0.9575766597201548,0.9544204322200392,0.9799195869694339,0.9912971912866849,0.9780067574657405,0.9801431496684263
DecisionTree2,0.9503010755313066,0.9992678561041543,0.9616677180982003,0.9221186652206212,0.9277583760467053,0.9216755947429247,0.9715180167443624,0.9664168741621642,0.8273522617820607,0.861220464718218,0.951653232341918,0.9801055034864605,0.9339988446242002,0.951344535328839,0.9609571191766924,0.9558400516509107,0.9429217188847723,0.9384161597339384,0.9533958728512217,0.9078864971571905,0.9880211314023978,0.9597636747788036,0.9063917995504799,0.8182049633134956,0.9701418226890027,0.9472113548769482,0.9305784989065916,0.9319477185844373,0.950599640668068,0.9508836401734247,0.9673633255645642,0.9595038329100913,0.9935976881823052,0.9221584149524209,0.9078187854397024,0.9663569802279192,0.8385694503868614,0.9768252770478837,0.9437200483743137,0.9566064813783722,0.9932318145132012,0.9593431363376353,0.9631972664824333
DecisionTree4,0.993916006641702,0.9972563959778422,0.9312584566123738,0.929972463131562,0.9253475885199945,0.957904095182416,0.9821597726637976,0.9869822526525618,0.7861368606843403,0.8531232965518731,0.9781231803948017,0.9818685538979254,0.9497141166985398,0.9667415608503833,0.9835126007476874,0.9869440780545617,0.9327745450384338,0.9127845022078076,0.9597816076143773,0.9299013039210486,0.9797496069719945,0.985386774614126,0.835132191231442,0.821992510357199,0.9679804670995382,0.9860629784886098,0.9620203761257868,0.9524573116716907,0.9820072023521569,0.9718161567692242,0.9866513334296765,0.9950653950014489,0.9980605499328407,0.9323242189625748,0.939780437401268,0.9851692199430702,0.8279690175591086,0.9789717759547188,0.9575547366433632,0.9947252336477099,0.9974240997561621,0.9821258033943249,0.9871313789697365
DecisionTree8,0.9591643463620386,0.9756327563722215,0.9177700808733219,0.9059265290615862,0.900587765234307,0.9037208926267023,0.9595402066032647,0.9735225598191373,0.8083335022804861,0.8243235611466386,0.9328717169116697,0.9400111236649843,0.9077168340027879,0.9162410623075438,0.9676398997282354,0.9545999813205893,0.9208241760031426,0.9055577844770184,0.9208494705163417,0.8852572116522605,0.9699266310773653,0.9618832906249775,0.7732699237173066,0.8769149149051556,0.9218257644205926,0.9514985055012198,0.9237724714088283,0.8999563463623249,0.9624493856287702,0.9312249278324626,0.9655179975843657,0.9600919904942445,0.9775094577838855,0.9134937947248453,0.8968850426195197,0.9679492361061616,0.8081240939098652,0.9388448574340074,0.9124740335835355,0.9615619400499494,0.970782080629417,0.9691963381549589,0.9569236468388739
DecisionTree16,0.9492602961388715,0.9500632701655897,0.9427109700463272,0.9274407797462421,0.9588006980931583,0.9570061832750347,0.9608637141544628,0.9649226158876334,0.9301583359313322,0.9649903848194819,0.9526111043400249,0.9442765836465251,0.9528023472333215,0.9438121842850447,0.9460984756739872,0.9498294706585686,0.9209160858414773,0.9415152738428761,0.9511970792621267,0.962870881070031,0.9663516993551542,0.9640306698304587,0.9206580557755634,0.9779531790360797,0.9330866097585668,0.9606451065508138,0.9366729076277887,0.9617704055564904,0.9487015817481387,0.9411026012168671,0.9378169216515437,0.9558922318504607,0.953637783501475,0.9240467869228896,0.9422731372617147,0.9582466294597264,0.938245013098664,0.9409437239014704,0.9352739641492737,0.94665325560588,0.947071312150893,0.9445187899990165,0.9485877473945705
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.9541201097240508,0.9984796158017685,0.9565142133864174,0.9228006566185631,0.9277571847781669,0.9215293463198065,0.9680973898357272,0.9668723052480134,0.8110710097126009,0.8657675960432785,0.9549720822059888,0.9875001689834657,0.9248894894549848,0.95901914886282,0.9612161739535793,0.9677149742873479,0.9431419150613494,0.9234206293315146,0.9525181904121973,0.9013758659522337,0.9873862255764808,0.9570948880903062,0.8962865809262379,0.8170407840474162,0.9684714817831107,0.9569843162243835,0.9324036774499627,0.9381772965031097,0.9508853176299514,0.9595525011523052,0.9669474063596052,0.9712198086463831,0.993546186367501,0.9219372739420851,0.913431208670938,0.9666762101257703,0.833939891696974,0.9823902916502476,0.9519929848997173,0.9604180524361853,0.9950792926858513,0.9595518472799485,0.9753291462725561
RandomForest4,0.9938450378546545,0.9970586860781885,0.9314793308406557,0.9282681171115865,0.9295468157966928,0.956473589123075,0.9822879623301303,0.9865586668608362,0.7907521841012585,0.8335699356248046,0.977715078808273,0.9821763833995205,0.9482128349761836,0.9646027979449987,0.9828664927732267,0.9863028552212562,0.9354750192031331,0.9070216293864449,0.9586713423633979,0.9322424875778578,0.9799517556326245,0.9850434155954753,0.8073080355031229,0.8239087351724629,0.9671749608374958,0.986804314962816,0.9569080749688841,0.9545905026744214,0.9808819833258738,0.9706949932266654,0.9859991198429491,0.9948501250716191,0.9975490273999849,0.9319287097784327,0.9421094393475117,0.9850295665129873,0.8172461712548116,0.9793684540275958,0.9565560407241602,0.9944528692092293,0.9973120242500787,0.9818411303508633,0.9866709001160084
RandomForest8,0.9574469551940328,0.9759761888509731,0.9190291429697861,0.9089061491693146,0.8981782689892935,0.9082415561163302,0.9583247363522142,0.9716528296406122,0.799905876816512,0.8234179632624324,0.9323112104691651,0.9380068934752621,0.9074108449575046,0.9193594103272342,0.9674831274494352,0.9554551943629113,0.9235315642733513,0.9027536915345594,0.9176697656935408,0.8900230880828229,0.9690837416366285,0.9613140151880605,0.7748262971515716,0.8694115923591338,0.918324622163669,0.9518662463852797,0.9206751700775365,0.9045719569248314,0.960433014342131,0.9339525919760446,0.9657974138608432,0.9607218615921682,0.9768439161681722,0.9139080381785558,0.8975943366708092,0.9666251292446449,0.8108977773131731,0.9361336490160211,0.9121766047649952,0.9605654312656682,0.9701934581663458,0.9683868165621446,0.9594161184571378
RandomForest16,0.9479065851705712,0.950698959303518,0.9420331952582122,0.9253703418223285,0.9592820472639134,0.9537159708996426,0.9622518847443504,0.9658423701415667,0.9331982560438453,0.9623409882848611,0.9514563946575177,0.9451041827280681,0.9528969242864137,0.9446382133018046,0.9456053370180908,0.9494379095278923,0.9177688020435706,0.9420037477638481,0.9493950189725407,0.9607214194366097,0.9664786072820984,0.9642479201507301,0.9256714458097295,0.9779366738394251,0.9321713222995075,0.9607934412805179,0.9360798634604268,0.9618391801079441,0.9482082721116274,0.9404587489003421,0.9364758368951107,0.9560336439688649,0.9536046930718214,0.9247677974105747,0.9398810440306863,0.9583312692587497,0.9338679350119563,0.9408034585994688,0.9339263490167293,0.9461271279823751,0.9469744526591015,0.9433957551756715,0.9486251445592855
RandomForest,0.9973576135748623,0.9961151949381223,0.9943991853360489,0.9951046590141797,1.0,1.0,1.0,0.9992818671454219,1.0,1.0,0.9967876646321876,0.9977808599167822,0.9879931389365352,0.9978245105148659,0.9934061523465497,0.9984310946910269,0.9916119620714807,0.9987365761212887,1.0,1.0,0.9972375690607734,0.9983539094650206,1.0,1.0,0.9891774891774892,0.9994259471871412,0.9882275997383911,0.9980314960629921,0.9947543500511771,0.9992128308570304,0.9931413461141181,0.9978422732107582,0.9967472681084423,0.9965301286391334,1.0,0.9978270317253368,1.0,0.9944924084548973,0.9948919449901769,0.9966418421894275,0.9954647334874274,0.9925919707876015,0.998403186113355
XGBoost,0.9764413740409411,0.981529729226761,0.9470468431771895,0.9388926401080351,0.9095022624434389,0.9184549356223176,0.9521188772702256,0.9687612208258528,0.8947368421052632,0.9090909090909091,0.9498875682621266,0.9575589459084605,0.9313893653516295,0.9202320522117476,0.9809065107078352,0.9805152082595273,0.9556892778993435,0.9414087176247631,0.8963730569948186,0.896551724137931,0.9746777163904236,0.9584362139917696,0.8936170212765957,0.9298245614035088,0.9477427334570192,0.9606773823191733,0.9404839764551994,0.9232283464566929,0.9785909245991129,0.9668896979238414,0.9712432343097963,0.9802765537152408,0.9830508474576272,0.9405890318212593,0.8854625550660793,0.9578444154715341,0.9038461538461539,0.9474545995832093,0.9127701375245579,0.9726550006853383,0.9788821180920362,0.9763698558267403,0.9773628149010914
MLP,0.9742765273311897,0.9879966502279706,0.9319416157501698,0.924206617150574,0.9230769230769231,0.9527896995708155,0.9757842597688497,0.9892280071813285,0.868421052631579,0.8787878787878788,0.9335046578862833,0.9425797503467407,0.8979416809605489,0.873821609862219,0.9852068461339984,0.9798066703780556,0.9456601021152443,0.9052432090966519,0.9896373056994818,0.9195402298850575,0.9884898710865562,0.9736625514403292,1.0,0.8771929824561403,0.9514533085961657,0.9167623421354765,0.9529103989535644,0.8169291338582677,0.9787188672807915,0.9452425464921775,0.9785976945006817,0.9807628020057741,0.9867471336980336,0.9256093432633717,0.9229074889867841,0.983702737940026,0.8846153846153846,0.9339089014587675,0.8919449901768173,0.9723580207429068,0.9808958464663444,0.9806509831902793,0.9822284007439274
LogisticRegression_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVMClassifier_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DecisionTree2_err,0.038118192854858325,0.006521761278203876,0.041124730189100865,0.00855966474913591,0.05751281537878908,0.03698909451603406,0.01694678600488769,0.009897253435485184,0.08989430706227836,0.059207314878900935,0.03413445360920156,0.03048362627184346,0.046698838471328635,0.04334000189498673,0.010090621476705922,0.04597359481158427,0.00577873477586139,0.05778957054042003,0.02805648924120803,0.06749464839971676,0.008644279567623037,0.0182366726919957,0.07555937307207879,0.0685899761835385,0.015556982184245505,0.050872367133832155,0.03463855947031746,0.06028838162320334,0.009946530838994466,0.05230082451886821,0.007867763967907594,0.04302698528649038,0.02035994625142603,0.02403821842335557,0.03945346072994048,0.010882344035935524,0.05638678718327489,0.031614741961041797,0.045201913434305074,0.039478723325753494,0.020038526305883656,0.009975511013186951,0.04587622564329446
DecisionTree4_err,0.004183254661909401,0.0018835041793867791,0.03731901086819437,0.04006538291279182,0.027254805599250434,0.0239617714519488,0.006529041838127691,0.0046899839395464086,0.0796323043784697,0.06171091701234599,0.01954761057112068,0.01510284382338946,0.020357183272432074,0.01299990438437921,0.004754934846278517,0.0037402967880988867,0.028304595082173936,0.04302513454884424,0.022866302666354074,0.0293120506120949,0.006616053455721672,0.0072593526605801385,0.07061198091237594,0.06737279635818713,0.03105352685495897,0.007455746567551283,0.018398154207462564,0.017667450340666788,0.0057806159897478586,0.00819920991720904,0.0046542288261295466,0.001593381533282035,0.0022562193845441737,0.0374586223114018,0.021467715880858804,0.005078395823630517,0.05289192560271457,0.01702443918944479,0.014369168424362266,0.0037678692207126986,0.0018024439344124109,0.00450066279718737,0.0035710194453189973
DecisionTree8_err,0.011684080704166057,0.0069299336169658865,0.01385781280003937,0.01653016694912928,0.025473383474347352,0.03257801899810652,0.00809499138723789,0.005408567538074275,0.06987805366010158,0.06161644267481663,0.015781414143256896,0.014606973025559376,0.017387925486811263,0.020709427895884307,0.011788947384965652,0.00937197463035213,0.02216251219422031,0.015556475141583561,0.029353912877654036,0.02681861533716516,0.005951978899372578,0.00731467106074333,0.08677101041445268,0.04966200159805341,0.023488899620527203,0.00822771442917118,0.021756593299868506,0.014602158407320896,0.01251973536014764,0.010144957032168708,0.013114944591029803,0.008409202318114442,0.007734374966904455,0.015194019113203809,0.0222887000408651,0.004840743025524985,0.0474105330317955,0.013445829923677053,0.016077820804782313,0.009198838319730169,0.007036063690568421,0.014288527080726228,0.009644982241256244
DecisionTree16_err,0.003855256144182766,0.0030607130852462177,0.0058556717805997105,0.0072849676711679735,0.01456792262435859,0.015501405557445273,0.00669380851761169,0.0053316473910148135,0.0479084272295842,0.022340676836894943,0.007081873658311035,0.006982996883967575,0.008808050085210146,0.008848359605389272,0.005901240989817276,0.0025391801348484786,0.009051736098488881,0.005960098284509015,0.020577889379500298,0.013598409404104856,0.006196769909970276,0.005205342124175642,0.04393693493291525,0.024679437015829683,0.008761926309543235,0.005333362709619488,0.009232424294891269,0.007931810005731727,0.005466417325324505,0.0038098098628249503,0.006696128873745373,0.0031527820976962025,0.0034572700446413186,0.0055717483206910575,0.012093547627364103,0.0041130600522138626,0.0275797460987089,0.005096969248260488,0.008252026308231011,0.004235029937699767,0.002938598016379177,0.007223320915559887,0.0026230427124223
DecisionTree_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest2_err,0.0390878923980949,0.009403512620918828,0.041408531665551675,0.01139641685034853,0.05283902218612246,0.03558228021236498,0.01544275719907875,0.011705289005127415,0.09688231976630174,0.06055833433224081,0.03298858266163288,0.023670584999477672,0.0469631394677924,0.03983739336132723,0.010372748998281172,0.044009673238667654,0.006139462747677982,0.055537133674048784,0.02733259660366337,0.06020185172366028,0.008470841574488719,0.017889001110203227,0.07775694985495629,0.07766063083240965,0.015997399770171748,0.046126563119696505,0.03324833398277831,0.05809610349459892,0.009856879907551418,0.05213103004802846,0.007979357725543736,0.040674090400037576,0.020524728040314365,0.02418948773789878,0.038286660017331144,0.012795499574419191,0.056993467890294844,0.026893732699248555,0.042595867794651375,0.04012196227579848,0.01715141699009357,0.010114606639703618,0.04146553226920383
RandomForest4_err,0.0034713173291838653,0.002157635814571607,0.03544195390601382,0.036825954006421115,0.03157109000055719,0.02359571812409572,0.006767843487471776,0.004098811419975933,0.09913552373870901,0.07499937593137529,0.019001680922706005,0.014438541014927156,0.01908426673327574,0.01367562063910493,0.007845546250397385,0.0035705586184489576,0.028188890202306176,0.04249944891880721,0.022196493655837358,0.030121725064903106,0.007077074537891165,0.005188167580690044,0.10318330090082226,0.07054218608128908,0.032384069248745005,0.007129288552280038,0.02068363206297171,0.01713065737372163,0.009500199619004505,0.008286039103191502,0.0077783751935692974,0.0017455181650360189,0.0024777984057659523,0.035247619370332044,0.02217507023089375,0.004561444451623266,0.06531910315812216,0.016645116936763082,0.014407463092329589,0.0034957866759690887,0.0022678037920353627,0.007837362449424392,0.003459597319528755
RandomForest8_err,0.009251105863415427,0.007102629047167173,0.01323614946439449,0.017302152524736616,0.026735282018484758,0.027842990332344816,0.007582872647610782,0.006067862770303473,0.06816719212706682,0.05534112332727827,0.017814723775797958,0.013731960305950208,0.017383162224506095,0.019284741091311116,0.012110062701145046,0.008834375833945328,0.020867118096163876,0.012386685550047289,0.03073715956158014,0.026824796587598135,0.00592596131659426,0.007992507939891915,0.08057371849865683,0.05058226888661815,0.025060410718922958,0.009143388659148377,0.019224154464282286,0.018818080155984337,0.013607286603145013,0.009660183726182386,0.013450452841426095,0.00673461398100896,0.0074970258104338355,0.014141804537544456,0.022567026447428,0.0054275691920450024,0.04825788969247116,0.014563577850701073,0.016328070292540933,0.009479136001076338,0.007180938400584901,0.013165670838539282,0.009486065143592138
RandomForest16_err,0.005036100844257144,0.0030348040587840595,0.006251715173332841,0.008112496982518603,0.014643336435601732,0.016183168775333674,0.0064288359966336054,0.004694809438671565,0.04193260031007973,0.02490528557883589,0.0076677223505322665,0.007059268205491624,0.009027935239340078,0.00836475816912496,0.00619331709371936,0.0025503647041353154,0.009621115764162516,0.005511549672196181,0.01816497202377176,0.013367696218057194,0.0058190542592469465,0.005020961637802035,0.039633996869134526,0.01723864705273196,0.00878713914254803,0.00495084838043384,0.010503194586777445,0.006955693996599644,0.005936202971652498,0.003533746848458441,0.006662935918318355,0.002854680965391379,0.0036742566337953204,0.005198002687150933,0.012675158828558776,0.004529404546578609,0.02969129194830477,0.005474602666063113,0.007228167201655063,0.003880423392058142,0.0030131482620867588,0.007185044073131042,0.0029439301072850406
RandomForest_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
