,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
LogisticRegression,0.9608072077096004,0.9396991396630776,0.9389482594434452,0.9332622601279318,0.9022900763358779,0.8733488733488733,0.9401092323806673,0.9515260323159784,0.9327217125382263,0.8989751098096632,0.9621684364386742,0.9074387334634569,0.9675946547884187,0.9581018004000889,0.9248261215821608,0.891073177557017,0.9185871743486974,0.8746070555361509,0.8695842450765864,0.8717948717948718,0.9364421629867854,0.7979043719137661,0.9375520399666945,0.8161764705882353,0.9611813376235349,0.7808267997148967,0.9714116952155937,0.7795801526717557,0.9515822725306959,0.7912028863130421,0.8921992368199566,0.9164429633743714,0.9854691392194852,0.9361690828952259,0.9037350789372353,0.9647597254004576,0.9274495138369484,0.9590854132481216,0.9711313828012015,0.9601622818596682,0.9436596790455386,0.9357625987177711,0.8658809845543335
SVMClassifier,0.9637349040656641,0.9394243813645184,0.9444503227171728,0.9352878464818764,0.9106870229007633,0.8749028749028749,0.9500224450097262,0.9514595385331471,0.9342507645259939,0.9033674963396779,0.9679721422122867,0.9031880286271958,0.9671492204899778,0.9552122693931985,0.9266525086275551,0.8803460659484166,0.9278557114228457,0.8613342647572476,0.8809628008752736,0.8685897435897436,0.9447090110705672,0.7842948331928219,0.9500416319733556,0.7941176470588235,0.9657320156285911,0.7640769779044904,0.9738924985233314,0.732824427480916,0.9580254341926305,0.757503646273125,0.8927434613948603,0.9139745132524916,0.9847209728757266,0.9406298125431469,0.9102810935695033,0.965780672416828,0.9334330590875094,0.9615467656965195,0.9676270997886306,0.965162201042009,0.9431503108721223,0.9385808572544179,0.8526076321776166
DecisionTree2,0.9960200631942021,0.9917468799957083,0.7976658843504991,0.8160970093336544,0.884939331123121,0.8806316364743597,0.986674257638135,0.9838697405758035,0.9779736947207259,0.9677665616412514,0.9939702108112448,0.9896468915449022,0.9676307804879285,0.9662088749370379,0.9183717152817976,1.0,0.9211553169033538,0.6188960193406128,0.9211551572921735,0.7436754872670268,0.9465677649714075,0.9992026175472613,0.9095016568261258,0.9374722785763605,0.9366519778225572,1.0,0.9423983990099586,0.8712775841935562,0.9212026833929289,1.0,0.9213761780591291,1.0,0.997347353915309,0.8075510588919989,0.8828046372022754,0.986926528154129,0.9741638845294609,0.9942249863425746,0.9678268611114466,0.9969939905023791,0.993379948055094,0.9227030248678654,1.0
DecisionTree4,0.9982213087452694,0.9935589464843178,0.9577614368425451,0.9519454398144609,0.9486780864568728,0.9507026001171323,0.9218603124070761,0.9290304181682112,0.9563210507891484,0.9452912658801144,0.957264990067924,0.9509788534064996,0.9727818306079353,0.96698764536933,0.9368590891196399,0.9957084572430968,0.8928097191372824,0.9976596186684563,0.9138426814075976,0.9929289500760546,0.9669107164930201,0.9955196434098013,0.9029103538378075,0.9438354711556448,0.8776841761759857,0.9993840427894217,0.9255078815113245,0.9854873240683639,0.9331324191387301,0.9945430790582602,0.9284972418286539,0.9974074926616976,0.9990259025511021,0.9572188391091337,0.9508793933933676,0.9266964330069285,0.9546875091348523,0.9561304819255194,0.9728873026343385,0.9985479491025597,0.9939337364843824,0.9333137149258566,0.9961317057999551
DecisionTree8,0.9802057362587514,0.9445171189325136,0.9244184817383969,0.9374674105996977,0.9003061343083999,0.8460105983559352,0.9545616936718107,0.8681462250907177,0.9001476846373322,0.8646158755562372,0.9743420624477713,0.8854121050190895,0.9600355051729231,0.9340814932481866,0.9557626291937236,0.9845949008952815,0.9245360901554496,0.9701749245755255,0.8574345781650919,0.9534288094844898,0.9355088325746963,0.9694347323949813,0.8861571440697854,0.9245283733621749,0.9237832010777193,0.9787607993007593,0.9603154556347177,0.9479477257651477,0.9767230652058732,0.9784298624605822,0.9182132795871324,0.9885704257133392,0.9767051348262075,0.9289610593218671,0.8699256634618178,0.93780440847973,0.8858506518639441,0.9178352892021714,0.9538629589531566,0.9774619113390558,0.9308417574957732,0.9573209680540746,0.9851652337853055
DecisionTree16,0.963061734008388,0.9348983464283855,0.9177316674428541,0.9086085098091587,0.8854951010609332,0.8405068506568426,0.9427144868013612,0.9114022359268706,0.8915367520923876,0.8559083462801397,0.9547465224307733,0.8840791826457639,0.9439202621402326,0.9207161751290844,0.9526690455743341,0.9535983536295789,0.9105612907125511,0.9390175271108354,0.8506330443573503,0.9579120942039845,0.9252504650140344,0.9446483315225248,0.8598807203870615,0.9730363575985504,0.9175197179773253,0.9491904717520329,0.9331575971868034,0.9392922684838528,0.9737549345699203,0.9417522284500164,0.9285806970463187,0.9670563112672638,0.9538772993510912,0.9116871389986498,0.8538742361515713,0.9268784100903186,0.8633648340842995,0.9179787577684748,0.9300715611066964,0.9682329364013988,0.9355661971295178,0.9697402329489572,0.9594421150188583
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.9961560405379539,0.9935583264769356,0.8181836026870225,0.8388814012826574,0.8810555894377612,0.8790097512363145,0.9881713530526709,0.9842590959536814,0.9722563163829121,0.9652057095815607,0.9950112697980558,0.9901279985157049,0.9581287402195067,0.9579560106782232,0.9180233492802878,1.0,0.9007328257744376,0.6981358339464121,0.9219899858816158,0.7393210413619308,0.9490949520346814,1.0,0.9169154636212685,0.9048051387883439,0.9371409792261233,1.0,0.9446705189513871,0.8347422211239216,0.9214527716306914,1.0,0.9215296077301158,1.0,0.9978868880752892,0.8289473996709473,0.8791361730565758,0.9880760014218424,0.9699286640394961,0.9945271793138857,0.9585478466746418,0.9973390968966898,0.9939952583682983,0.9232029395075132,1.0
RandomForest4,0.9973693921889302,0.9924619778364648,0.9553280232995411,0.9480983002258797,0.9522293192963125,0.9528565652443126,0.9205660106883041,0.9265210793862881,0.9571717333316038,0.9438978971464658,0.9569982947952337,0.9501292643476789,0.9773600700556606,0.9688382656183484,0.9359995862603984,0.9957999607357373,0.890397689942312,0.9974158446125605,0.9128238713534593,0.9963718619864071,0.9686283822145404,0.9963005414322497,0.8980943331008148,0.950537529323452,0.876030951476827,0.9993366658410433,0.9211793790254119,0.9893796294665335,0.9319624284625324,0.9943893274474721,0.9276284393172913,0.9976528800984208,0.9977381901852403,0.9555047649180498,0.9542749601332221,0.9243712404839214,0.954276410677165,0.956181290600632,0.976930657787571,0.9981794394316329,0.9930969980618974,0.931756605744668,0.9961962868218673
RandomForest8,0.9803601572913082,0.9436815524939622,0.9237110407437603,0.9358825845815559,0.9083402762330391,0.8462403330431141,0.9549819042188361,0.8687597567509175,0.8985455821688646,0.8598469273269184,0.9713207675015499,0.8799154425220971,0.9614500330911464,0.9325911395144447,0.9576444260132952,0.985300331489697,0.922421768162521,0.9712656898446629,0.8635452583706146,0.9496163321776819,0.9365560368325082,0.9706668339706197,0.8808754145939777,0.917183502126917,0.9270457330951604,0.9771796638714472,0.9589347213452477,0.9508525888623283,0.9774601933187287,0.9810567875085978,0.9174218804036463,0.9887087706034302,0.9784330822093779,0.9280652954815399,0.8716933806002848,0.9384209569803822,0.8831211849340339,0.9161287035215541,0.9536177961203158,0.9769845836465513,0.9328666824820618,0.9576137231328161,0.986272137484002
RandomForest16,0.9628677110289966,0.9349201171321637,0.9175914532664937,0.9097309848423536,0.8845525480374031,0.8466805215299119,0.9427813087272893,0.9112674117455047,0.8965977457703667,0.8561498714432547,0.9559618568175217,0.8848673277056495,0.9430654569697269,0.9210779809491464,0.9526546819473541,0.9544113099868291,0.9109962712591687,0.9380326055479348,0.8508821945151445,0.9563289160715194,0.9261204197165833,0.9445021720902149,0.8618867401465251,0.9728827215341395,0.9194934090830388,0.9495993491086765,0.9310085921226176,0.9393295156772009,0.9734064517463472,0.9420037848220936,0.9272893499572596,0.9661454711038812,0.9537358316154488,0.9119491908157464,0.8554344434841762,0.927394378252776,0.8644989467308681,0.9190162315519737,0.9288768040340488,0.9678311195136767,0.934718163864292,0.9707127025354465,0.9608706744643902
RandomForest,0.9873307425544151,0.9803547816530146,0.9847635170881388,0.9845415778251599,0.9969465648854962,0.9844599844599845,0.9879919197964986,0.977890817208591,1.0,0.9941434846266471,0.9902841666308413,0.9771416178703102,0.9946547884187082,0.9871082462769505,0.9843907618794797,0.9842358098969265,0.9854709418837675,0.9874257771568286,0.9929978118161925,1.0,0.9835281505762055,0.9906058051306756,0.9950041631973355,1.0,0.9823029188692255,0.992872416250891,0.9873006497341996,0.9952290076335878,0.9889751737710673,0.9815383434405466,0.9790346974807465,0.9887068406924002,0.9837565734846389,0.9844936540810366,0.9930689256834809,0.982978348882239,0.9955123410620793,0.9827705328612143,0.9877071976860607,0.9876348981428102,0.9811218702739035,0.9841988588414595,0.9855806236423037
XGBoost,0.98593660143248,0.9724125495852867,0.9427573801714104,0.9466950959488273,0.8977099236641222,0.8578088578088578,0.9761708813407153,0.9666533679101004,0.8914373088685015,0.8330893118594437,0.9761833111216198,0.9412274994578183,0.9655902004454343,0.9460991331406979,0.9767985134058933,0.9885033347325218,0.9418837675350702,0.974851554313657,0.875711159737418,0.9166666666666666,0.9642731976828086,0.9749488136818018,0.8467943380516236,0.9411764705882353,0.9630429786256033,0.9821810406272273,0.9530419373892498,0.9513358778625954,0.9839485048480404,0.9794657250326245,0.9683147389936908,0.9932426177913543,0.981944540548021,0.9452498539642079,0.8840970350404312,0.9672768878718535,0.8653702318623785,0.9607694965022886,0.9555567916342196,0.9851942048350512,0.974626113258276,0.9794156915597093,0.9860253493662658
MLP,0.9793144311032884,0.96762145175416,0.8904877790709977,0.8801705756929638,0.5503816793893129,0.6355866355866356,0.9244351339218914,0.944577432010107,0.6055045871559633,0.5197657393850659,0.9647048708138085,0.8997614400346996,0.9347438752783964,0.9090909090909091,0.9440668967348023,0.9282682710694464,0.9157690380761523,0.6748166259168704,0.5037199124726477,1.0,0.9230832663326942,0.7693604721185113,0.5462114904246461,0.7867647058823529,0.9425649276028499,0.751960085531005,0.9522150029533373,0.5438931297709924,0.9654526195714169,0.8933369156367544,0.9211000930244332,0.9605665093029714,0.960394755051204,0.8731878285805321,0.5841355410088563,0.9098574194684035,0.5818997756170531,0.9246696605924518,0.9215708087662698,0.9712073619499685,0.9412703747269366,0.9558241910495887,0.9597010074748131
LogisticRegression_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVMClassifier_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DecisionTree2_err,0.0060815114657090516,0.008246724972695223,0.06417769999007482,0.07028023530510442,0.08048144981396207,0.08817212305906774,0.00920733257619054,0.01017243705500811,0.030732387945788482,0.03753664602001581,0.005143232076328093,0.008990575454322008,0.04045704087288529,0.04104597193486571,0.00469981193161508,0.0,0.061375240058373526,0.23236283721807088,0.07052673001096724,0.232626486943005,0.01011109082492332,0.007933855230442991,0.025093457291368873,0.14566795530058785,0.002833216097840702,0.0,0.030896708238156226,0.22915558463441799,0.00360282778164242,0.0,0.006845072268074868,0.0,0.005306184853344897,0.06719000380782386,0.08445929679146917,0.009190947953362259,0.03394277186728471,0.005056406459614942,0.040057702248909643,0.005072778941539485,0.007665663101348426,0.003533024718410386,0.0
DecisionTree4_err,0.003893275850344271,0.0065785301716937425,0.012108615102134592,0.01314978815408145,0.06007478994130336,0.05655028982501161,0.020672623503928667,0.0204899539992917,0.0513994697814163,0.05342108845373836,0.018725872327305753,0.020228318814334303,0.04158814383113197,0.04093351907899863,0.006286999602923042,0.008116515260039375,0.010633181033526382,0.00448409223245845,0.04052980497548685,0.016525741768035136,0.02302703840265662,0.010304015663838569,0.03194931078674142,0.065983830487085,0.020034589090432025,0.0014505747177165531,0.019173977490707244,0.07382746972454261,0.00522938932380381,0.010207414346814422,0.008350815002441074,0.005194454611800355,0.0030684763816874036,0.011734440009256256,0.058027631848954875,0.019973612204153755,0.05196737445044642,0.019039415797127524,0.04115075762357168,0.003313388012344054,0.006289679369159505,0.005363056229311878,0.007313508522998376
DecisionTree8_err,0.007203098131974267,0.012902027013853932,0.0132750152436051,0.012331732878573037,0.04377188695899,0.04094236843385361,0.009520136486851951,0.023070759681887067,0.02279726168979055,0.02777721135776544,0.008909234700129385,0.03904798913720572,0.010344728179079448,0.009145313521093799,0.010181565385426469,0.006139524940369696,0.014996334297416253,0.011162526945804585,0.03936877205320998,0.0269606229752511,0.011871160923099526,0.01413301198032987,0.025000990544843994,0.03032613115688925,0.023464847542681022,0.010732433801297245,0.011373565475862744,0.024647213247253746,0.006339473413877572,0.011617243026778242,0.021101739401469706,0.004542304894946664,0.014792795032894756,0.014122423476278437,0.03384251794350674,0.015818713028741247,0.02478141306059334,0.02107816152470476,0.01151162512583467,0.006706534040319068,0.018383799617358774,0.010165449828928464,0.0054412555756423436
