,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
LogisticRegression,0.9680983434525148,0.9598859153730454,0.9493356193741963,0.9532014309702854,0.8784313725490196,0.9230769230769231,0.9383738995339203,0.9300236406619385,0.9615384615384616,0.7352941176470589,0.9465150950428625,0.8867726716756945,0.946265243902439,0.9590892920668801,0.9407361538601635,0.872464827334186,0.9430774202483726,0.8170764658200487,0.8854166666666666,0.8783783783783784,0.9328264508928571,0.7570346320346321,0.8348623853211009,0.9090909090909091,0.9319448518627164,0.8132250580046404,0.9607804493496256,0.7728531855955678,0.9520563422717686,0.7802227472156598,0.917649920934193,0.9031045667507595,0.9843634958703592,0.9573771784559577,0.9187725631768953,0.9434008897676718,0.8083333333333333,0.9284876905041032,0.9597056117755289,0.9685829513819055,0.9625023368394124,0.9448123756687631,0.8515392254220456
SVMClassifier,0.9704969642455588,0.9610920339415955,0.9520788684097728,0.9526903701540483,0.8862745098039215,0.919732441471572,0.9458829621957535,0.9332151300236406,0.9615384615384616,0.75,0.9489377562430116,0.892364144679364,0.9527439024390244,0.9573105656350054,0.9439688928551915,0.8494792618308058,0.9485711647661696,0.796271278032964,0.8895833333333333,0.8918918918918919,0.9372907366071429,0.7424242424242424,0.8165137614678899,0.8181818181818182,0.9415273296176787,0.777262180974478,0.9631454473787938,0.7368421052631579,0.956751531585819,0.7409382382720217,0.9205449458703321,0.8951758224785049,0.984487421544114,0.9587966248718556,0.924187725631769,0.9475407810182896,0.825,0.9332672017314456,0.9595216191352346,0.9731557832562374,0.9621677998287957,0.9487415516538371,0.8286991062562066
DecisionTree2,0.9829228060122106,0.9942794535542347,0.9281858282341,0.9176547713066536,0.97070091029837,0.9760170750556716,0.9638360341759292,0.949229575585106,0.8014119354558852,0.7499833004864245,0.9274712382284171,0.8970646470712932,0.9031203318129086,0.869847072810927,0.8906098252831822,0.9993698547098505,0.8870093450867791,0.8893613453064578,0.8837229827655355,0.9844808464557786,0.9180983622419703,0.9982485179574063,0.808926793907447,0.692311689944043,0.9629672039612933,0.6790681670042811,0.9838059557709882,0.47376374073878,0.9098142485747241,0.9990636601660889,0.892873840846637,0.9996672171297806,0.9932982797703593,0.9216684800416276,0.9814062427690036,0.9555327591724968,0.7707897887634146,0.9105550994666622,0.8867292953433727,0.9889310908109956,0.9898083022603268,0.8980055268975599,0.9994040063192997
DecisionTree4,0.9792724620394996,0.935651753504308,0.8799641314389448,0.9428429173592341,0.9085764842153666,0.9111853677483082,0.9532408905627995,0.8859286709528835,0.8608861211165513,0.7539817153933491,0.966609618025139,0.8989960964366398,0.936933300570562,0.9095051607257766,0.9727318135222345,0.9838218456305607,0.9184303684335526,0.9914857491504513,0.8936495527541009,0.9536804778420123,0.9290291298079771,0.9727632708190874,0.8343084352762298,0.7602360188830777,0.9560243229837907,0.9924725251421692,0.9552074782242366,0.8816779783729701,0.9530506156347635,0.9753269948457555,0.9037019766854211,0.9917152937173889,0.993670010247623,0.9184709229112079,0.9087769078348513,0.9436943013405882,0.8215728598214267,0.9732231880779358,0.952940661834689,0.9806498888652949,0.93040390882409,0.9751740522026285,0.9843738548708187
DecisionTree8,0.9702046789447235,0.9583669297859054,0.9527922845965198,0.9321584037557887,0.868378083522203,0.8383558177750748,0.9406705780271473,0.829759026327089,0.8828430929394316,0.7499266322793541,0.9523209280270949,0.881317270716216,0.9339989562018346,0.90460811904447,0.9703234704927836,0.9818886765021628,0.9473640611399596,0.9567985509806648,0.8413238648962523,0.9232772191910378,0.8756853004033092,0.9438344272869967,0.8219831081762295,0.8057725224122281,0.9239933838693178,0.9241608289451771,0.9227098513017392,0.8713107257110636,0.9655454942056106,0.9653980157365616,0.9346176581758054,0.990227244144752,0.9721175197561006,0.9422221792209967,0.8491328986159759,0.8790757899321736,0.7927213281518795,0.9038555465494695,0.9180094352876832,0.9750483768725339,0.9498037114243998,0.9593328454665628,0.9830275842010109
DecisionTree16,0.9562043897348274,0.9487667693359534,0.9268990249134639,0.9111671562129366,0.8852609395673874,0.8743013419357567,0.9283373844694206,0.8804873488496121,0.936643551683353,0.897823981375211,0.9307556625417311,0.863442198800317,0.9291482063304594,0.9016991717421433,0.9561996240633879,0.952866960201773,0.9178669885913117,0.9318058741421215,0.8618574305781584,0.9650516067749829,0.8954474740963831,0.9488694866745184,0.9201841246413552,0.9704524144156497,0.8907215735669836,0.9561603335492258,0.9113140612741177,0.9550916188622657,0.9590593638513387,0.9319305426803811,0.9390611233518011,0.9651779860464998,0.9567974772665864,0.9171426330246006,0.8638624488525198,0.8967739340417716,0.909125945274363,0.8897390409064591,0.907350590344774,0.9564617163571385,0.9455625525397489,0.9627441166608804,0.9542625941102152
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.980942985814952,0.9922676354565806,0.9284536269154551,0.916546585951394,0.9634879498990568,0.9725252228609151,0.9632077525810955,0.946050814484536,0.8014598837786651,0.7481570672152088,0.926847675295721,0.8953100324930907,0.9020355945790192,0.8655542195841943,0.8877602196472363,0.9991490823709228,0.8842646650729101,0.8932851869780883,0.8855169281806599,0.9769175223795774,0.9171341267360061,0.9981745697054927,0.8079434663321922,0.7426637529137529,0.9625068541794687,0.6768502448628255,0.9846541486465519,0.46649395733922533,0.910005039773288,0.9988015081722529,0.8914178876993565,0.9981926989965915,0.9925860933927944,0.9211319561854203,0.9777814725628171,0.9537026266623879,0.767962949567776,0.9093797448946772,0.8837705997878031,0.9879056311265506,0.9888767249181586,0.8967210846353146,0.9992088570816398
RandomForest4,0.9808508185988113,0.938812413790463,0.8826550366712083,0.9404918051501541,0.900493078226596,0.8913043537108868,0.950122553599941,0.8923326415966636,0.8555374038584493,0.7491090693759886,0.9702232755196531,0.9054605347330287,0.9455351586816458,0.9089099844021286,0.9746750302780337,0.9842563276231892,0.9197602219773254,0.9928408954450544,0.8778462970711283,0.9665288720761117,0.9297011761823574,0.9682688605270178,0.8252379783998891,0.7781060589737059,0.9603773824780205,0.9913834852230707,0.9621934862295229,0.9093356046652238,0.953652087594474,0.9741513042431684,0.9124965702257929,0.9925720004724263,0.9949714744133985,0.9209525773680578,0.8984030946884428,0.9426698848462196,0.8165020753661405,0.9762834986108916,0.9611365407659336,0.9805728571605844,0.9355539283100321,0.976802213309309,0.9845540698532151
RandomForest8,0.9699155402155248,0.9569227912779555,0.953515127079116,0.929703682187496,0.8643526070755204,0.8350654308503849,0.9400689530939904,0.8363397281932515,0.8845966443668675,0.7536932959322061,0.9491664304668306,0.874617186179045,0.9368854042404275,0.9034856246082146,0.9699148414455142,0.9838648334122161,0.945683372123244,0.955067258173664,0.8417926185842768,0.9173392289568537,0.8761167215769351,0.944437846996615,0.8223717254624094,0.7871473395885161,0.9260410475070914,0.9204003730184763,0.921427959587839,0.875192276538273,0.9653281345459892,0.9669903516012163,0.9338627450483986,0.9908876892628449,0.9716039243229565,0.9412316004899027,0.8467450246193705,0.8783833715807771,0.792894945658978,0.9017062949968294,0.9199131701654705,0.9737813113060158,0.9495907084593087,0.9559770443509753,0.9842857850568494
RandomForest16,0.9564654154827521,0.9491064317552439,0.927041027772418,0.9117433243445747,0.8819232029846602,0.875434263317825,0.9280571813391589,0.8833163304822351,0.9382300891176196,0.8993390534656234,0.930011836343656,0.8616914904371654,0.9264887154439915,0.9013187712233948,0.9564011010128466,0.9531877201022897,0.918369012184163,0.9302104356638036,0.8607423456949393,0.964145229173541,0.8965399633869957,0.9489800937393936,0.9204916760050894,0.9703248140748141,0.8891222161344321,0.9558125986955731,0.9097850705130017,0.9532605500023195,0.9587850522030815,0.9318697765563819,0.938432497271031,0.9657077209063274,0.9574163647696138,0.916973866185889,0.86243741320897,0.8975896606436905,0.9134389546946102,0.8877919487702352,0.9057331287465715,0.9563433019941101,0.9452533921018591,0.9622431742753205,0.9542390440653786
RandomForest,0.98800689603478,0.984703578624741,0.9891984569224175,0.9813827845513616,1.0,1.0,0.988089073019161,0.9768321513002364,1.0,1.0,0.9906820723071189,0.9870697186790145,0.9939024390243902,0.9935965848452508,0.9866683665106453,0.9830805773798648,0.9850884077374082,0.9900027019724399,1.0,1.0,0.9815848214285714,0.9924242424242424,1.0,1.0,0.988559694925198,0.9976798143851509,0.9936933385888845,1.0,0.9880862709651501,0.980492743840702,0.9827514900863642,0.9915049168511558,0.986718083671699,0.9856083905054807,0.9963898916967509,0.9822046465645081,1.0,0.9873748760032465,0.9941122355105796,0.9889384043780631,0.9851524603229266,0.9857783598779237,0.9869443308604474
XGBoost,0.9827898958099093,0.9808156199449443,0.9589369909987141,0.9565598306198437,0.8470588235294118,0.8896321070234113,0.9589590885551528,0.9340425531914893,0.9423076923076923,0.9117647058823529,0.9504286246738726,0.921369910885899,0.9405487804878049,0.9171113482746354,0.9831351193836851,0.9869175954686643,0.9571580259452472,0.9654147527695217,0.84375,0.8918918918918919,0.9476841517857143,0.9675324675324676,0.8990825688073395,1.0,0.9296959030018578,0.9419953596287703,0.9229404808829326,0.9141274238227147,0.9809681631013357,0.9750928113398583,0.9721445079674006,0.989805900221387,0.9842760189241794,0.9600189259522119,0.8303249097472925,0.9474789915966386,0.9,0.9321850482460096,0.9221711131554737,0.9810841422235395,0.9760904430647526,0.9802367390310504,0.9816285998013903
MLP,0.9746195937336032,0.9676192638419843,0.9107586798114017,0.9120245309191793,0.47058823529411764,0.5819397993311036,0.9012169860176075,0.8378250591016548,0.7115384615384616,0.6911764705882353,0.8537085352217667,0.7611392626244976,0.7957317073170732,0.7926004980434009,0.9510353871091117,0.8941348437785492,0.9385531600572458,0.6714401513104566,0.4083333333333333,1.0,0.9242466517857143,0.5579004329004329,0.7339449541284404,0.5454545454545454,0.8555783709787816,0.6380510440835266,0.8271580607016161,0.37119113573407203,0.9580194837802551,0.7888626392170098,0.9183432672424279,0.9183957164186789,0.9801354434716684,0.9059616749467707,0.5288808664259927,0.8757414730598122,0.675,0.8429975651546577,0.8103035878564857,0.9661695123371193,0.9537846959156967,0.9502057257237468,0.9080261697529062
LogisticRegression_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVMClassifier_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DecisionTree2_err,0.008920006180164763,0.00776734381314838,0.0681342561972033,0.06986478926566703,0.025601985782181598,0.02010440750035534,0.019277159240313643,0.01991592457809359,0.07800423945132823,0.08622638319531381,0.046521462546639615,0.051323017843185235,0.033441332366093215,0.04070949132509069,0.007329218522080899,0.004417245863335562,0.04915952127830613,0.22766159004461115,0.017007317737265014,0.0655833498492429,0.019118550869657067,0.010584259145675918,0.08733668025995284,0.3084029098485187,0.04231398084835808,0.2623574428898153,0.028000740350287,0.17230968558372817,0.0051789292604619876,0.006565486362274244,0.008321985752325987,0.002331683292089104,0.00895142349793578,0.06916202301629065,0.02047226258659731,0.01866724140636375,0.07337592598251519,0.0492112585732452,0.03597152291607926,0.0057282605924538,0.009997109536966866,0.005043254852061354,0.004177377145230099
DecisionTree4_err,0.009442874484420388,0.012190120811795577,0.02489239467356672,0.036952206937424494,0.051884100852917205,0.07254971157567965,0.016038450130568493,0.03799446463841266,0.06313526658996375,0.08679481979441736,0.0226198856172795,0.029846759149041443,0.03451380976946088,0.0339550335559382,0.010785318465237176,0.007107851954350134,0.029611008058677238,0.008166737345790905,0.05709904284037252,0.04638388878853121,0.020208912768734787,0.01812949670697613,0.05780153848613632,0.1556215720507673,0.02190883143115484,0.0072563252203405185,0.03291421806027966,0.10786635369660118,0.011236734962723326,0.012268918486086126,0.01768438082582124,0.004540203632380725,0.006574298911526292,0.025196540020345364,0.05098803777814774,0.017340936775068032,0.05772769921883122,0.018237108078237113,0.031093694999882588,0.00675029173118221,0.01378731420449664,0.010757061045036076,0.006487760761894694
DecisionTree8_err,0.008290592561327371,0.01005680964579116,0.017119314058730815,0.015404029308677557,0.05227692261233918,0.06325218722830009,0.013333714995940075,0.025602300504998992,0.04495681755015548,0.06328722232578461,0.01582073487531806,0.035708544593310666,0.015161860286391004,0.020081336506341464,0.01084127286821149,0.007393949703531842,0.015315927638704764,0.02380631682489737,0.061217526620284374,0.03969376117446288,0.019273181729912197,0.017131624019466253,0.04222944545685317,0.12466549400690803,0.03377077652883285,0.028307930061405553,0.018028526126177,0.04003293663057602,0.007492043060992101,0.014803081095672407,0.015887593046836374,0.004480626182747848,0.010707951579916589,0.01635639262091619,0.049633584564172585,0.016266204368032684,0.0451575984872436,0.03207796841625724,0.01663148591617753,0.006088516383130807,0.014220922724081542,0.014037567463883327,0.006795523363165844
