,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
LogisticRegression,0.9612364176826207,0.9471794772281839,0.9481245011971269,0.9434990297059263,0.9373776908023483,0.9317697228144989,0.946415897799858,0.9326843755155915,0.9111111111111111,0.811965811965812,0.9538346984363366,0.9196774693750969,0.9648255813953488,0.9715976331360947,0.9323386146935055,0.8689624461926674,0.9445962623413258,0.816358024691358,0.9347319347319347,0.8852459016393442,0.9402942840973402,0.7178082191780822,0.8730964467005076,0.5,0.9664093298291722,0.7641700404858299,0.957613814756672,0.8333333333333334,0.9559605299847984,0.7818088620571819,0.8951158478405674,0.9145485025599203,0.9897899765105308,0.9428802838630053,0.9520408163265306,0.952722920406942,0.855072463768116,0.9536615010635066,0.9772727272727273,0.9598154290730283,0.9479968460180979,0.9402520392140984,0.8558378964899442
SVMClassifier,0.9661873104500994,0.9467719713581588,0.9531524341580208,0.9437229437229437,0.9393346379647749,0.929637526652452,0.9524485450674237,0.9381290216135951,0.8888888888888888,0.811965811965812,0.955770662695458,0.9137850829585983,0.9680232558139535,0.9701183431952662,0.9366118407424286,0.8503785067537479,0.953984485190409,0.7799382716049382,0.9393939393939394,0.8852459016393442,0.9471797774004904,0.6995433789954338,0.8781725888324873,0.4,0.9667378449408672,0.72165991902834,0.9620094191522763,0.82,0.9604760148597231,0.7195580362228045,0.8969251264694763,0.9103801368311358,0.9892471526420719,0.9474699166923789,0.9591836734693877,0.9573394887578012,0.8454106280193237,0.954876937101185,0.9790322580645161,0.9652531247329703,0.9466301205271656,0.9447286371796083,0.833758106437205
DecisionTree2,0.9911782397438347,0.9903381691476482,0.8202308731856699,0.833440906564431,0.9439142189411025,0.9402769270815231,0.9747326684299881,0.9703808999518673,0.8068116418941575,0.835987717936209,0.9864028423889569,0.9769550914712453,0.9591302705830345,0.9700591817014158,0.9397769231014976,1.0,0.8682926746744684,0.7090932065356281,0.8944589127642668,0.9637912765874576,0.9714353101241864,0.988873812175163,0.8478450623577091,0.5021870213120213,0.9464440559416453,0.9533981869329449,0.9146068868204505,0.9479533333819502,0.9342389710365022,1.0,0.9366667172611608,1.0,0.9989078517701437,0.8295867633138162,0.9452660113544887,0.9750636338954728,0.8254801046282857,0.9869857211332534,0.9613318718755596,0.9917776746036115,0.9899756584760305,0.9372701797589236,1.0
DecisionTree4,0.9760236028161451,0.9242418319189261,0.9469311307340967,0.9765605985836256,0.9503661914266107,0.8966346214405978,0.9027660314266409,0.8583552850331548,0.7821280637768379,0.8302950082547347,0.9350512782858829,0.7485052198680638,0.9231784518020532,0.9251770738986269,0.9486993551146697,0.9947552746080532,0.9153569231826263,0.9972663038066217,0.922984209492751,0.976743289736274,0.9098776629480169,0.977356502901879,0.8530516898021508,0.6994254151421333,0.8779441512142605,0.9371409644829874,0.9318199170601573,0.9879507027578219,0.947277923556668,0.990731839787461,0.88642810546775,0.9982691195226763,0.9836750879371685,0.9493637036846778,0.9472017411030959,0.9000423562267246,0.827265982112836,0.9304329300227617,0.928295492037834,0.9934110142304203,0.9230471703014667,0.9397063406288217,0.994925627299361
DecisionTree8,0.9794265175553829,0.9285107848161783,0.9375075432299111,0.9317775920370888,0.9024682028004162,0.8799317219303434,0.928495903867389,0.882173171861153,0.9152004240462435,0.8060178690741704,0.9644708683323832,0.8714421658337502,0.9523974344091944,0.9259220838841962,0.9569261420350181,0.9766791224079329,0.9329567357123615,0.9641728488206667,0.9010064681370185,0.8768027784763665,0.8833854581727375,0.908744924381748,0.8489852366335233,0.8745256573921435,0.9254200589437425,0.921319469417766,0.9480076679752603,0.9201652749408415,0.9854931448035361,0.9669973516267308,0.924542325822213,0.9900513199773984,0.9784382180646355,0.9389854959247708,0.898213623819774,0.8914570192807829,0.8536781636657379,0.9117898822238996,0.9491427863086573,0.9790239002724128,0.9335681871083401,0.9630111150094285,0.9773022762200452
DecisionTree16,0.9636723382719122,0.9383498372704503,0.9328560093056955,0.9210499300971878,0.9083580869286253,0.8670949216958773,0.9310053630535429,0.8859233161927869,0.9641896747602323,0.8771347638832852,0.9529241377740396,0.8822979070877582,0.9409433700178831,0.9206710662924599,0.9542908302334239,0.94876687536776,0.9258395019582768,0.932089502683839,0.8779192467956483,0.946361604881096,0.9044813949019804,0.9364248459403955,0.8989372952599431,0.979254218004218,0.9136337219569535,0.9510499711088624,0.929014454489623,0.9616146010460613,0.9778922548763278,0.9371070594496927,0.9362454511521143,0.9651874785889437,0.9555061887219791,0.9238106529286975,0.8750054380954666,0.9019032617917947,0.8936246462014372,0.9116020758000762,0.9259103023613449,0.9652208357840522,0.9415150109166287,0.9634341378952307,0.952627398559708
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.9901991932966726,0.9912308313469557,0.8150832658733596,0.8283811675655771,0.9429780068208933,0.9381554081262077,0.9747341482516656,0.9712121226375234,0.8122069743131799,0.8396931444332206,0.9829203761981087,0.976616767427294,0.9534386856114841,0.9649170769558074,0.9466753829642262,1.0,0.8678579449365489,0.6918809291563683,0.8962547601525295,0.964280088749301,0.975261711938026,0.9905200837026424,0.8512979950096949,0.5417930125430126,0.9492319029918127,0.9527639413258459,0.9175687197499133,0.9273692458317339,0.9408700206556047,1.0,0.9452716536204716,1.0,0.9987766708367607,0.8239353570287833,0.9449979973853353,0.975212838069014,0.8298502811035999,0.9859850636331714,0.9563498559349471,0.9902195372637195,0.9914627354940916,0.9433414913154256,1.0
RandomForest4,0.9851702509137512,0.9253449593438688,0.9470453953476979,0.9767651237077488,0.9464089820357593,0.885669318985651,0.8957678264364836,0.8497386518083894,0.7898676451905929,0.8359370158263331,0.9338961340093666,0.750761224434883,0.928772984260223,0.9313674106684222,0.9424777332795533,0.994281453195505,0.91515225341963,0.9970950501719811,0.9153940620617965,0.9807716497905337,0.9080864552582603,0.9742403361687376,0.8512732983591458,0.7378725335122392,0.8759982369932245,0.9468419835550157,0.9423804397166957,0.9888606078392103,0.9449173665581373,0.9902211292660807,0.8850510790973987,0.9978167742656423,0.9921278427506798,0.9501629159381086,0.9430650214471064,0.8903619295878957,0.8267988794021095,0.9281897622897277,0.9340783189915137,0.992051515977218,0.9240057916566745,0.9372966106032566,0.9944532389156486
RandomForest8,0.9796365818812787,0.929217617786569,0.9392544306770251,0.9315570350855267,0.9033695584093195,0.8685788268025832,0.9249310736135143,0.8837820954303426,0.9146394804542705,0.820978191699545,0.9647656437767879,0.8793409758018851,0.9500714937235495,0.9266660168976175,0.9557695792963495,0.9795207161154477,0.932586934746867,0.9626121897367027,0.8937643266210483,0.884627203017788,0.8799434281319641,0.9021594576762761,0.8583139990768122,0.8681527249410378,0.9251943268404079,0.9214511637526553,0.9452505794883324,0.9205194275212724,0.9850546228412159,0.9664800866448802,0.9259344908938582,0.9913797247073655,0.9768495851384392,0.9402252144600634,0.891553248641844,0.8890904130469904,0.8654713796838063,0.9129071266275649,0.9477667143235179,0.9788647022550334,0.9371885387287232,0.9618614416550537,0.9787342447975769
