,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
LogisticRegression,0.9188518686912268,0.8707115660089115,0.898096370095317,0.8612977736411787,0.9278596654094358,0.8587513159615925,0.91639175909282,0.8946515366545778
SVMClassifier,0.9132766619672005,0.8688675095447487,0.8916844704692108,0.85254222455465,0.9287778188970475,0.852177962966622,0.9146328578563057,0.8951088493359225
DecisionTree2,0.906567352713079,0.8164813049187045,0.8116830645374258,0.7448205793696139,0.9037422422642777,0.7757536250703398,0.891428643837118,0.811657864651505
DecisionTree4,0.8174412628971071,0.7729138286201023,0.7949034721538107,0.7343448401390702,0.8254400095988319,0.7309071757301286,0.8256928312534672,0.760453854866435
DecisionTree8,0.9077726459689098,0.8554146937624414,0.9201308627939399,0.8495129960511513,0.8755897120807506,0.8447768817840268,0.897155721199148,0.8365650145322182
DecisionTree16,0.9985358679958775,0.9946508964052728,0.9996444327731092,0.9959035678558162,0.9932373440553062,0.9942392161095488,0.9964719230093911,0.9910510472338986
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.8974631162007757,0.7824117028710205,0.7811711468367747,0.7256962507741893,0.9056191113844527,0.7607246466576011,0.8707929707504581,0.8289045576501066
RandomForest4,0.8289920009237673,0.7683846299835099,0.7836448713255575,0.7558360868390988,0.8248676028246632,0.748973617566931,0.8187196374458388,0.7914042480585977
RandomForest8,0.9076597306562045,0.8549180664681991,0.9269890916927078,0.8639188506296622,0.8715138452920064,0.8461657391530877,0.8954225429569757,0.8437096225181177
RandomForest16,0.9966901024188988,0.9916196401717133,0.9992812539454391,0.9961301788540875,0.9910065422150605,0.9931392442744942,0.9956954531920214,0.9901600205492268
RandomForest,1.0,0.99996996996997,1.0,1.0,0.9999862258953168,1.0,1.0,1.0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression_err,0.019731932735400106,0.028098462768309643,0.040246713205343274,0.034813427470498315,0.013185038927795573,0.02592316477982969,0.01744049451381487,0.019821972329753426
SVMClassifier_err,0.019747180089970853,0.025062034452303705,0.03676476036127606,0.03487076915940864,0.014172362149276172,0.027684154330855474,0.019746652338067838,0.021232804369185072
DecisionTree2_err,0.10999977480520129,0.1379428534656847,0.15264744092810087,0.17956432549325554,0.12044557959181096,0.16513614726701856,0.10185801434211476,0.15510741534539943
DecisionTree4_err,0.07185622891124957,0.08751924005891686,0.09735371309974596,0.10354453723707417,0.09924503046142992,0.09270408950331363,0.06524485821681833,0.09174484915568358
DecisionTree8_err,0.02530685083813521,0.03791608117241501,0.046251657475829606,0.047161111223013655,0.03410104375879647,0.037601759559480356,0.0222189368703428,0.04013647805620732
DecisionTree16_err,0.004930577210897729,0.009426250284351291,0.0021160683144749856,0.008915293251475765,0.008558776907232559,0.00957336691668203,0.005477313554990079,0.010845234403544918
DecisionTree_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest2_err,0.10124241250230075,0.16139881433660613,0.16359275566868595,0.18154441372396798,0.11076155527020895,0.17580837643758984,0.10542232929782226,0.15915372931870175
RandomForest4_err,0.07223115732325452,0.08854036776488447,0.09369478712666507,0.11317652122606421,0.08801532762165463,0.09606784069821842,0.06607531588544642,0.08973215290071783
RandomForest8_err,0.02659554332860614,0.042468666168638765,0.04102965225233412,0.04828563673376999,0.036205808838722264,0.03708030927966297,0.026820772610680183,0.03742315747463011
RandomForest16_err,0.00622025371907994,0.011739051839803463,0.0033429593932183866,0.008853486119236182,0.009260978767415488,0.01050813553284267,0.006711611766048022,0.01086305294241823
RandomForest_err,0.0,0.0002987950261581486,0.0,0.0,0.00013705061117170656,0.0,0.0,0.0
XGBoost_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
