,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
LogisticRegression,0.9660643801795852,0.9621518336150511,0.9089828897338403,0.8935783980031767,0.8299212598425196,0.8698010849909584,0.9365478871373691,0.9498566379942656,0.7703081232492998,0.8515406162464986,0.9502821412231204,0.9675243326587646,0.9093066174532033,0.925255704169945,0.9783611890380416,0.8801537386443047,0.9071287617168229,0.8422090729783037,0.852014010507881,0.8695652173913043,0.9467622394655346,0.8606194690265486,0.8117816091954023,0.7222222222222222,0.9594442520775623,0.8837209302325582,0.9187145557655955,0.83,0.9716294118266992,0.8753048284831735,0.9679503931956951,0.868532313267566,0.9815622908175802,0.9011027278003483,0.8468013468013468,0.9463698288752285,0.8067226890756303,0.9586224511515048,0.9174336050486458,0.9726142639402997,0.967896443033573,0.992756981945507,0.8755171793488037
SVMClassifier,0.9659464940332267,0.9645803724690378,0.9111638954869359,0.9059115523465704,0.8661290322580645,0.868421052631579,0.9367812315173819,0.9491124260355029,0.8103975535168195,0.8664850136239782,0.9442306181761055,0.9605087014725568,0.903731746890211,0.9248366013071896,0.9787032396227274,0.8781143993449526,0.9118910295741809,0.8539553752535497,0.872471416007036,0.7735849056603774,0.9509219369291746,0.8668555240793201,0.8238805970149253,0.9166666666666666,0.9549767196696829,0.8959810874704491,0.9168646080760094,0.9436619718309859,0.9717885510818953,0.8756275303643725,0.9682794547919789,0.873202875399361,0.9811386155354909,0.9088174033788475,0.8680672268907563,0.9499129063003253,0.8184438040345822,0.9545474147224977,0.9146540027137042,0.9723345960969724,0.9680533417147476,0.9935923219592858,0.8742734507734955
DecisionTree2,0.980068064311403,0.982988176630998,0.7408661287968197,0.7254565666705123,0.8891218640635061,0.8664935022455725,0.9668792007913929,0.9938785229420484,0.8781413454314969,0.8819936067017425,0.9174804296958385,0.8976307108228058,0.9513426118790508,0.9547416457283466,0.9965056441949618,0.6203894857728356,0.7341829728847314,0.6289001901830583,0.8854489799233453,0.6517598609822081,0.9873399086377019,0.6748057620828315,0.8893735749201455,0.7119601446924535,0.914749617743303,0.6920880890505956,0.9648078693700611,0.6449125801515788,0.9788229477184229,0.6365245860835365,0.988047462959095,0.6521238111275319,0.9991314958578091,0.7367319907489389,0.8865937370558814,0.9842140931957715,0.888813327406663,0.916401425565448,0.9677844085641485,0.980748413908489,0.9838031040220013,0.9969874555378767,0.6309840316155906
DecisionTree4,0.8289273942769338,0.9247272835052632,0.7851446259683044,0.9318450318292545,0.8382834177178619,0.9123800280331669,0.8273372525047666,0.9410917365099075,0.7908809077747524,0.8526975562002111,0.8748399496126109,0.9537925434031922,0.8530918004283933,0.8984123719498954,0.8219116129477559,0.693668150905399,0.7730736265638606,0.6307232778183586,0.8230924327173743,0.726097963764524,0.839476643828317,0.6958366344866674,0.8013495526795366,0.7334635168195084,0.8634897387461393,0.7205630915395189,0.8735766262197536,0.6685774422299358,0.9168939865563585,0.7972279610040703,0.8206310800397287,0.6782369525768702,0.8417000710570142,0.7784355716140723,0.8353026467072482,0.8465666547110593,0.8037185191361759,0.8665204561130275,0.8678503108190406,0.9006112648018277,0.8209158159800144,0.9503744719334973,0.7644041416446522
DecisionTree8,0.9076256642068447,0.9302470117009269,0.8267571171047962,0.8654076461851195,0.803124751881912,0.8515645321362819,0.8566235556520119,0.9122856993803274,0.786975065287421,0.832125110356701,0.9060461963939669,0.9449481459654159,0.8606581248005081,0.8801401012488435,0.9335642214857471,0.8023997839521201,0.852680883354717,0.746406428247505,0.8351405649792405,0.7729232013679926,0.8887266485327778,0.778833748900495,0.8172736430968521,0.792337069086341,0.9279422257427121,0.8067429638376015,0.8677153701770506,0.7706851696772327,0.9182006506187289,0.8286338463315204,0.9510747150229361,0.7758187031882047,0.9345166405398531,0.8551143357641439,0.8289715955320834,0.8845594009362722,0.811209302714062,0.9269511717676062,0.8661541672770625,0.9157415778764983,0.9448188095350192,0.9686363772959099,0.7981976140229718
DecisionTree16,0.9093751608552253,0.9160546828074208,0.8609927754613688,0.8659836267159028,0.8558883929681077,0.8738203153837718,0.8927134117382834,0.9018741099190725,0.8270424658965965,0.8716126110377783,0.9043564814677072,0.9413785917328858,0.8786496287443074,0.8854005599183205,0.918063237057625,0.8441599999490407,0.8634645195310032,0.8429852879266433,0.8593857411950178,0.9029097991398689,0.899915738688629,0.8410944187750045,0.8408776457502961,0.8860619047354714,0.9188456902413494,0.8746025723504561,0.8756931431432844,0.8638873567960366,0.911941774758981,0.8490609826020588,0.937551400032328,0.8381797607173331,0.9202595004628976,0.8604103779958493,0.854928051545289,0.8971625920272117,0.8391974385082069,0.9175533745899763,0.8732629778262408,0.9117907197248342,0.9341670147022673,0.9482343491566325,0.8369555448926751
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.9802619549633468,0.9819835693188805,0.7529364218386283,0.7376181332524451,0.8856698633034173,0.8646823743463554,0.9700467180055728,0.9943137692580766,0.8707881365182039,0.8739512193331909,0.9146165500178017,0.8940177833503832,0.9384719341326864,0.9448520982108635,0.9969094526586165,0.610098765938104,0.7433525701949288,0.6523745528893837,0.883346985968728,0.6203254877205366,0.9898513841637082,0.6629083425441484,0.8812164010360707,0.6785341006808621,0.912383913499216,0.6442086234387112,0.953288647350591,0.6127496789342779,0.9786358509317751,0.6244654908037655,0.9871655304676061,0.6406227408694676,0.9997851313709252,0.7452276221661965,0.8847196147795647,0.986856337896234,0.8809514695632004,0.9138796958207968,0.9560986866947064,0.980625877915726,0.9834283976434112,0.9973439882121892,0.6197873890139196
RandomForest4,0.8474169102992564,0.9254587162591136,0.8008076806658777,0.9416347649373801,0.8482326350147621,0.9259319679800193,0.8403484192880539,0.945538454102811,0.8056321502374152,0.8455261735782982,0.8777841912845736,0.9551902286579412,0.8396195670800677,0.889632971822538,0.8216953783603231,0.7004351768718814,0.7663900828348844,0.6326890527859486,0.8168729910279217,0.7289846740516677,0.8402908144997581,0.7046712102925724,0.8035877575398409,0.751076434004449,0.8583891286694113,0.7307537909504757,0.8660096015982647,0.6824684797861476,0.8961603516979109,0.7985963926205204,0.8186140043489535,0.6959229850017611,0.8412181405713949,0.7756934869936234,0.8277456018831008,0.8437603965992256,0.7961960889417157,0.8623369180440231,0.8570116480238751,0.8968563956233152,0.8171751326707921,0.9572679952516183,0.7808186770724901
RandomForest8,0.9115841027148599,0.9302054866519335,0.8247758999704861,0.8683659580197479,0.8035576326330828,0.8595673637053293,0.8548153222486664,0.9060587663864298,0.7915961433142484,0.8272179811523919,0.9060048399276301,0.9432543471347715,0.862008926517712,0.8797696860715272,0.9344288889075714,0.8045020970142106,0.8524684029555236,0.7458367492313386,0.8350806502014414,0.780514198749693,0.8851775860729966,0.7708358598991479,0.8146205207703435,0.7837027011515252,0.9249364951362982,0.8099994159194405,0.8698925060301922,0.7634005369587564,0.920250561761011,0.8287443295392134,0.9504256043780768,0.7735440340187398,0.9376725213153888,0.856300578137724,0.8293062855985522,0.8811990286874335,0.8084691607388688,0.9240525684073525,0.8678038137622868,0.9165751834810433,0.9455281310148145,0.9675626394768189,0.7972486053362793
