,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
LogisticRegression,0.9534349936682144,0.9583488605417801,0.906140007821666,0.9382570162481536,0.7535211267605634,0.900709219858156,0.9017153453871117,0.9065238558909445,0.5789473684210527,0.9459459459459459,0.9217451523545707,0.9258273107645493,0.8755718206770357,0.8842756183745583,0.9748138479337862,0.8562651275367715,0.9263569334636227,0.84688995215311,0.8639705882352942,0.6363636363636364,0.901144897205466,0.8729096989966555,0.6376811594202898,1.0,0.9194392523364486,0.844311377245509,0.8825966850828729,0.7169811320754716,0.9579489962018448,0.8679611650485437,0.9615721456798035,0.869031377899045,0.9768234211213233,0.9275496465836419,0.8409893992932862,0.9015673236760864,0.68,0.9198839949247779,0.8777528089887641,0.957863478446519,0.9613645043922247,0.9898662556870362,0.8624751415022182
SVMClassifier,0.952263989747971,0.9604098875378204,0.901887497663988,0.9337807606263983,0.816793893129771,0.8923076923076924,0.916030534351145,0.9181272509003602,0.8695652173913043,0.8648648648648649,0.9196428571428571,0.9308755760368663,0.8708260105448155,0.8665526090675791,0.9734902733023034,0.8552583363869549,0.9280299729894572,0.8203799654576857,0.8482490272373541,1.0,0.922688469400024,0.8178807947019867,0.7777777777777778,1.0,0.9228869895536562,0.8345323741007195,0.8796755295178008,0.8522727272727273,0.9557798203555202,0.8514034122179417,0.958983209750277,0.8487937478763167,0.9764105393847428,0.9280026542800266,0.8544061302681992,0.9179719224968094,0.8,0.9182087342709104,0.8725617685305592,0.9553458507636929,0.9589573934837092,0.9905061620183118,0.847194769651817
DecisionTree2,0.8906869184151139,0.9983738731092291,0.9330892514871283,0.9908229173799993,0.8959361847288378,0.8782911232657734,0.8682005686247979,0.9981719613022648,0.8209984696796717,0.8651322969767253,0.9110217855604591,0.8335909001011947,0.8952323982967783,0.9650623711286676,0.9996451081857815,0.6607972894317723,0.9916115817101557,0.6794260776583719,0.8872011162396889,0.6518214722583916,0.9989381187017378,0.709524594129017,0.816234502473527,0.8159047619047618,0.8591520854991914,0.674360654064887,0.9703776004429154,0.5995719089728323,0.9054079722737437,0.8110336197257627,0.9990597337712599,0.6708649905674107,0.999547280694895,0.9916448826869474,0.8903962072303285,0.9989103889398727,0.8167179018864924,0.860429693111786,0.9704937936610379,0.897346757938148,0.99926117307766,0.9998473979895418,0.6658397835151034
DecisionTree4,0.7745071175671149,0.9545580268169997,0.7805706296458496,0.9770937682805156,0.7774918153294288,0.8732889608370625,0.8515272004820779,0.9451680728109971,0.8062069844329866,0.8655037192401589,0.8083302054650818,0.9098648684620015,0.8260137709272165,0.934848914418639,0.8457131776729496,0.815693082431158,0.9783432293417252,0.6974877826298025,0.8670727049864607,0.7378885636637185,0.9497532237729546,0.7703124231832769,0.8068427153786358,0.9631666666666666,0.9205495089708233,0.6927891552133876,0.9451722736871464,0.6507678974445069,0.7982968331238516,0.790456054259579,0.9861949127911039,0.781285662243579,0.8412449114127059,0.9786109745019681,0.8653480577245866,0.9487076453144268,0.8159397546504213,0.9228664256019943,0.9451584145888193,0.8020295759160716,0.9811524359635778,0.9929060103686664,0.7585574429231418
DecisionTree8,0.94581301862007,0.9350171982282944,0.876259972200868,0.9178703486081826,0.8071922847598345,0.8737337945730528,0.8841525918721325,0.8955636460594029,0.7924971160223468,0.8885955686702736,0.8888621176409931,0.9043883970030311,0.8625087064594917,0.8774717937463208,0.9414424199788667,0.8340550196818904,0.9085967395279816,0.8127226725910981,0.8347054090105702,0.843113978814443,0.8957243053627546,0.7996492499665477,0.8324485883556169,1.0,0.891038145510178,0.7930688739377506,0.8743620946498821,0.7435179323994907,0.9214057286488493,0.8305364202144002,0.9518031582933925,0.8603113036788053,0.9439110951312014,0.9028808561776756,0.8357343638748066,0.8920864837877649,0.841796601436443,0.8894600819596277,0.8693712212605437,0.9320617674898584,0.9506561612851914,0.9720778567592013,0.8351334789457908
DecisionTree16,0.9306394657751486,0.9239217727779045,0.8793392066788489,0.9021019410589853,0.866382016471664,0.9048251727864396,0.8955981167397288,0.8953759893683597,0.8630206279892385,0.9242070875174534,0.910760343221184,0.9134423556290396,0.8935504451367295,0.9004338472639272,0.9265821940515133,0.8770993064465894,0.8913846323333381,0.8636533239573688,0.8748155829496319,0.9341031541987426,0.8931500375867237,0.8955211211706324,0.8858447881667815,1.0,0.909624587404761,0.8894486418353484,0.8915752823499283,0.8879703369778482,0.9169773618328708,0.8681200531321314,0.9438071483979222,0.8875540273519722,0.9296038649672611,0.8893854290159895,0.8778324732768314,0.8932562982593574,0.8887092563090203,0.9063441071136734,0.8880213690242164,0.9242753832225994,0.9446058217889324,0.9568689333497994,0.877136227397057
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.8922787420636094,0.9984718504143908,0.9401596907381926,0.9921606288090336,0.8952869133229092,0.8627093716663655,0.8704792603684394,0.9987332988768773,0.8312080186402708,0.8895584896996476,0.9096703349738151,0.8352086088952363,0.896529452975298,0.9750576423113542,0.9996365671520148,0.6546404560704265,0.9932501334883039,0.6650958024813004,0.8777659049971611,0.6530352499667517,0.9990793825715737,0.7082776007458438,0.850007514578962,0.8918333333333334,0.8607811435674024,0.6470678027833582,0.9785435165022679,0.6152761513029051,0.907126676447266,0.8050551183607173,0.999155609541829,0.6643730816187048,0.9995189016075844,0.9932334007207524,0.8809489085741903,0.999004575941519,0.8520620664834969,0.8618486518024326,0.9782824813981778,0.8989846186917512,0.9993953005626901,0.9997471015638613,0.6591138945294321
RandomForest4,0.7779197537582816,0.9525993700599948,0.7877429380044118,0.9774954969448411,0.7918193819730365,0.874418160606929,0.8525036280921691,0.942841840249052,0.7890055342908786,0.8635261556102638,0.814174154307028,0.9091540395754438,0.8373734944431079,0.9318089836346937,0.8485312374894325,0.8129701077589272,0.9765169837145191,0.6799723404322863,0.8722845345745064,0.6972138231995042,0.9436776938210804,0.7569396591266775,0.8024454450514616,0.956,0.9165248414388958,0.6749627832081382,0.9401826451674578,0.6353864056789847,0.7997344333357259,0.8039360534399538,0.9827841148929182,0.763064455653598,0.8422275455277117,0.9793018555272872,0.8741998205128937,0.9453075320158918,0.812365881301984,0.9224673888638912,0.942835523745437,0.804747615273278,0.9807163982363203,0.9890436962540037,0.749275262693872
RandomForest8,0.9401876105781866,0.9366884524190204,0.880412219712871,0.9146204014629745,0.7892287800557111,0.8558797439698124,0.8772591115951436,0.8825431079169875,0.7746911314399034,0.8854410039936993,0.8849822904937877,0.904375048793785,0.8647865273535439,0.8808828907210661,0.9408970662641407,0.831547736791248,0.9042639177127263,0.7975062528562533,0.82159526424707,0.8094689721183529,0.8899425369090822,0.8162573402098962,0.8166750133663311,1.0,0.8883782372403068,0.8012717542991024,0.8759680572688944,0.7444464378387184,0.9225947534941138,0.8274524144449629,0.949358895043459,0.8593168214389614,0.942871121379921,0.903237339083955,0.821016722041446,0.8861981551170623,0.8259016359881493,0.8877225866654126,0.8701099327205317,0.9309446133090169,0.9501701557586192,0.9711112219327444,0.8308940586080307
