,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
LogisticRegression,0.9718917148782884,0.9644522020477234,0.9230379746835443,0.9381366087477532,0.8257575757575758,0.8982300884955752,0.9152542372881356,0.9280430396772025,0.8333333333333334,0.9152542372881356,0.9394173756122712,0.9635913750441852,0.8783403656821378,0.9046862589356632,0.9852161843876177,0.9004531501242509,0.9358974358974359,0.8471986417657046,0.8642241379310345,0.7692307692307693,0.9262228038606249,0.8258928571428571,0.8461538461538461,1.0,0.9490358126721763,0.9425287356321839,0.8923076923076924,0.7901234567901234,0.9719851605319003,0.8905761500669942,0.9660681759042414,0.9021645021645022,0.9871597429986757,0.9343702880723752,0.863265306122449,0.9242543790437115,0.8504672897196262,0.9502087060226595,0.8873554643789631,0.972020177481816,0.9670430371461299,0.9939015477563218,0.8989046959587058
SVMClassifier,0.9717461703598588,0.965261074096937,0.9154430379746835,0.9432294787297784,0.8257575757575758,0.8938053097345132,0.9122807017543859,0.9290517821116342,0.8333333333333334,0.9152542372881356,0.939932972415571,0.9607635206786851,0.8741209563994374,0.8959491660047657,0.9843329407806191,0.9030843443940945,0.9376456876456877,0.8539898132427843,0.8599137931034483,0.7307692307692307,0.924914117454605,0.8348214285714286,0.8461538461538461,1.0,0.9487297214569942,0.9425287356321839,0.8884615384615384,0.7777777777777778,0.9712218134074289,0.8950424296560965,0.9682539682539683,0.9030303030303031,0.9867477561430182,0.9350051583207682,0.8448979591836735,0.9217295250118352,0.8504672897196262,0.9482707215265355,0.8832525177172696,0.9713914174252276,0.969497627229586,0.9937635002354929,0.9009190482185572
DecisionTree2,0.9049997299646592,0.9593560475495378,0.8896079265343648,0.8731520628264353,0.8761136975993772,0.8813906650611308,0.870518284411635,0.9740702408872218,0.7177110025807611,0.7079225787512813,0.9175997494344158,0.8696147738723612,0.9021684090961934,0.9356678625725923,0.9931130588872848,0.8556295273849582,0.8809788938556405,0.8134254532179435,0.9214634907609647,0.695473219242798,0.997672324063742,0.887759030080297,0.7310760741663475,0.4763333333333333,0.9075992229876239,0.8541219173724008,0.9709739453181148,0.8418392208821115,0.912337619888647,0.7693960283117309,0.9623794996069885,0.871218117104226,0.9945431054719256,0.8815014173370455,0.9196061212537263,0.997095400773484,0.724967863124353,0.9086738029604916,0.9695183270065257,0.9060549752997099,0.9629467921479334,0.9985958960448613,0.8560199994411276
DecisionTree4,0.8710737566625707,0.8909298380217971,0.7820945991106046,0.8808235156945472,0.7571535586731482,0.8154556814923918,0.8753712167686675,0.8977181776506926,0.6633312585584682,0.8045244472922785,0.8444912929046205,0.9407420580150909,0.8405515402786802,0.919455424316418,0.8539554294788297,0.7915206679243526,0.8886171303467043,0.724158885000416,0.8494693821369671,0.5741374096181617,0.9230144495367665,0.7801167847442269,0.7692915374466844,0.45685714285714285,0.9418204615485282,0.8193978202005903,0.938484656991057,0.7652910191301993,0.8029822876819915,0.7540939477820515,0.9495150163764409,0.8707623845809204,0.8997588320328912,0.858509199528543,0.8209485784303253,0.8939973715816641,0.738225969363819,0.9021069074329046,0.9055660982931206,0.8270732109858692,0.9302240378992049,0.9462824773507047,0.7664598410914922
DecisionTree8,0.9066201746991329,0.917823775950676,0.8467324168544303,0.9003959362314657,0.7693847369215615,0.8428151646613504,0.8732873423379197,0.8668427027341233,0.7843672792723217,0.8038884441211013,0.8817091558586471,0.9333247931253064,0.8525156328845119,0.8889803042559802,0.9325405389889757,0.8362544748577397,0.8653252112916762,0.7935486339082963,0.7917264546658361,0.6857511150317537,0.8687979064936185,0.8097251523978253,0.7868230054509807,0.6648809523809525,0.8892986043171978,0.843534963291077,0.8708510480943275,0.7982572612208716,0.9119829415492197,0.8262066944102774,0.9343311557977165,0.8485400487483864,0.9342206421613443,0.8654350458178804,0.7872874841697667,0.8658674471262994,0.7780764967276681,0.8925437902460938,0.866822277089827,0.9135365197274221,0.9342194335648228,0.9675256980688727,0.839382408478188
DecisionTree16,0.9075926941161419,0.9231771573936751,0.8826075440071901,0.9067945843775216,0.8517102318570136,0.889103375354011,0.8903753454824428,0.8902514664688796,0.8720060364038951,0.8660930105356893,0.9065875959021505,0.9491358162500765,0.8840173633998591,0.915105842334118,0.9247867884052353,0.8626390369750395,0.8922402205434959,0.8872395512741588,0.8615654606684892,0.8518730022332405,0.8884363908285964,0.9048117982059881,0.858501062992665,0.8685714285714287,0.920185273468854,0.9296031111588405,0.8938483644029286,0.9162438931704352,0.9114759465075621,0.8574800247208795,0.937901474595027,0.8693476782835122,0.9265935080866723,0.8921724192808326,0.857174779003965,0.8890956007594748,0.857585147172729,0.9194441493540747,0.8927940463547803,0.9133562611515923,0.9402027566819897,0.9521264930947898,0.8618655794955821
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest2,0.90654048483895,0.9645156122270209,0.8950127091809637,0.8737800837066549,0.8365516212511056,0.8517803385585546,0.870594556210418,0.974996277150707,0.7447103330408502,0.7048070139392004,0.9214965789709868,0.8782510936376802,0.8986076853691801,0.934736646893504,0.991010424519702,0.8537865921149941,0.8767407844922087,0.8057996329031003,0.8825540746338381,0.6437261891187973,0.9979164631494162,0.8887880525024849,0.738612995281039,0.4830357142857143,0.910464039001193,0.8539945999675349,0.969175072226947,0.8214920873508659,0.9136067606231719,0.7588218583904571,0.9671071121677159,0.8638836019157514,0.9921250800595435,0.8774311843503674,0.8791551538579949,0.9961754440212958,0.7327519139002888,0.9116755931443667,0.9679222964349428,0.9072540115598732,0.9675455636245958,0.9988322982180171,0.8530689170452341
RandomForest4,0.8725981547767323,0.8896141413799376,0.7775868840170649,0.8784996813743802,0.7575097542106629,0.8230740645837515,0.8731269930640295,0.8981695424169953,0.6651316557700073,0.7909347199554136,0.843908646240876,0.9371029619368026,0.837631313688241,0.9191908997366854,0.8570743846359068,0.7838947634586663,0.8828724097027785,0.7266993821097468,0.8443176662822316,0.5759928006060869,0.9174776034616712,0.7835065984185089,0.7655242636797039,0.3561666666666667,0.9388663004273845,0.8140142312926124,0.9342752609642707,0.7617790958644473,0.802974638413669,0.7514376718243636,0.9544746424384575,0.8629607464181254,0.885324636429371,0.8670815001930336,0.8248988588503736,0.9040019536432105,0.7496565687373298,0.9190609482447597,0.9129620484755309,0.8187660796002875,0.9457453738647943,0.9688010592345183,0.7601705090325802
RandomForest8,0.9054398730606553,0.9223939308262723,0.8465294023392492,0.895867954253805,0.7674055582693251,0.8494325523993709,0.8729334286888906,0.8699813096677714,0.7743748486528917,0.7846483552512873,0.8795147291831555,0.9318876612930489,0.8474691299597893,0.8914367768832021,0.9337260154890623,0.8345125911559412,0.8639495920247039,0.7940935511830708,0.7963687889240562,0.6474501960645747,0.8697435482632011,0.8067839293881288,0.7824073294152162,0.6463333333333334,0.8903469230240568,0.854548212540695,0.8701457612563773,0.8037483677836572,0.910451344617767,0.8217006041294606,0.9331088188595064,0.8487061471915213,0.939000571762186,0.861978772366873,0.7901477318668428,0.8672237094753157,0.7757434234881816,0.8915609705481523,0.8688164155041075,0.9112290080929522,0.9355256505463361,0.9707741914049657,0.835216070824368
