,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
incomeCA,0.9093751608552253,0.9160546828074208,0.8609927754613688,0.8659836267159028,0.8558883929681077,0.8738203153837718,0.8927134117382834,0.9018741099190725,0.8270424658965965,0.8716126110377783,0.9043564814677072,0.9413785917328858,0.8786496287443074,0.8854005599183205,0.918063237057625,0.8441599999490407,0.8634645195310032,0.8429852879266433,0.8593857411950178,0.9029097991398689,0.899915738688629,0.8410944187750045,0.8408776457502961,0.8860619047354714,0.9188456902413494,0.8746025723504561,0.8756931431432844,0.8638873567960366,0.911941774758981,0.8490609826020588,0.937551400032328,0.8381797607173331,0.9202595004628976,0.8604103779958493,0.854928051545289,0.8971625920272117,0.8391974385082069,0.9175533745899763,0.8732629778262408,0.9117907197248342,0.9341670147022673,0.9482343491566325,0.8369555448926751
incomeNY,0.9306394657751486,0.9239217727779045,0.8793392066788489,0.9021019410589853,0.866382016471664,0.9048251727864396,0.8955981167397288,0.8953759893683597,0.8630206279892385,0.9242070875174534,0.910760343221184,0.9134423556290396,0.8935504451367295,0.9004338472639272,0.9265821940515133,0.8770993064465894,0.8913846323333381,0.8636533239573688,0.8748155829496319,0.9341031541987426,0.8931500375867237,0.8955211211706324,0.8858447881667815,1.0,0.909624587404761,0.8894486418353484,0.8915752823499283,0.8879703369778482,0.9169773618328708,0.8681200531321314,0.9438071483979222,0.8875540273519722,0.9296038649672611,0.8893854290159895,0.8778324732768314,0.8932562982593574,0.8887092563090203,0.9063441071136734,0.8880213690242164,0.9242753832225994,0.9446058217889324,0.9568689333497994,0.877136227397057
incomeTX,0.9075926941161419,0.9231771573936751,0.8826075440071901,0.9067945843775216,0.8517102318570136,0.889103375354011,0.8903753454824428,0.8902514664688796,0.8720060364038951,0.8660930105356893,0.9065875959021505,0.9491358162500765,0.8840173633998591,0.915105842334118,0.9247867884052353,0.8626390369750395,0.8922402205434959,0.8872395512741588,0.8615654606684892,0.8518730022332405,0.8884363908285964,0.9048117982059881,0.858501062992665,0.8685714285714287,0.920185273468854,0.9296031111588405,0.8938483644029286,0.9162438931704352,0.9114759465075621,0.8574800247208795,0.937901474595027,0.8693476782835122,0.9265935080866723,0.8921724192808326,0.857174779003965,0.8890956007594748,0.857585147172729,0.9194441493540747,0.8927940463547803,0.9133562611515923,0.9402027566819897,0.9521264930947898,0.8618655794955821
employmentCA,0.963061734008388,0.9348983464283855,0.9177316674428541,0.9086085098091587,0.8854951010609332,0.8405068506568426,0.9427144868013612,0.9114022359268706,0.8915367520923876,0.8559083462801397,0.9547465224307733,0.8840791826457639,0.9439202621402326,0.9207161751290844,0.9526690455743341,0.9535983536295789,0.9105612907125511,0.9390175271108354,0.8506330443573503,0.9579120942039845,0.9252504650140344,0.9446483315225248,0.8598807203870615,0.9730363575985504,0.9175197179773253,0.9491904717520329,0.9331575971868034,0.9392922684838528,0.9737549345699203,0.9417522284500164,0.9285806970463187,0.9670563112672638,0.9538772993510912,0.9116871389986498,0.8538742361515713,0.9268784100903186,0.8633648340842995,0.9179787577684748,0.9300715611066964,0.9682329364013988,0.9355661971295178,0.9697402329489572,0.9594421150188583
employmentNY,0.9562043897348274,0.9487667693359534,0.9268990249134639,0.9111671562129366,0.8852609395673874,0.8743013419357567,0.9283373844694206,0.8804873488496121,0.936643551683353,0.897823981375211,0.9307556625417311,0.863442198800317,0.9291482063304594,0.9016991717421433,0.9561996240633879,0.952866960201773,0.9178669885913117,0.9318058741421215,0.8618574305781584,0.9650516067749829,0.8954474740963831,0.9488694866745184,0.9201841246413552,0.9704524144156497,0.8907215735669836,0.9561603335492258,0.9113140612741177,0.9550916188622657,0.9590593638513387,0.9319305426803811,0.9390611233518011,0.9651779860464998,0.9567974772665864,0.9171426330246006,0.8638624488525198,0.8967739340417716,0.909125945274363,0.8897390409064591,0.907350590344774,0.9564617163571385,0.9455625525397489,0.9627441166608804,0.9542625941102152
employmentTX,0.9636723382719122,0.9383498372704503,0.9328560093056955,0.9210499300971878,0.9083580869286253,0.8670949216958773,0.9310053630535429,0.8859233161927869,0.9641896747602323,0.8771347638832852,0.9529241377740396,0.8822979070877582,0.9409433700178831,0.9206710662924599,0.9542908302334239,0.94876687536776,0.9258395019582768,0.932089502683839,0.8779192467956483,0.946361604881096,0.9044813949019804,0.9364248459403955,0.8989372952599431,0.979254218004218,0.9136337219569535,0.9510499711088624,0.929014454489623,0.9616146010460613,0.9778922548763278,0.9371070594496927,0.9362454511521143,0.9651874785889437,0.9555061887219791,0.9238106529286975,0.8750054380954666,0.9019032617917947,0.8936246462014372,0.9116020758000762,0.9259103023613449,0.9652208357840522,0.9415150109166287,0.9634341378952307,0.952627398559708
coverageCA,0.8585654717376633,0.8688996027085942,0.8157190666358161,0.833093987823482,0.8348954755799513,0.8274890226586669,0.8579029375113437,0.8831454654761351,0.8510041890332823,0.8632749569202935,0.8215347211762155,0.792060224475981,0.8677486256554359,0.8645163890911008,0.8719802083904316,0.860854499800844,0.799321133798674,0.8509973828914745,0.7868843961843622,0.8867570866136214,0.8922248200399773,0.8694150371374372,0.8454185861537709,0.8924473165581541,0.8106278596417433,0.8094276242176758,0.8698045563181502,0.8817804141805732,0.8681958473433853,0.8326765892294056,0.8503837675628325,0.8736389466015575,0.871977305058032,0.8137434611544857,0.8079916231702055,0.8671746520140923,0.8354285915368882,0.8052275245212279,0.8562881304963302,0.8521287578765324,0.8649301602905937,0.8648958841942342,0.8535995279819558
coverageNY,0.8957507381318881,0.9206940701131895,0.8472950450132686,0.8488265179802882,0.9020134927238853,0.8859016616602123,0.849146821749182,0.8287347187522082,0.8884779369930067,0.9358022440744592,0.858505502839742,0.8188331178691004,0.8689222341760642,0.875060639231863,0.9262941440916492,0.9024443570113114,0.8237201453235515,0.886981655054426,0.8650175818463705,0.9164313586574364,0.8417252419376503,0.8506304880257811,0.9194567526289625,0.9339227756076312,0.8272053845433761,0.8651271387753147,0.8567619175230132,0.9130925823084352,0.880813529834581,0.8698958789359579,0.8740701711871948,0.8914094961826815,0.9550388507096603,0.8334137342744192,0.8659313057460695,0.8215379529021647,0.8957429267904687,0.819311289125245,0.8504198940005868,0.8656074009279119,0.8811649399098223,0.8890535691361936,0.8752088290539213
coverageTX,0.9492602961388715,0.9500632701655897,0.9427109700463272,0.9274407797462421,0.9588006980931583,0.9570061832750347,0.9608637141544628,0.9649226158876334,0.9301583359313322,0.9649903848194819,0.9526111043400249,0.9442765836465251,0.9528023472333215,0.9438121842850447,0.9460984756739872,0.9498294706585686,0.9209160858414773,0.9415152738428761,0.9511970792621267,0.962870881070031,0.9663516993551542,0.9640306698304587,0.9206580557755634,0.9779531790360797,0.9330866097585668,0.9606451065508138,0.9366729076277887,0.9617704055564904,0.9487015817481387,0.9411026012168671,0.9378169216515437,0.9558922318504607,0.953637783501475,0.9240467869228896,0.9422731372617147,0.9582466294597264,0.938245013098664,0.9409437239014704,0.9352739641492737,0.94665325560588,0.947071312150893,0.9445187899990165,0.9485877473945705
incomeCA_err,0.009528255663420795,0.014406919035600638,0.01485960058844803,0.02124014027569788,0.020659344654124952,0.017901578939505676,0.013227865697361525,0.010134805590225693,0.025692240946902076,0.023058277683460953,0.010408114009225226,0.006686777129630433,0.01225797526930766,0.014833368196094458,0.0088159048742575,0.012879068084990397,0.01425988027046224,0.03691990381393507,0.015072920565134455,0.052258455385544474,0.010797502231441923,0.02237005106692603,0.01949007631597526,0.08596834068821697,0.007954433098608847,0.031808828863263465,0.011227891555948825,0.0386130557731809,0.009371560416437455,0.013850130984632164,0.012296155605194084,0.017235150395767413,0.009852645695583676,0.01328135468478745,0.013623516267100746,0.010142094025034343,0.019255434506390313,0.007179474570219176,0.011557067656263756,0.009475862522871078,0.01107366822238439,0.010594915150219954,0.013353766931318851
