,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
incomeCA,0.9660643801795852,0.9621518336150511,0.9089828897338403,0.8935783980031767,0.8299212598425196,0.8698010849909584,0.9365478871373691,0.9498566379942656,0.7703081232492998,0.8515406162464986,0.9502821412231204,0.9675243326587646,0.9093066174532033,0.925255704169945,0.9783611890380416,0.8801537386443047,0.9071287617168229,0.8422090729783037,0.852014010507881,0.8695652173913043,0.9467622394655346,0.8606194690265486,0.8117816091954023,0.7222222222222222,0.9594442520775623,0.8837209302325582,0.9187145557655955,0.83,0.9716294118266992,0.8753048284831735,0.9679503931956951,0.868532313267566,0.9815622908175802,0.9011027278003483,0.8468013468013468,0.9463698288752285,0.8067226890756303,0.9586224511515048,0.9174336050486458,0.9726142639402997,0.967896443033573,0.992756981945507,0.8755171793488037
incomeNY,0.9534349936682144,0.9583488605417801,0.906140007821666,0.9382570162481536,0.7535211267605634,0.900709219858156,0.9017153453871117,0.9065238558909445,0.5789473684210527,0.9459459459459459,0.9217451523545707,0.9258273107645493,0.8755718206770357,0.8842756183745583,0.9748138479337862,0.8562651275367715,0.9263569334636227,0.84688995215311,0.8639705882352942,0.6363636363636364,0.901144897205466,0.8729096989966555,0.6376811594202898,1.0,0.9194392523364486,0.844311377245509,0.8825966850828729,0.7169811320754716,0.9579489962018448,0.8679611650485437,0.9615721456798035,0.869031377899045,0.9768234211213233,0.9275496465836419,0.8409893992932862,0.9015673236760864,0.68,0.9198839949247779,0.8777528089887641,0.957863478446519,0.9613645043922247,0.9898662556870362,0.8624751415022182
incomeTX,0.9718917148782884,0.9644522020477234,0.9230379746835443,0.9381366087477532,0.8257575757575758,0.8982300884955752,0.9152542372881356,0.9280430396772025,0.8333333333333334,0.9152542372881356,0.9394173756122712,0.9635913750441852,0.8783403656821378,0.9046862589356632,0.9852161843876177,0.9004531501242509,0.9358974358974359,0.8471986417657046,0.8642241379310345,0.7692307692307693,0.9262228038606249,0.8258928571428571,0.8461538461538461,1.0,0.9490358126721763,0.9425287356321839,0.8923076923076924,0.7901234567901234,0.9719851605319003,0.8905761500669942,0.9660681759042414,0.9021645021645022,0.9871597429986757,0.9343702880723752,0.863265306122449,0.9242543790437115,0.8504672897196262,0.9502087060226595,0.8873554643789631,0.972020177481816,0.9670430371461299,0.9939015477563218,0.8989046959587058
employmentCA,0.9608072077096004,0.9396991396630776,0.9389482594434452,0.9332622601279318,0.9022900763358779,0.8733488733488733,0.9401092323806673,0.9515260323159784,0.9327217125382263,0.8989751098096632,0.9621684364386742,0.9074387334634569,0.9675946547884187,0.9581018004000889,0.9248261215821608,0.891073177557017,0.9185871743486974,0.8746070555361509,0.8695842450765864,0.8717948717948718,0.9364421629867854,0.7979043719137661,0.9375520399666945,0.8161764705882353,0.9611813376235349,0.7808267997148967,0.9714116952155937,0.7795801526717557,0.9515822725306959,0.7912028863130421,0.8921992368199566,0.9164429633743714,0.9854691392194852,0.9361690828952259,0.9037350789372353,0.9647597254004576,0.9274495138369484,0.9590854132481216,0.9711313828012015,0.9601622818596682,0.9436596790455386,0.9357625987177711,0.8658809845543335
employmentNY,0.9680983434525148,0.9598859153730454,0.9493356193741963,0.9532014309702854,0.8784313725490196,0.9230769230769231,0.9383738995339203,0.9300236406619385,0.9615384615384616,0.7352941176470589,0.9465150950428625,0.8867726716756945,0.946265243902439,0.9590892920668801,0.9407361538601635,0.872464827334186,0.9430774202483726,0.8170764658200487,0.8854166666666666,0.8783783783783784,0.9328264508928571,0.7570346320346321,0.8348623853211009,0.9090909090909091,0.9319448518627164,0.8132250580046404,0.9607804493496256,0.7728531855955678,0.9520563422717686,0.7802227472156598,0.917649920934193,0.9031045667507595,0.9843634958703592,0.9573771784559577,0.9187725631768953,0.9434008897676718,0.8083333333333333,0.9284876905041032,0.9597056117755289,0.9685829513819055,0.9625023368394124,0.9448123756687631,0.8515392254220456
employmentTX,0.9612364176826207,0.9471794772281839,0.9481245011971269,0.9434990297059263,0.9373776908023483,0.9317697228144989,0.946415897799858,0.9326843755155915,0.9111111111111111,0.811965811965812,0.9538346984363366,0.9196774693750969,0.9648255813953488,0.9715976331360947,0.9323386146935055,0.8689624461926674,0.9445962623413258,0.816358024691358,0.9347319347319347,0.8852459016393442,0.9402942840973402,0.7178082191780822,0.8730964467005076,0.5,0.9664093298291722,0.7641700404858299,0.957613814756672,0.8333333333333334,0.9559605299847984,0.7818088620571819,0.8951158478405674,0.9145485025599203,0.9897899765105308,0.9428802838630053,0.9520408163265306,0.952722920406942,0.855072463768116,0.9536615010635066,0.9772727272727273,0.9598154290730283,0.9479968460180979,0.9402520392140984,0.8558378964899442
coverageCA,0.9508183261262247,0.9692913728562723,0.8754700287547003,0.90559186637618,0.8778761061946903,0.8225039619651348,0.9400389060533242,0.9605875742494783,0.8705035971223022,0.881159420289855,0.8607685433422699,0.8559538092381523,0.9406727828746178,0.9418926397343663,0.9566830416538737,0.9524445878070135,0.8255497899678774,0.9363735070575462,0.7822141560798548,0.862015503875969,0.9750287326298193,0.9190607259590573,0.9064516129032258,0.8722044728434505,0.8396921830700689,0.913882275675232,0.9588918677390528,0.915282392026578,0.9586138892801803,0.8853383458646616,0.9179650781895349,0.9470614035087719,0.9837669422689911,0.9093851132686084,0.8394648829431438,0.9551823371231778,0.8908507223113965,0.8625947973579059,0.9478500871586287,0.951950618040345,0.959582192374887,0.9445766408883601,0.9501671264855688
coverageNY,0.9602969827813175,0.9827229827229828,0.8852306547619048,0.8306150186884131,0.845360824742268,0.7299270072992701,0.8363171355498721,0.8674401382374722,0.7037037037037037,0.8421052631578947,0.822007722007722,0.8081542351453855,0.9247422680412372,0.9021097046413502,0.9624003750586029,0.93687237147026,0.7707617152162113,0.8917175239755885,0.7719298245614035,0.7416666666666667,0.8812351543942993,0.7764366308055628,0.8205128205128205,0.7692307692307693,0.725018504811251,0.823394495412844,0.9066467513069455,0.8480392156862745,0.9434695560004711,0.8605647653835347,0.9016290368676765,0.9306891379158211,0.9833079404911275,0.8647664713194815,0.7735042735042735,0.8633514417049728,0.7846153846153846,0.8023983315954119,0.9169373549883991,0.9532641424819015,0.9675804885336521,0.9260956579748818,0.9247737250013549
coverageTX,0.968514214765528,0.9858565180980738,0.9590970807875084,0.9640445644834571,0.9411764705882353,0.9484978540772532,0.9686296092460099,0.985278276481149,0.8421052631578947,0.8636363636363636,0.9601670414391262,0.9575589459084605,0.9433962264150944,0.9593908629441624,0.97918637653737,0.9816286249304115,0.9569657184536834,0.9592545799115604,0.9637305699481865,0.9157088122605364,0.9719152854511971,0.9843621399176955,0.8297872340425532,0.8596491228070176,0.9539270253555968,0.9692881745120551,0.9587965990843689,0.937007874015748,0.9748805868304333,0.9550329627078619,0.9717803578068834,0.9823734994681659,0.9948386403043051,0.962762356127285,0.9537444933920705,0.9767492394611038,0.8653846153846154,0.9601071747543912,0.9567779960707269,0.9707132087540549,0.9864117111437977,0.9786153491007534,0.981796321692247
incomeCA_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incomeNY_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incomeTX_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
employmentCA_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
employmentNY_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
employmentTX_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
