,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
incomeCA,0.9640494183311906,0.9607569355135036,0.6880242311276794,0.7252520623281393,0.752411575562701,0.8141263940520446,0.9317581837381204,0.9304714248090598,0.7346938775510204,0.8314606741573034,0.8732741997686078,0.9278100775193798,0.6370924639230358,0.7303707742639041,0.9706841875045564,0.689830108541765,0.7137783221065523,0.34826883910386963,0.7890484739676841,0.32608695652173914,0.9336717077549893,0.6785195936139332,0.7813884785819794,0.2727272727272727,0.897117903930131,0.6181818181818182,0.6842324226875607,0.22613065326633167,0.9642173263472424,0.74962987333443,0.9648757874717698,0.6253041362530414,0.9711704395492843,0.70771719038817,0.7939655172413793,0.9318061964403428,0.7796852646638054,0.8983465750483144,0.683940620782726,0.9647367119901112,0.9635197951988502,0.9756440594722507,0.6982108800290618
incomeNY,0.9450297999148574,0.9520116335433835,0.7588895227229512,0.751452838623156,0.7956204379562044,0.8409090909090909,0.6462338837367112,0.6391231028667791,0.7741935483870968,0.8888888888888888,0.8880226789510985,0.8963249516441005,0.7155635062611807,0.7730061349693251,0.9677823145471344,0.5761398450171202,0.753195240193918,0.2144,0.8287937743190662,0.5,0.6495406189555126,0.17666666666666667,0.859375,0.3333333333333333,0.8927283083349156,0.32857142857142857,0.7432617633622659,0.2,0.9442548826694019,0.6450371185042617,0.9541229513451142,0.46131243878550443,0.9692794714747781,0.7506265664160401,0.8401486988847584,0.6439570695286981,0.8507462686567164,0.8864434991677456,0.7410358565737052,0.9428493619670091,0.9534715815651197,0.973374220154383,0.5583582089552239
incomeTX,0.9623221627915438,0.9590455309819281,0.7748523206751055,0.8214499700419413,0.696969696969697,0.8584070796460177,0.7035385072851621,0.7394082044384667,0.5833333333333334,0.9152542372881356,0.8819283320443413,0.9508660303994344,0.6849507735583685,0.8459094519459889,0.9738812247644684,0.7061833065341324,0.8001165501165501,0.9083191850594228,0.7737068965517241,0.8076923076923077,0.7132340912808768,0.7142857142857143,0.8076923076923077,1.0,0.9089378634833181,0.9425287356321839,0.76,0.8024691358024691,0.9605960214347873,0.6766413577489951,0.9615057680631451,0.7881673881673882,0.976310755799696,0.7991429251646694,0.763265306122449,0.7153227079059492,0.8130841121495327,0.9028026237328562,0.7597911227154047,0.9606882064619385,0.9621174930453281,0.9772871226024393,0.7171094045071131
employmentCA,0.9793144311032884,0.96762145175416,0.8904877790709977,0.8801705756929638,0.5503816793893129,0.6355866355866356,0.9244351339218914,0.944577432010107,0.6055045871559633,0.5197657393850659,0.9647048708138085,0.8997614400346996,0.9347438752783964,0.9090909090909091,0.9440668967348023,0.9282682710694464,0.9157690380761523,0.6748166259168704,0.5037199124726477,1.0,0.9230832663326942,0.7693604721185113,0.5462114904246461,0.7867647058823529,0.9425649276028499,0.751960085531005,0.9522150029533373,0.5438931297709924,0.9654526195714169,0.8933369156367544,0.9211000930244332,0.9605665093029714,0.960394755051204,0.8731878285805321,0.5841355410088563,0.9098574194684035,0.5818997756170531,0.9246696605924518,0.9215708087662698,0.9712073619499685,0.9412703747269366,0.9558241910495887,0.9597010074748131
employmentNY,0.9746195937336032,0.9676192638419843,0.9107586798114017,0.9120245309191793,0.47058823529411764,0.5819397993311036,0.9012169860176075,0.8378250591016548,0.7115384615384616,0.6911764705882353,0.8537085352217667,0.7611392626244976,0.7957317073170732,0.7926004980434009,0.9510353871091117,0.8941348437785492,0.9385531600572458,0.6714401513104566,0.4083333333333333,1.0,0.9242466517857143,0.5579004329004329,0.7339449541284404,0.5454545454545454,0.8555783709787816,0.6380510440835266,0.8271580607016161,0.37119113573407203,0.9580194837802551,0.7888626392170098,0.9183432672424279,0.9183957164186789,0.9801354434716684,0.9059616749467707,0.5288808664259927,0.8757414730598122,0.675,0.8429975651546577,0.8103035878564857,0.9661695123371193,0.9537846959156967,0.9502057257237468,0.9080261697529062
employmentTX,0.9798148185342144,0.9543496400364815,0.9140462889066241,0.9171518137035378,0.48336594911937375,0.5202558635394456,0.9033002129169624,0.8046526975746576,0.5444444444444444,0.46153846153846156,0.9195830230826508,0.8067917506590169,0.8668604651162791,0.8236686390532545,0.9422226694050035,0.9112067685913612,0.9589210155148096,0.6450617283950617,0.41025641025641024,0.9836065573770492,0.8894548198453122,0.4018264840182648,0.4365482233502538,1.0,0.9156537450722734,0.5323886639676113,0.8918367346938776,0.35555555555555557,0.9668444676315292,0.8336370885066636,0.9135776909644086,0.9366136559285941,0.9758640769033379,0.9139154581919161,0.503061224489796,0.8452594682397195,0.4782608695652174,0.881191127316925,0.8486803519061583,0.9724386511407509,0.9450230916532122,0.9525525606590272,0.9072901158242701
coverageCA,0.9484098746510482,0.9636110385653347,0.8710462287104623,0.8402323892519971,0.8212389380530973,0.6925515055467512,0.9427852156997368,0.9641194413228448,0.7985611510791367,0.8347826086956521,0.872207327971403,0.8462057588482303,0.8902140672782874,0.8729939125622579,0.9625933885989152,0.9385742592507258,0.7907091672844082,0.9035830618892509,0.8294010889292196,0.7271317829457364,0.9760735555323373,0.9260278685704455,0.932258064516129,0.6741214057507987,0.8466585662211422,0.9128971348821936,0.930071492403932,0.7362956810631229,0.9592055219044936,0.8845327604726101,0.935340530378557,0.9394956140350877,0.9728075067284145,0.8660425335182617,0.7525083612040134,0.9572109260744445,0.7768860353130016,0.8982304493190899,0.8837884950610111,0.9475699603290089,0.9574138550559431,0.951559445908048,0.9505915747028862
coverageNY,0.9576115001842979,0.9714519714519715,0.8132440476190477,0.8149847094801224,0.6288659793814433,0.6131386861313869,0.8372762148337596,0.833621328067144,0.8888888888888888,0.9736842105263158,0.7984555984555984,0.711441213653603,0.797938144329897,0.7434599156118143,0.9714486638537272,0.9309072182645266,0.6871720644110729,0.8589363557105493,0.868421052631579,0.55,0.9189429928741093,0.7635791130936762,0.9743589743589743,0.9615384615384616,0.7079940784603997,0.831913499344692,0.8483943241224795,0.553921568627451,0.9418796372629843,0.8572632762011801,0.9134038296656187,0.9194829259684109,0.9805520702634881,0.8108684070324986,0.6794871794871795,0.8485861540604541,0.9692307692307692,0.7879735835940216,0.7373549883990719,0.9424050227432891,0.9500261447673116,0.9371174986222699,0.9248821202102867
coverageTX,0.9742765273311897,0.9879966502279706,0.9319416157501698,0.924206617150574,0.9230769230769231,0.9527896995708155,0.9757842597688497,0.9892280071813285,0.868421052631579,0.8787878787878788,0.9335046578862833,0.9425797503467407,0.8979416809605489,0.873821609862219,0.9852068461339984,0.9798066703780556,0.9456601021152443,0.9052432090966519,0.9896373056994818,0.9195402298850575,0.9884898710865562,0.9736625514403292,1.0,0.8771929824561403,0.9514533085961657,0.9167623421354765,0.9529103989535644,0.8169291338582677,0.9787188672807915,0.9452425464921775,0.9785976945006817,0.9807628020057741,0.9867471336980336,0.9256093432633717,0.9229074889867841,0.983702737940026,0.8846153846153846,0.9339089014587675,0.8919449901768173,0.9723580207429068,0.9808958464663444,0.9806509831902793,0.9822284007439274
incomeCA_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
