,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
incomeCA,0.8474169102992564,0.9254587162591136,0.8008076806658777,0.9416347649373801,0.8482326350147621,0.9259319679800193,0.8403484192880539,0.945538454102811,0.8056321502374152,0.8455261735782982,0.8777841912845736,0.9551902286579412,0.8396195670800677,0.889632971822538,0.8216953783603231,0.7004351768718814,0.7663900828348844,0.6326890527859486,0.8168729910279217,0.7289846740516677,0.8402908144997581,0.7046712102925724,0.8035877575398409,0.751076434004449,0.8583891286694113,0.7307537909504757,0.8660096015982647,0.6824684797861476,0.8961603516979109,0.7985963926205204,0.8186140043489535,0.6959229850017611,0.8412181405713949,0.7756934869936234,0.8277456018831008,0.8437603965992256,0.7961960889417157,0.8623369180440231,0.8570116480238751,0.8968563956233152,0.8171751326707921,0.9572679952516183,0.7808186770724901
incomeNY,0.7779197537582816,0.9525993700599948,0.7877429380044118,0.9774954969448411,0.7918193819730365,0.874418160606929,0.8525036280921691,0.942841840249052,0.7890055342908786,0.8635261556102638,0.814174154307028,0.9091540395754438,0.8373734944431079,0.9318089836346937,0.8485312374894325,0.8129701077589272,0.9765169837145191,0.6799723404322863,0.8722845345745064,0.6972138231995042,0.9436776938210804,0.7569396591266775,0.8024454450514616,0.956,0.9165248414388958,0.6749627832081382,0.9401826451674578,0.6353864056789847,0.7997344333357259,0.8039360534399538,0.9827841148929182,0.763064455653598,0.8422275455277117,0.9793018555272872,0.8741998205128937,0.9453075320158918,0.812365881301984,0.9224673888638912,0.942835523745437,0.804747615273278,0.9807163982363203,0.9890436962540037,0.749275262693872
incomeTX,0.8725981547767323,0.8896141413799376,0.7775868840170649,0.8784996813743802,0.7575097542106629,0.8230740645837515,0.8731269930640295,0.8981695424169953,0.6651316557700073,0.7909347199554136,0.843908646240876,0.9371029619368026,0.837631313688241,0.9191908997366854,0.8570743846359068,0.7838947634586663,0.8828724097027785,0.7266993821097468,0.8443176662822316,0.5759928006060869,0.9174776034616712,0.7835065984185089,0.7655242636797039,0.3561666666666667,0.9388663004273845,0.8140142312926124,0.9342752609642707,0.7617790958644473,0.802974638413669,0.7514376718243636,0.9544746424384575,0.8629607464181254,0.885324636429371,0.8670815001930336,0.8248988588503736,0.9040019536432105,0.7496565687373298,0.9190609482447597,0.9129620484755309,0.8187660796002875,0.9457453738647943,0.9688010592345183,0.7601705090325802
employmentCA,0.9973693921889302,0.9924619778364648,0.9553280232995411,0.9480983002258797,0.9522293192963125,0.9528565652443126,0.9205660106883041,0.9265210793862881,0.9571717333316038,0.9438978971464658,0.9569982947952337,0.9501292643476789,0.9773600700556606,0.9688382656183484,0.9359995862603984,0.9957999607357373,0.890397689942312,0.9974158446125605,0.9128238713534593,0.9963718619864071,0.9686283822145404,0.9963005414322497,0.8980943331008148,0.950537529323452,0.876030951476827,0.9993366658410433,0.9211793790254119,0.9893796294665335,0.9319624284625324,0.9943893274474721,0.9276284393172913,0.9976528800984208,0.9977381901852403,0.9555047649180498,0.9542749601332221,0.9243712404839214,0.954276410677165,0.956181290600632,0.976930657787571,0.9981794394316329,0.9930969980618974,0.931756605744668,0.9961962868218673
employmentNY,0.9808508185988113,0.938812413790463,0.8826550366712083,0.9404918051501541,0.900493078226596,0.8913043537108868,0.950122553599941,0.8923326415966636,0.8555374038584493,0.7491090693759886,0.9702232755196531,0.9054605347330287,0.9455351586816458,0.9089099844021286,0.9746750302780337,0.9842563276231892,0.9197602219773254,0.9928408954450544,0.8778462970711283,0.9665288720761117,0.9297011761823574,0.9682688605270178,0.8252379783998891,0.7781060589737059,0.9603773824780205,0.9913834852230707,0.9621934862295229,0.9093356046652238,0.953652087594474,0.9741513042431684,0.9124965702257929,0.9925720004724263,0.9949714744133985,0.9209525773680578,0.8984030946884428,0.9426698848462196,0.8165020753661405,0.9762834986108916,0.9611365407659336,0.9805728571605844,0.9355539283100321,0.976802213309309,0.9845540698532151
employmentTX,0.9851702509137512,0.9253449593438688,0.9470453953476979,0.9767651237077488,0.9464089820357593,0.885669318985651,0.8957678264364836,0.8497386518083894,0.7898676451905929,0.8359370158263331,0.9338961340093666,0.750761224434883,0.928772984260223,0.9313674106684222,0.9424777332795533,0.994281453195505,0.91515225341963,0.9970950501719811,0.9153940620617965,0.9807716497905337,0.9080864552582603,0.9742403361687376,0.8512732983591458,0.7378725335122392,0.8759982369932245,0.9468419835550157,0.9423804397166957,0.9888606078392103,0.9449173665581373,0.9902211292660807,0.8850510790973987,0.9978167742656423,0.9921278427506798,0.9501629159381086,0.9430650214471064,0.8903619295878957,0.8267988794021095,0.9281897622897277,0.9340783189915137,0.992051515977218,0.9240057916566745,0.9372966106032566,0.9944532389156486
coverageCA,0.974157118306821,0.9653441967790828,0.8066958576081867,0.7815364994017532,0.8083847631989148,0.7871060802767679,0.967976871854267,0.9505935752474461,0.8041399783043583,0.7848649606489981,0.6693612212918076,0.6891444574346981,0.8982666569728442,0.8920404044102835,0.9787210227337282,0.8716911765098502,0.8154471864866092,0.7614872587468539,0.8066640639084116,0.7766727812870207,0.9838287358310667,0.8765685798613696,0.844323593063684,0.7392600683501765,0.5619566028860729,0.9234026012981239,0.9196343029081312,0.8281942033591377,0.975984384635392,0.8134441160411439,0.9686086014635988,0.8905811411949035,0.9901457158393636,0.7973934562464912,0.7990288687508663,0.9669744988141225,0.7922642911649979,0.6799105104176103,0.8955833286409739,0.9779178728551214,0.9677905126572081,0.9773603766282385,0.872608045304007
coverageNY,0.8372248152617296,0.9894178517346933,0.8593264368061407,0.620356156590517,0.733891919325427,0.5256450583859165,0.7234088048810585,0.6860353612867088,0.6708200011027091,0.5051789565515006,0.7081734883249382,0.6631513304687673,0.8084201118954415,0.5992639510685897,0.9792537646834609,0.8644270076540953,0.7618885087847059,0.8689429201213781,0.7082087485790995,0.6572450017174835,0.8617386415438726,0.5678420834406877,0.742569142991654,0.7826498208439482,0.5112232787145669,0.7559546750321765,0.8204385126639083,0.7210490126936732,0.8994018714371763,0.8181067668890155,0.7732332446486371,0.7985485092134834,0.9890992613498665,0.6625491242952473,0.6266768020461455,0.7778642641445161,0.5530342897460677,0.6528388332135754,0.6462237014534291,0.7684044985682393,0.9374902500102393,0.8301449327102856,0.7975161718846284
coverageTX,0.9938450378546545,0.9970586860781885,0.9314793308406557,0.9282681171115865,0.9295468157966928,0.956473589123075,0.9822879623301303,0.9865586668608362,0.7907521841012585,0.8335699356248046,0.977715078808273,0.9821763833995205,0.9482128349761836,0.9646027979449987,0.9828664927732267,0.9863028552212562,0.9354750192031331,0.9070216293864449,0.9586713423633979,0.9322424875778578,0.9799517556326245,0.9850434155954753,0.8073080355031229,0.8239087351724629,0.9671749608374958,0.986804314962816,0.9569080749688841,0.9545905026744214,0.9808819833258738,0.9706949932266654,0.9859991198429491,0.9948501250716191,0.9975490273999849,0.9319287097784327,0.9421094393475117,0.9850295665129873,0.8172461712548116,0.9793684540275958,0.9565560407241602,0.9944528692092293,0.9973120242500787,0.9818411303508633,0.9866709001160084
incomeCA_err,0.08154897545984369,0.04250125819858604,0.09706108144882744,0.04555194893729996,0.10692116862304885,0.07252795602627377,0.05985313431419899,0.022133583095526984,0.07703614227452664,0.06365171025620052,0.07380909495299919,0.01731622015555119,0.07175742771265513,0.0694785519631945,0.0419612518526136,0.05797874693713293,0.04605544828808277,0.07749764762970036,0.06859112351014876,0.09938582133849999,0.030160754137869557,0.05741994734545543,0.06147342350045565,0.12587240776400108,0.032340925898613086,0.07736061324813923,0.06286441342968133,0.08213441347551748,0.06007765218335288,0.08016936338802505,0.029089060407872538,0.07863879941723105,0.07085244863597756,0.08271615950177118,0.0834254077599343,0.05396173378557573,0.06429756692106206,0.051108358650150496,0.06402193874289357,0.06779126393987772,0.05895202231165425,0.0522011155012923,0.07516971346155753
