,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
incomeCA,0.9996556419928937,0.9994518245107534,1.0,1.0,1.0,1.0,0.9997344839030866,0.9990729090788689,1.0,1.0,0.9989993842364532,1.0,1.0,1.0,0.9994640894516454,1.0,1.0,1.0,1.0,1.0,0.9991322758668564,1.0,1.0,1.0,0.9995619990363979,1.0,1.0,1.0,0.9995364029080182,1.0,0.9992285782103014,1.0,0.9993086819431096,1.0,1.0,0.9992707021149638,1.0,0.9991809991809992,1.0,0.999564606463615,0.9994838941309787,0.9995032650555339,1.0
incomeNY,0.9995728663338583,0.9996572799451648,1.0,1.0,1.0,1.0,1.0,0.9995304061986382,1.0,1.0,1.0,1.0,1.0,1.0,0.9995520449149632,0.9996364958197019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995370662626518,1.0,0.9997875955819882,0.9993284083277367,0.9994066755895299,0.9999174099768748,1.0,1.0,1.0,1.0,1.0,0.9999023666328204,0.9996603939430261,0.9996194623849138,1.0
incomeTX,0.9987628715933486,0.9975520977458013,1.0,0.9997004194128221,1.0,1.0,1.0,0.9973100201748487,1.0,1.0,1.0,0.999293036408625,1.0,1.0,0.9979075538358008,0.998830580324514,0.9996669996669997,1.0,1.0,1.0,0.9993456567969901,1.0,1.0,1.0,0.9998469543924089,1.0,1.0,1.0,0.9985038396360361,0.9991067440821796,0.997796860091942,0.9994227994227994,0.9978714012457698,0.9998412824379017,1.0,0.9985797696070696,1.0,0.9998509242695289,1.0,0.9983566498520985,0.9980854197349043,0.9980754551507967,0.9994964119350371
employmentCA,0.9873307425544151,0.9803547816530146,0.9847635170881388,0.9845415778251599,0.9969465648854962,0.9844599844599845,0.9879919197964986,0.977890817208591,1.0,0.9941434846266471,0.9902841666308413,0.9771416178703102,0.9946547884187082,0.9871082462769505,0.9843907618794797,0.9842358098969265,0.9854709418837675,0.9874257771568286,0.9929978118161925,1.0,0.9835281505762055,0.9906058051306756,0.9950041631973355,1.0,0.9823029188692255,0.992872416250891,0.9873006497341996,0.9952290076335878,0.9889751737710673,0.9815383434405466,0.9790346974807465,0.9887068406924002,0.9837565734846389,0.9844936540810366,0.9930689256834809,0.982978348882239,0.9955123410620793,0.9827705328612143,0.9877071976860607,0.9876348981428102,0.9811218702739035,0.9841988588414595,0.9855806236423037
employmentNY,0.98800689603478,0.984703578624741,0.9891984569224175,0.9813827845513616,1.0,1.0,0.988089073019161,0.9768321513002364,1.0,1.0,0.9906820723071189,0.9870697186790145,0.9939024390243902,0.9935965848452508,0.9866683665106453,0.9830805773798648,0.9850884077374082,0.9900027019724399,1.0,1.0,0.9815848214285714,0.9924242424242424,1.0,1.0,0.988559694925198,0.9976798143851509,0.9936933385888845,1.0,0.9880862709651501,0.980492743840702,0.9827514900863642,0.9915049168511558,0.986718083671699,0.9856083905054807,0.9963898916967509,0.9822046465645081,1.0,0.9873748760032465,0.9941122355105796,0.9889384043780631,0.9851524603229266,0.9857783598779237,0.9869443308604474
employmentTX,0.9882905862740766,0.9833019618496885,0.9889066241021548,0.9838781907747425,0.9960861056751468,0.9872068230277186,0.9904187366926899,0.9762415442996205,1.0,1.0,0.9934475055845123,0.988525352767871,0.9941860465116279,0.9911242603550295,0.9873519611266639,0.9831082084013656,0.9872179125528914,0.9771604938271605,0.9953379953379954,1.0,0.9775514053952085,0.9908675799086758,1.0,1.0,0.989323258869908,0.9979757085020243,0.9940345368916798,1.0,0.9908970703318252,0.9766488210502335,0.9826183232217761,0.988536994245843,0.9856546455853615,0.9860382597963592,0.9959183673469387,0.9829015987005215,1.0,0.99179580674567,0.9950146627565982,0.9890624635868595,0.9834716329365825,0.9867996598685365,0.9847838703979409
coverageCA,0.9897367124637364,0.9875729085052668,0.9907100199071002,0.990317114500121,0.9893805309734514,1.0,0.9899301979631536,0.992936265853267,0.9928057553956835,1.0,0.9839142091152815,0.9808038392321535,0.9899082568807339,0.9914222468179302,0.9838552860505577,0.9936408460439611,0.9772671114405732,0.9982627578718783,0.9891107078039928,1.0,0.9895517709748197,0.9949251677275073,1.0,1.0,0.9774807614418793,0.9880141203513669,0.9865951742627346,0.9983388704318937,0.9853500493027187,0.9939581095596133,0.9816845643318997,0.9920394736842105,0.9892466600392794,0.9907535829865927,0.9949832775919732,0.9906118790394867,1.0,0.9823452662480633,0.9950610110400929,0.9876238761162253,0.9874236435501258,0.9831024616866377,0.992731324278438
coverageNY,0.9942604391553894,0.9946569946569946,0.9946056547619048,0.9918450560652395,1.0,1.0,0.989769820971867,0.9876573685509751,1.0,1.0,0.9899613899613899,0.9867256637168141,0.9979381443298969,0.9915611814345991,0.9893577121425222,0.9971247103252939,0.9898679211145287,0.9968613775065388,1.0,1.0,0.9827790973871734,0.9910784570978746,1.0,1.0,0.9814951887490747,0.9960681520314548,0.988050784167289,0.9975490196078431,0.9888705688375927,0.9983843776341669,0.9863389539868533,0.9953233918644666,0.9937488797275498,0.9923637009412183,1.0,0.988856386683382,1.0,0.9888773027459159,0.9907192575406032,0.9938176692933564,0.9930031622718558,0.9866577718478986,0.9961248712806894
coverageTX,0.9973576135748623,0.9961151949381223,0.9943991853360489,0.9951046590141797,1.0,1.0,1.0,0.9992818671454219,1.0,1.0,0.9967876646321876,0.9977808599167822,0.9879931389365352,0.9978245105148659,0.9934061523465497,0.9984310946910269,0.9916119620714807,0.9987365761212887,1.0,1.0,0.9972375690607734,0.9983539094650206,1.0,1.0,0.9891774891774892,0.9994259471871412,0.9882275997383911,0.9980314960629921,0.9947543500511771,0.9992128308570304,0.9931413461141181,0.9978422732107582,0.9967472681084423,0.9965301286391334,1.0,0.9978270317253368,1.0,0.9944924084548973,0.9948919449901769,0.9966418421894275,0.9954647334874274,0.9925919707876015,0.998403186113355
incomeCA_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
