,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
incomeCA,0.9659464940332267,0.9645803724690378,0.9111638954869359,0.9059115523465704,0.8661290322580645,0.868421052631579,0.9367812315173819,0.9491124260355029,0.8103975535168195,0.8664850136239782,0.9442306181761055,0.9605087014725568,0.903731746890211,0.9248366013071896,0.9787032396227274,0.8781143993449526,0.9118910295741809,0.8539553752535497,0.872471416007036,0.7735849056603774,0.9509219369291746,0.8668555240793201,0.8238805970149253,0.9166666666666666,0.9549767196696829,0.8959810874704491,0.9168646080760094,0.9436619718309859,0.9717885510818953,0.8756275303643725,0.9682794547919789,0.873202875399361,0.9811386155354909,0.9088174033788475,0.8680672268907563,0.9499129063003253,0.8184438040345822,0.9545474147224977,0.9146540027137042,0.9723345960969724,0.9680533417147476,0.9935923219592858,0.8742734507734955
incomeNY,0.952263989747971,0.9604098875378204,0.901887497663988,0.9337807606263983,0.816793893129771,0.8923076923076924,0.916030534351145,0.9181272509003602,0.8695652173913043,0.8648648648648649,0.9196428571428571,0.9308755760368663,0.8708260105448155,0.8665526090675791,0.9734902733023034,0.8552583363869549,0.9280299729894572,0.8203799654576857,0.8482490272373541,1.0,0.922688469400024,0.8178807947019867,0.7777777777777778,1.0,0.9228869895536562,0.8345323741007195,0.8796755295178008,0.8522727272727273,0.9557798203555202,0.8514034122179417,0.958983209750277,0.8487937478763167,0.9764105393847428,0.9280026542800266,0.8544061302681992,0.9179719224968094,0.8,0.9182087342709104,0.8725617685305592,0.9553458507636929,0.9589573934837092,0.9905061620183118,0.847194769651817
incomeTX,0.9717461703598588,0.965261074096937,0.9154430379746835,0.9432294787297784,0.8257575757575758,0.8938053097345132,0.9122807017543859,0.9290517821116342,0.8333333333333334,0.9152542372881356,0.939932972415571,0.9607635206786851,0.8741209563994374,0.8959491660047657,0.9843329407806191,0.9030843443940945,0.9376456876456877,0.8539898132427843,0.8599137931034483,0.7307692307692307,0.924914117454605,0.8348214285714286,0.8461538461538461,1.0,0.9487297214569942,0.9425287356321839,0.8884615384615384,0.7777777777777778,0.9712218134074289,0.8950424296560965,0.9682539682539683,0.9030303030303031,0.9867477561430182,0.9350051583207682,0.8448979591836735,0.9217295250118352,0.8504672897196262,0.9482707215265355,0.8832525177172696,0.9713914174252276,0.969497627229586,0.9937635002354929,0.9009190482185572
employmentCA,0.9637349040656641,0.9394243813645184,0.9444503227171728,0.9352878464818764,0.9106870229007633,0.8749028749028749,0.9500224450097262,0.9514595385331471,0.9342507645259939,0.9033674963396779,0.9679721422122867,0.9031880286271958,0.9671492204899778,0.9552122693931985,0.9266525086275551,0.8803460659484166,0.9278557114228457,0.8613342647572476,0.8809628008752736,0.8685897435897436,0.9447090110705672,0.7842948331928219,0.9500416319733556,0.7941176470588235,0.9657320156285911,0.7640769779044904,0.9738924985233314,0.732824427480916,0.9580254341926305,0.757503646273125,0.8927434613948603,0.9139745132524916,0.9847209728757266,0.9406298125431469,0.9102810935695033,0.965780672416828,0.9334330590875094,0.9615467656965195,0.9676270997886306,0.965162201042009,0.9431503108721223,0.9385808572544179,0.8526076321776166
employmentNY,0.9704969642455588,0.9610920339415955,0.9520788684097728,0.9526903701540483,0.8862745098039215,0.919732441471572,0.9458829621957535,0.9332151300236406,0.9615384615384616,0.75,0.9489377562430116,0.892364144679364,0.9527439024390244,0.9573105656350054,0.9439688928551915,0.8494792618308058,0.9485711647661696,0.796271278032964,0.8895833333333333,0.8918918918918919,0.9372907366071429,0.7424242424242424,0.8165137614678899,0.8181818181818182,0.9415273296176787,0.777262180974478,0.9631454473787938,0.7368421052631579,0.956751531585819,0.7409382382720217,0.9205449458703321,0.8951758224785049,0.984487421544114,0.9587966248718556,0.924187725631769,0.9475407810182896,0.825,0.9332672017314456,0.9595216191352346,0.9731557832562374,0.9621677998287957,0.9487415516538371,0.8286991062562066
employmentTX,0.9661873104500994,0.9467719713581588,0.9531524341580208,0.9437229437229437,0.9393346379647749,0.929637526652452,0.9524485450674237,0.9381290216135951,0.8888888888888888,0.811965811965812,0.955770662695458,0.9137850829585983,0.9680232558139535,0.9701183431952662,0.9366118407424286,0.8503785067537479,0.953984485190409,0.7799382716049382,0.9393939393939394,0.8852459016393442,0.9471797774004904,0.6995433789954338,0.8781725888324873,0.4,0.9667378449408672,0.72165991902834,0.9620094191522763,0.82,0.9604760148597231,0.7195580362228045,0.8969251264694763,0.9103801368311358,0.9892471526420719,0.9474699166923789,0.9591836734693877,0.9573394887578012,0.8454106280193237,0.954876937101185,0.9790322580645161,0.9652531247329703,0.9466301205271656,0.9447286371796083,0.833758106437205
coverageCA,0.9556078603098145,0.9712065813528337,0.8568900685689007,0.8961510530137982,0.8849557522123894,0.8446909667194928,0.9433573635427395,0.9605073045432654,0.8812949640287769,0.8985507246376812,0.8468275245755138,0.8573035392921415,0.9452599388379205,0.9463198671831765,0.9616211237334971,0.9555089627206119,0.8047936743266617,0.9374592833876222,0.7695099818511797,0.8821705426356589,0.9772228607251071,0.9224152761052813,0.9129032258064517,0.8690095846645367,0.8308626974483596,0.9163451276578277,0.9680518319928507,0.9190199335548173,0.959825327510917,0.8898361976369495,0.9226080268892244,0.9478508771929824,0.9865674175011517,0.8907766990291263,0.8553511705685619,0.9585318677171298,0.8956661316211878,0.8521976677811303,0.9516269610691458,0.9536201694058541,0.961663796201073,0.9466587348800317,0.9521301994906621
coverageNY,0.9655626349323364,0.9843999843999844,0.8703497023809523,0.8188922867821951,0.8350515463917526,0.7226277372262774,0.840153452685422,0.8807701802024192,0.7037037037037037,0.8421052631578947,0.8142857142857143,0.797724399494311,0.9278350515463918,0.9012658227848102,0.9648382559774965,0.9375590078104884,0.7562873168083951,0.8936355710549259,0.7631578947368421,0.7333333333333333,0.8907363420427553,0.7827341905011808,0.8205128205128205,0.7692307692307693,0.7079940784603997,0.8247051114023591,0.9118745332337566,0.8406862745098039,0.9457661052879519,0.8614779432424838,0.9084881394684196,0.9301597105797229,0.9879234629861983,0.8482507547504884,0.7564102564102564,0.8732413985234713,0.7846153846153846,0.7914494264859229,0.9262180974477958,0.9551540777756422,0.9691242747939544,0.9324767236128434,0.9250176142214515
coverageTX,0.980357199707109,0.9916953568437703,0.9631704005431093,0.9638757596218771,0.9547511312217195,0.9484978540772532,0.9658778205833792,0.9802513464991023,0.868421052631579,0.8636363636363636,0.9521362030195952,0.9603328710124827,0.9536878216123499,0.9637418419144308,0.9773802356583814,0.9780353256743762,0.9682713347921226,0.9636765634870499,0.9585492227979274,0.9233716475095786,0.9700736648250461,0.9790123456790123,0.851063829787234,0.8596491228070176,0.9573283858998145,0.9569460390355913,0.972531066056246,0.937007874015748,0.9776953258273626,0.9618714946374102,0.9796306243027724,0.9838930253760827,0.9964918883318324,0.9648781313473257,0.947136563876652,0.9756627553237722,0.8557692307692307,0.9575766597201548,0.9544204322200392,0.9799195869694339,0.9912971912866849,0.9780067574657405,0.9801431496684263
incomeCA_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
