,"(1,8)","(1,9)","(2,8)","(2,9)","(3,8)","(3,9)","(4,8)","(4,9)","(5,8)","(5,9)","(6,8)","(6,9)","(7,8)","(7,9)","(1,10)","(1,11)","(2,10)","(2,11)","(3,10)","(3,11)","(4,10)","(4,11)","(5,10)","(5,11)","(6,10)","(6,11)","(7,10)","(7,11)","(8,10)","(8,11)","(9,10)","(9,11)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)","(ALL,5)","(ALL,6)","(ALL,7)","(ALL,8)","(ALL,9)","(ALL,10)","(ALL,11)"
incomeCA,0.9535066733820197,0.9503417772416566,0.8921269095182138,0.8871487793643482,0.8265139116202946,0.8558225508317929,0.9342330480579328,0.9374380656669089,0.8184615384615385,0.8586387434554974,0.9423226207110698,0.9693877551020408,0.904116865869854,0.9192056583242655,0.9621212121212122,0.8820318063137906,0.8986402966625463,0.8619329388560157,0.8405017921146953,1.0,0.9402303621458961,0.8467514124293786,0.828696925329429,0.8333333333333334,0.9525120139799039,0.9026315789473685,0.9111814927017351,0.8715083798882681,0.9588410449179566,0.889253486464315,0.9587583725828974,0.8935298935298935,0.9568287526427062,0.8893800162847505,0.8333333333333334,0.9359646519602994,0.8175388967468176,0.9523850451224752,0.9137212740223088,0.957738514498864,0.958136620947352,0.9678641578500959,0.8829583750796977
incomeNY,0.9409886252672138,0.9512836640173824,0.9161190568225744,0.9333433193529059,0.7559055118110236,0.8581560283687943,0.9116647791619479,0.9275853717607169,0.84,0.9428571428571428,0.920967159870083,0.9466150870406189,0.8785211267605634,0.9029038112522686,0.956231608358351,0.876947877485223,0.925724476148016,0.8740157480314961,0.841897233201581,1.0,0.9207752877044215,0.9446366782006921,0.8793103448275862,1.0,0.9328101071975498,0.9015151515151515,0.8783410138248848,0.9264705882352942,0.9513822290789309,0.8765568779407694,0.955901927948817,0.9055573401863154,0.9551112269963908,0.9214345991561181,0.8171641791044776,0.9171348314606742,0.9,0.9288648244958925,0.8882931188561215,0.9476531146396789,0.9532913404841923,0.9662062108647825,0.8670829616413916
incomeTX,0.954389986537132,0.9583218033589476,0.9292827004219409,0.9426303175554224,0.821969696969697,0.8539823008849557,0.9241748438893844,0.9206455951580363,0.8333333333333334,0.8983050847457628,0.9262696571281258,0.9632378932484977,0.9120956399437412,0.9277204130262113,0.9652380551816958,0.9045461189884519,0.9386446886446886,0.8896434634974533,0.8318965517241379,0.6538461538461539,0.9180435138230002,0.9017857142857143,0.8461538461538461,1.0,0.9456688093051729,0.9080459770114943,0.921923076923077,0.8641975308641975,0.9584281156012885,0.9046449307726664,0.9644548529794431,0.9067821067821068,0.9650988277993036,0.9354813110070629,0.8367346938775511,0.9185734574719899,0.8130841121495327,0.941711389385808,0.9134651249533756,0.9586876062818845,0.9602847324496809,0.9699543631137024,0.9053254437869822
employmentCA,0.98593660143248,0.9724125495852867,0.9427573801714104,0.9466950959488273,0.8977099236641222,0.8578088578088578,0.9761708813407153,0.9666533679101004,0.8914373088685015,0.8330893118594437,0.9761833111216198,0.9412274994578183,0.9655902004454343,0.9460991331406979,0.9767985134058933,0.9885033347325218,0.9418837675350702,0.974851554313657,0.875711159737418,0.9166666666666666,0.9642731976828086,0.9749488136818018,0.8467943380516236,0.9411764705882353,0.9630429786256033,0.9821810406272273,0.9530419373892498,0.9513358778625954,0.9839485048480404,0.9794657250326245,0.9683147389936908,0.9932426177913543,0.981944540548021,0.9452498539642079,0.8840970350404312,0.9672768878718535,0.8653702318623785,0.9607694965022886,0.9555567916342196,0.9851942048350512,0.974626113258276,0.9794156915597093,0.9860253493662658
employmentNY,0.9827898958099093,0.9808156199449443,0.9589369909987141,0.9565598306198437,0.8470588235294118,0.8896321070234113,0.9589590885551528,0.9340425531914893,0.9423076923076923,0.9117647058823529,0.9504286246738726,0.921369910885899,0.9405487804878049,0.9171113482746354,0.9831351193836851,0.9869175954686643,0.9571580259452472,0.9654147527695217,0.84375,0.8918918918918919,0.9476841517857143,0.9675324675324676,0.8990825688073395,1.0,0.9296959030018578,0.9419953596287703,0.9229404808829326,0.9141274238227147,0.9809681631013357,0.9750928113398583,0.9721445079674006,0.989805900221387,0.9842760189241794,0.9600189259522119,0.8303249097472925,0.9474789915966386,0.9,0.9321850482460096,0.9221711131554737,0.9810841422235395,0.9760904430647526,0.9802367390310504,0.9816285998013903
employmentTX,0.9861214324449176,0.9748898763898861,0.9661612130885874,0.9631288251977907,0.9021526418786693,0.8464818763326226,0.9567068843151171,0.9260848044877082,0.9333333333333333,0.8376068376068376,0.9685778108711839,0.9221584741820438,0.951453488372093,0.9313609467455621,0.981326830769595,0.982514472317055,0.9632845557122708,0.9712962962962963,0.8613053613053613,0.8688524590163934,0.9446330880965855,0.9442922374429223,0.8934010152284264,0.9,0.948587385019711,0.9311740890688259,0.9411302982731554,0.9355555555555556,0.9850683169474602,0.974598473630254,0.9694943021225269,0.988491685922704,0.9842087601902845,0.9627815489046591,0.8551020408163266,0.9395571514063435,0.8840579710144928,0.945001519295047,0.9384164222873901,0.9846812345122775,0.9757969436413472,0.981297268600377,0.9818567210880921
coverageCA,0.9331654715638513,0.9366457734830678,0.8391948683919487,0.8549987896393125,0.7876106194690266,0.7765451664025357,0.9225311820574437,0.9375501685663831,0.8129496402877698,0.863768115942029,0.8857908847184987,0.873875224955009,0.882262996941896,0.8879358052019922,0.93513969910961,0.9448412515552279,0.8517420311341735,0.8547231270358306,0.7404718693284936,0.8310077519379845,0.9458781736495664,0.9189747118527438,0.8516129032258064,0.8178913738019169,0.8771162413932766,0.8912240374353502,0.903485254691689,0.8754152823920266,0.9437103817439076,0.9153799677765844,0.9312102999401829,0.9415789473684211,0.9425114564895861,0.8439667128987517,0.7533444816053512,0.9303203283483512,0.7800963081861958,0.8808611269673,0.8736199883788495,0.9333864322146829,0.9417398738647206,0.9406107475708904,0.9390386247877759
coverageNY,0.9379179611394871,0.9534729534729535,0.9015997023809523,0.8829425756031261,0.8556701030927835,0.8540145985401459,0.8312020460358056,0.8454702542582079,0.8148148148148148,1.0,0.8528957528957529,0.8261694058154235,0.8041237113402062,0.849789029535865,0.9523206751054852,0.9477727233713844,0.8767866835534648,0.8990409764603313,0.8508771929824561,0.8666666666666667,0.8577790973871734,0.8480713723432171,0.9230769230769231,0.7692307692307693,0.8493708364174686,0.8433813892529489,0.8439133681852129,0.8504901960784313,0.9295724885172536,0.9117027254846867,0.9216347527865104,0.93805700167652,0.9515146083527514,0.8804830403125555,0.8333333333333334,0.8321493244184427,0.8923076923076924,0.8150851581508516,0.8064965197215778,0.9236978666154142,0.9367296631059984,0.9326507526756969,0.9288114465340632
coverageTX,0.9764413740409411,0.981529729226761,0.9470468431771895,0.9388926401080351,0.9095022624434389,0.9184549356223176,0.9521188772702256,0.9687612208258528,0.8947368421052632,0.9090909090909091,0.9498875682621266,0.9575589459084605,0.9313893653516295,0.9202320522117476,0.9809065107078352,0.9805152082595273,0.9556892778993435,0.9414087176247631,0.8963730569948186,0.896551724137931,0.9746777163904236,0.9584362139917696,0.8936170212765957,0.9298245614035088,0.9477427334570192,0.9606773823191733,0.9404839764551994,0.9232283464566929,0.9785909245991129,0.9668896979238414,0.9712432343097963,0.9802765537152408,0.9830508474576272,0.9405890318212593,0.8854625550660793,0.9578444154715341,0.9038461538461539,0.9474545995832093,0.9127701375245579,0.9726550006853383,0.9788821180920362,0.9763698558267403,0.9773628149010914
incomeCA_err,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
