,0,1,2,3,4
LogisticRegression (ERM),0.17543859649122806,0.29533678756476683,0.06310679611650485,0.2192513368983957,0.13679245283018868
LogisticRegression (G-ERM),0.17543859649122806,0.25906735751295334,0.06796116504854369,0.2192513368983957,0.14150943396226415
LogisticRegression (PREP),0.15789473684210525,0.25906735751295334,0.06310679611650485,0.20855614973262032,0.11320754716981132
SVMClassifier (ERM),0.16541353383458646,0.2694300518134715,0.06796116504854369,0.2192513368983957,0.1179245283018868
SVMClassifier (G-ERM),0.16541353383458646,0.27461139896373055,0.09223300970873786,0.22459893048128343,0.1509433962264151
SVMClassifier (PREP),0.16541353383458646,0.2694300518134715,0.06796116504854369,0.2192513368983957,0.1179245283018868
DecisionTree2 (ERM),0.20050125313283207,0.3471502590673575,0.06310679611650485,0.23529411764705882,0.16981132075471697
DecisionTree2 (G-ERM),0.20050125313283207,0.35751295336787564,0.06796116504854369,0.20855614973262032,0.17452830188679244
DecisionTree2 (PREP),0.18796992481203006,0.3160621761658031,0.06796116504854369,0.20855614973262032,0.16981132075471697
DecisionTree4 (ERM),0.17293233082706766,0.2849740932642487,0.06796116504854369,0.22459893048128343,0.12735849056603774
DecisionTree4 (G-ERM),0.17293233082706766,0.3626943005181347,0.0825242718446602,0.21390374331550802,0.1650943396226415
DecisionTree4 (PREP),0.16791979949874686,0.2694300518134715,0.07281553398058252,0.21390374331550802,0.12735849056603774
DecisionTree8 (ERM),0.20551378446115287,0.35233160621761656,0.06796116504854369,0.24598930481283424,0.16981132075471697
DecisionTree8 (G-ERM),0.20551378446115287,0.38341968911917096,0.09223300970873786,0.25133689839572193,0.15566037735849056
DecisionTree8 (PREP),0.19799498746867167,0.3471502590673575,0.05825242718446602,0.24598930481283424,0.15566037735849056
DecisionTree16 (ERM),0.19298245614035087,0.3316062176165803,0.06310679611650485,0.25133689839572193,0.14150943396226415
DecisionTree16 (G-ERM),0.19298245614035087,0.38341968911917096,0.0970873786407767,0.24598930481283424,0.13679245283018868
DecisionTree16 (PREP),0.18796992481203006,0.3160621761658031,0.06796116504854369,0.24598930481283424,0.13679245283018868
DecisionTree (ERM),0.20802005012531327,0.35233160621761656,0.07281553398058252,0.25668449197860965,0.1650943396226415
DecisionTree (G-ERM),0.20802005012531327,0.38860103626943004,0.10679611650485436,0.26737967914438504,0.15566037735849056
DecisionTree (PREP),0.20300751879699247,0.35233160621761656,0.06310679611650485,0.25668449197860965,0.15566037735849056
RandomForest2 (ERM),0.20050125313283207,0.3471502590673575,0.06310679611650485,0.23529411764705882,0.16981132075471697
RandomForest2 (G-ERM),0.20050125313283207,0.35751295336787564,0.06796116504854369,0.20855614973262032,0.17452830188679244
RandomForest2 (PREP),0.18796992481203006,0.3160621761658031,0.06796116504854369,0.20855614973262032,0.16981132075471697
RandomForest4 (ERM),0.17293233082706766,0.2849740932642487,0.06796116504854369,0.22459893048128343,0.12735849056603774
RandomForest4 (G-ERM),0.17293233082706766,0.3626943005181347,0.0825242718446602,0.21390374331550802,0.1650943396226415
RandomForest4 (PREP),0.16791979949874686,0.2694300518134715,0.07281553398058252,0.21390374331550802,0.12735849056603774
RandomForest8 (ERM),0.20300751879699247,0.3471502590673575,0.06796116504854369,0.24598930481283424,0.1650943396226415
RandomForest8 (G-ERM),0.20300751879699247,0.36787564766839376,0.08737864077669903,0.27807486631016043,0.15566037735849056
RandomForest8 (PREP),0.19799498746867167,0.3471502590673575,0.05825242718446602,0.24598930481283424,0.15566037735849056
RandomForest16 (ERM),0.18546365914786966,0.30569948186528495,0.07281553398058252,0.2192513368983957,0.15566037735849056
RandomForest16 (G-ERM),0.18546365914786966,0.37823834196891193,0.10679611650485436,0.3048128342245989,0.1320754716981132
