,0,1,2,3,4,5,6,7,8,9,10,11
LogisticRegression (ERM),0.30788725641289083,0.2974343495321461,0.3352402745995423,0.3667953667953668,0.26917613636363635,0.336,0.3680943513345748,0.28635014836795253,0.3218576709796673,0.2967005858772741,0.31559204473069574,0.3006635700066357
LogisticRegression (G-ERM),0.30788725641289083,0.2958647751282825,0.33638443935926776,0.3474903474903475,0.2701231060606061,0.336,0.3589902751913925,0.29154302670623145,0.316543438077634,0.29509713228492135,0.31212400028310566,0.29635036496350364
LogisticRegression (PREP),0.3017226617349909,0.2926048898279505,0.3318077803203661,0.3359073359073359,0.2689393939393939,0.312,0.3536105938340575,0.2774480712166172,0.316543438077634,0.2898550724637681,0.310566919102555,0.2934306569343066
SVMClassifier (ERM),0.3081954861467858,0.2973136130395412,0.33581235697940504,0.3590733590733591,0.2675189393939394,0.32,0.37243947858473,0.2870919881305638,0.32085643869377695,0.2980573543015726,0.3175030079977352,0.29946914399469143
SVMClassifier (G-ERM),0.3081954861467858,0.2982795049803803,0.33352402745995424,0.35135135135135137,0.27178030303030304,0.344,0.3602317401200083,0.28635014836795253,0.31908502772643255,0.2946037619488128,0.313468752211763,0.2976111479761115
SVMClassifier (PREP),0.3035720401383609,0.2938122547539994,0.33352402745995424,0.35135135135135137,0.2677556818181818,0.32,0.35712807779846883,0.28635014836795253,0.31608133086876156,0.29355534998458216,0.3125486587868922,0.2951559389515594
DecisionTree2 (ERM),0.32487413952532623,0.30745547841835197,0.41304347826086957,0.39768339768339767,0.28101325757575757,0.368,0.3894061659424788,0.3078635014836795,0.33672211953173137,0.31538698735738513,0.33229527921296625,0.3179163901791639
DecisionTree2 (G-ERM),0.32487413952532623,0.30745547841835197,0.35812356979405036,0.38223938223938225,0.27959280303030304,0.36,0.38961307676391477,0.3078635014836795,0.33672211953173137,0.3154486586493987,0.33243683204756175,0.31884538818845387
DecisionTree2 (PREP),0.3212096304667968,0.30745547841835197,0.35812356979405036,0.38223938223938225,0.27959280303030304,0.36,0.3894061659424788,0.3078635014836795,0.3315619223659889,0.3129201356768424,0.33045509236322457,0.31254147312541475
DecisionTree4 (ERM),0.32086715298469126,0.3021430727437368,0.40675057208237986,0.3745173745173745,0.2765151515151515,0.352,0.3918890957997103,0.30489614243323443,0.33572088724584104,0.3089731729879741,0.3313751857880954,0.3110152621101526
