,0,1,2,3,4,5,6,7,8,9,10,11
LogisticRegression (ERM),0.2841832446063323,0.24289086208834437,0.3271848924022837,0.3333333333333333,0.3765038924274593,0.2,0.4014022787028922,0.2925764192139738,0.28125,0.28650275965880584,0.28457523919976807,0.2838167525074546
LogisticRegression (G-ERM),0.2841832446063323,0.24356524671237495,0.33201581027667987,0.39215686274509803,0.3581033262561925,0.15,0.3663453111305872,0.3231441048034934,0.2818845177664975,0.28437029603612646,0.27254276601913596,0.27405801030089455
LogisticRegression (PREP),0.2691930512748669,0.23378666966393166,0.30566534914361,0.3137254901960784,0.3581033262561925,0.15,0.3663453111305872,0.26200873362445415,0.26951142131979694,0.268941294530858,0.2692084662220934,0.26917863919761453
SVMClassifier (ERM),0.2842532922387223,0.24367764414971338,0.3241106719367589,0.29411764705882354,0.37933474876150036,0.15,0.4057843996494303,0.2816593886462882,0.28204314720812185,0.286001003512293,0.28196578718469123,0.2863919761452968
SVMClassifier (G-ERM),0.2842532922387223,0.24423963133640553,0.33245498462889767,0.37254901960784315,0.35739561217268223,0.15,0.37248028045574055,0.32532751091703055,0.2817258883248731,0.28763171098845963,0.27602203537257175,0.27419354838709675
SVMClassifier (PREP),0.2711543849817876,0.23457345172530067,0.3113746157224418,0.3137254901960784,0.35739561217268223,0.15,0.37248028045574055,0.2663755458515284,0.27220812182741116,0.27032112393376817,0.27196288779356337,0.2703984819734345
DecisionTree2 (ERM),0.3119221070327823,0.25772732381701696,0.4057971014492754,0.35294117647058826,0.39278131634819535,0.2,0.44347063978965817,0.32096069868995636,0.31234137055837563,0.31159056698444554,0.30124673818498116,0.3219029547302792
DecisionTree2 (G-ERM),0.3119221070327823,0.25772732381701696,0.40535792709705754,0.3137254901960784,0.3609341825902335,0.2,0.39000876424189307,0.3384279475982533,0.31234137055837563,0.31159056698444554,0.30124673818498116,0.3219029547302792
DecisionTree2 (PREP),0.2968618660689269,0.2567157468809711,0.3618796662274923,0.29411764705882354,0.3609341825902335,0.2,0.39000876424189307,0.32751091703056767,0.2955266497461929,0.2979177119919719,0.2926935343577849,0.30075901328273247
DecisionTree4 (ERM),0.2982628187167274,0.25221984938743397,0.3675889328063241,0.2549019607843137,0.3722576079263977,0.4,0.3943908851884312,0.36681222707423583,0.3061548223350254,0.29202207727044655,0.2989272252826906,0.2976416373000813
DecisionTree4 (G-ERM),0.2982628187167274,0.25244464426211083,0.32762406675450156,0.29411764705882354,0.343241330502477,0.2,0.3549517966695881,0.34279475982532753,0.29140228426395937,0.30381334671349725,0.296462742824007,0.2732447817836812
DecisionTree4 (PREP),0.2737461473802186,0.23569742609868494,0.32762406675450156,0.29411764705882354,0.343241330502477,0.15,0.3549517966695881,0.32096069868995636,0.274746192893401,0.2729553437029604,0.28790953899681065,0.2605042016806723
DecisionTree8 (ERM),0.2673017652003362,0.2256940541755648,0.3214756258234519,0.23529411764705882,0.35456475583864117,0.4,0.3637160385626643,0.2925764192139738,0.2684010152284264,0.266432513798294,0.27544215714699916,0.2596909731634589
DecisionTree8 (G-ERM),0.2673017652003362,0.22209733618073507,0.32059727711901626,0.3333333333333333,0.3453644727530078,0.2,0.3567046450482033,0.35807860262008734,0.2720494923857868,0.26417461113898644,0.2731226442447086,0.2545405258877745
DecisionTree8 (PREP),0.26120762118240404,0.22209733618073507,0.31620553359683795,0.29411764705882354,0.3340410474168436,0.2,0.3549517966695881,0.28602620087336245,0.26221446700507617,0.2604114400401405,0.26906349666570023,0.25386283545676336
