,0,1,2,3,4,5,6,7,8,9,10,11
LogisticRegression (ERM),0.20918265586979937,0.20699790365455684,0.20798097251585623,0.24564796905222436,0.23352297592997812,0.21428571428571427,0.2046618015466725,0.16451431779898934,0.17792920689002462,0.2394181970386648,0.21295828863507288,0.1889330738641171
LogisticRegression (G-ERM),0.20918265586979937,0.2055499124721748,0.21088794926004228,0.2572533849129594,0.23326039387308534,0.225,0.2068402134843699,0.1656372824256036,0.17444092912576728,0.2379009051430963,0.20434467091563072,0.15009730095608764
LogisticRegression (PREP),0.19581953807491323,0.1941604892913488,0.2005813953488372,0.23597678916827852,0.21120350109409192,0.21785714285714286,0.19627491558653742,0.15384615384615385,0.16292150022984775,0.2276461047454612,0.20434467091563072,0.15009730095608764
SVMClassifier (ERM),0.20859760394644117,0.2065440556720192,0.20745243128964058,0.24758220502901354,0.23256017505470458,0.20714285714285716,0.20368151617470864,0.1647950589556429,0.17838890240934535,0.2378224245278083,0.2113018236890263,0.19409425501311448
SVMClassifier (G-ERM),0.20859760394644117,0.20475027555056083,0.2100951374207188,0.2611218568665377,0.2326477024070022,0.22857142857142856,0.20477072214355735,0.16591802358225716,0.17506287012249533,0.23745618165646418,0.20415536063608253,0.15035112953718588
SVMClassifier (PREP),0.19569986836331724,0.19349052322188845,0.19952431289640593,0.2437137330754352,0.21164113785557986,0.21785714285714286,0.19736412155538613,0.15524985962942167,0.1628674184040453,0.22746298330978915,0.20415536063608253,0.15035112953718588
DecisionTree2 (ERM),0.23576262847873203,0.2309437876855914,0.31131078224101477,0.35589941972920697,0.23588621444201313,0.2571428571428571,0.23613985404640017,0.19567658618753508,0.21246045266488198,0.25830586511798254,0.2516880166593046,0.15035112953718588
DecisionTree2 (G-ERM),0.23576262847873203,0.2309437876855914,0.2864693446088795,0.32495164410058025,0.23938730853391685,0.2714285714285714,0.23483280688378172,0.1979225154407636,0.21246045266488198,0.25830586511798254,0.22598914621063923,0.15035112953718588
DecisionTree2 (PREP),0.21410241067985694,0.209656156123706,0.24815010570824525,0.28239845261121854,0.2262582056892779,0.22857142857142856,0.2188214791417057,0.17209432902863558,0.1902328222600795,0.2371945796055041,0.22598914621063923,0.15035112953718588
DecisionTree4 (ERM),0.20432938423285066,0.20183268137710444,0.21141649048625794,0.26305609284332687,0.2224070021881838,0.21071428571428572,0.20433503975601786,0.16170690623245368,0.17495470647089045,0.23274734473918277,0.21439389158831323,0.15035112953718588
DecisionTree4 (G-ERM),0.20432938423285066,0.20183268137710444,0.20824524312896406,0.2727272727272727,0.20595185995623633,0.22857142857142856,0.21762335257597212,0.1631106120157215,0.17495470647089045,0.2347878407366714,0.20825708335962642,0.15035112953718588
DecisionTree4 (PREP),0.19915699336497933,0.2005359728555683,0.19767441860465115,0.2263056092843327,0.20201312910284464,0.21071428571428572,0.20172094543078095,0.160864682762493,0.1688164192423136,0.22850939151362948,0.20825708335962642,0.15035112953718588
DecisionTree8 (ERM),0.19149813182283565,0.1898381275528949,0.1921247357293869,0.23017408123791103,0.20814004376367615,0.21071428571428572,0.19170025051737283,0.14991577765300393,0.15829750412373922,0.22361743316067598,0.19923329336782988,0.1500126914290549
DecisionTree8 (G-ERM),0.19149813182283565,0.19014069287458668,0.1804968287526427,0.22823984526112184,0.1950109409190372,0.21785714285714286,0.1847293323167411,0.16002245929253228,0.15683729482707337,0.22055668916444304,0.19661450116741339,0.15043573906421864
DecisionTree8 (PREP),0.1879612270134429,0.19001102202243306,0.18023255813953487,0.2263056092843327,0.19457330415754923,0.21071428571428572,0.18385796754166212,0.14963503649635038,0.1553500446175063,0.21951028096060274,0.19495803622136681,0.15043573906421864
DecisionTree16 (ERM),0.18643211403193852,0.18746082859674526,0.19291754756871035,0.23017408123791103,0.19264770240700219,0.20357142857142857,0.1801546672475765,0.1501965188096575,0.15624239474324653,0.21563857060639355,0.19137691676658042,0.15991200609188594
DecisionTree16 (G-ERM),0.18643211403193852,0.18858464264874328,0.19899577167019028,0.2572533849129594,0.1986870897155361,0.22857142857142856,0.19213593290491232,0.17069062324536777,0.15662096752386362,0.22055668916444304,0.1920868303148861,0.17226499703866655
DecisionTree16 (PREP),0.18643211403193852,0.18746082859674526,0.19291754756871035,0.23017408123791103,0.19264770240700219,0.20357142857142857,0.1801546672475765,0.1501965188096575,0.15624239474324653,0.21563857060639355,0.19137691676658042,0.15991200609188594
DecisionTree (ERM),0.23004507559136783,0.22809102893821184,0.25396405919661735,0.2765957446808511,0.23956236323851204,0.29642857142857143,0.22089097048251824,0.20746771476698483,0.19799356426272952,0.26105268665306336,0.23572284975074145,0.19959387427024283
DecisionTree (G-ERM),0.23004507559136783,0.2279829698947505,0.2510570824524313,0.27079303675048355,0.24297592997811815,0.2642857142857143,0.2292778564426533,0.21420550252667042,0.20012979638192585,0.2612619682938314,0.2348078500662586,0.19925543616211186
DecisionTree (PREP),0.2290079380908692,0.22735622744267467,0.24973572938689217,0.26305609284332687,0.2386870897155361,0.2642857142857143,0.22078204988563338,0.20718697361033128,0.19756090965630999,0.25943075393711085,0.2346185397867104,0.1989169980539809
RandomForest2 (ERM),0.23576262847873203,0.2309437876855914,0.31131078224101477,0.35589941972920697,0.23588621444201313,0.2571428571428571,0.23613985404640017,0.19567658618753508,0.21246045266488198,0.25830586511798254,0.2516880166593046,0.15035112953718588
RandomForest2 (G-ERM),0.23576262847873203,0.2309437876855914,0.2864693446088795,0.32495164410058025,0.23938730853391685,0.2714285714285714,0.23483280688378172,0.1979225154407636,0.21246045266488198,0.25830586511798254,0.22598914621063923,0.15035112953718588
RandomForest2 (PREP),0.21410241067985694,0.209656156123706,0.24815010570824525,0.28239845261121854,0.2262582056892779,0.22857142857142856,0.2188214791417057,0.17209432902863558,0.1902328222600795,0.2371945796055041,0.22598914621063923,0.15035112953718588
RandomForest4 (ERM),0.20432938423285066,0.20183268137710444,0.21141649048625794,0.26305609284332687,0.2224070021881838,0.21071428571428572,0.20433503975601786,0.16170690623245368,0.17495470647089045,0.23274734473918277,0.21439389158831323,0.15035112953718588
RandomForest4 (G-ERM),0.20432938423285066,0.20183268137710444,0.20824524312896406,0.2727272727272727,0.20595185995623633,0.22857142857142856,0.21762335257597212,0.1631106120157215,0.17495470647089045,0.2347878407366714,0.20825708335962642,0.15035112953718588
RandomForest4 (PREP),0.19915699336497933,0.2005359728555683,0.19767441860465115,0.2263056092843327,0.20201312910284464,0.21071428571428572,0.20172094543078095,0.160864682762493,0.1688164192423136,0.22850939151362948,0.20825708335962642,0.15035112953718588
RandomForest8 (ERM),0.19144494528434852,0.1898381275528949,0.1921247357293869,0.23017408123791103,0.20814004376367615,0.21071428571428572,0.19159132992048797,0.14907355418304324,0.15827046321083799,0.22353895254538794,0.1991701899413138,0.1500126914290549
RandomForest8 (G-ERM),0.19144494528434852,0.1901190810658944,0.1804968287526427,0.22823984526112184,0.1950109409190372,0.21785714285714286,0.1847293323167411,0.16002245929253228,0.15683729482707337,0.22050436875425103,0.19655139774089733,0.15052034859125138
RandomForest8 (PREP),0.18793463374419933,0.1900326338311253,0.18023255813953487,0.2263056092843327,0.19466083150984684,0.21071428571428572,0.18385796754166212,0.14879281302638966,0.1553770855304075,0.2194318003453147,0.19491070865147977,0.15052034859125138
RandomForest16 (ERM),0.18623266451261186,0.18711503965766896,0.19291754756871035,0.23210831721470018,0.19282275711159738,0.20357142857142857,0.17961006426315215,0.1510387422796182,0.15597198561423434,0.21550776958091353,0.19129803748343535,0.15906591082155852
