,0,1,2,3,4,5,6,7,8,9,10,11
LogisticRegression (ERM),0.1991280181535402,0.19323390323754092,0.20997427270928162,0.2125984251968504,0.23122653316645808,0.28,0.20925011225864393,0.18342644320297952,0.1802697699021423,0.21667651112423705,0.20065931357446545,0.19177879639213366
LogisticRegression (G-ERM),0.1991280181535402,0.19323390323754092,0.20878685929151,0.2125984251968504,0.23310387984981226,0.28,0.2105972159856309,0.19553072625698323,0.17921184871727056,0.21726717857846034,0.19234087127980776,0.15643944994824782
LogisticRegression (PREP),0.18615027663751563,0.18006547835576572,0.19275677815159312,0.1968503937007874,0.2165206508135169,0.24,0.20296362819937136,0.18528864059590316,0.16757471568368157,0.20343571569206537,0.19234087127980776,0.15643944994824782
SVMClassifier (ERM),0.19900053542744958,0.19377955620225537,0.2079952503463289,0.1889763779527559,0.22903629536921152,0.28,0.20925011225864393,0.18342644320297952,0.18053425019836022,0.21618428824571767,0.19893400702446237,0.19931982847848587
SVMClassifier (G-ERM),0.19900053542744958,0.19210622044379774,0.20680783692855728,0.2047244094488189,0.233729662077597,0.24,0.2088010776829816,0.19553072625698323,0.18079873049457815,0.2164796219728293,0.192710579826237,0.1561437231997634
SVMClassifier (PREP),0.18630325590882435,0.18021098581302292,0.1921630714427073,0.1889763779527559,0.21777221526908636,0.24,0.20431073192635832,0.18528864059590316,0.16768050780216873,0.20363260484347312,0.19261815268962967,0.15599585982552122
DecisionTree2 (ERM),0.23928507687208384,0.22400873044743544,0.2960617454977241,0.25196850393700787,0.2665832290362954,0.4,0.2537045352492142,0.24487895716945995,0.22718857445120338,0.25054144516637133,0.2566085402674225,0.1561437231997634
DecisionTree2 (G-ERM),0.23928507687208384,0.22400873044743544,0.2727092816148822,0.25196850393700787,0.2590738423028786,0.28,0.23933542882801975,0.2206703910614525,0.21946574980163977,0.25054144516637133,0.2180972333477109,0.1561437231997634
DecisionTree2 (PREP),0.20738889880421202,0.19730811204074208,0.23728478131802888,0.2283464566929134,0.2428035043804756,0.28,0.20969914683430624,0.20949720670391062,0.19402274530547475,0.2198267375467612,0.21806642430217513,0.1561437231997634
DecisionTree4 (ERM),0.19272838530379133,0.18672244452528192,0.21116168612705324,0.2440944881889764,0.2065081351689612,0.24,0.2002694207453974,0.19832402234636873,0.17693731816979635,0.20742272100807246,0.20035122311910777,0.1561437231997634
DecisionTree4 (G-ERM),0.19272838530379133,0.18672244452528192,0.2020581832574708,0.2677165354330709,0.21964956195244056,0.28,0.19982038616973508,0.1973929236499069,0.17857709600634752,0.22440441031699154,0.19505206728695546,0.15466508945734142
DecisionTree4 (PREP),0.18808801407409295,0.18461258639505274,0.1901840490797546,0.2440944881889764,0.2083854818523154,0.24,0.19218679838347552,0.19366852886405958,0.1666754826765406,0.20801338846229572,0.19505206728695546,0.15466508945734142
DecisionTree8 (ERM),0.18207082940261596,0.1766096762459076,0.1901840490797546,0.2440944881889764,0.2055694618272841,0.32,0.1966771441400988,0.17783985102420857,0.15953451467865645,0.20304193738924986,0.18768870540390659,0.15510867958006802
DecisionTree8 (G-ERM),0.18207082940261596,0.17770098217533647,0.18325747080942015,0.2755905511811024,0.19899874843554444,0.2,0.1948810058374495,0.1871508379888268,0.1581063210790796,0.20151604646583973,0.18571692648961735,0.15510867958006802
