,0,1,2,3,4,5,6,7,8,9,10,11
LogisticRegression (ERM),0.18250820047295752,0.18757051061951244,0.1791530944625407,0.18518518518518517,0.19362549800796813,0.13636363636363635,0.11375089992800576,0.16071428571428573,0.19661915335577682,0.1664355062413315,0.17848450429985396,0.24584929757343552
LogisticRegression (G-ERM),0.18250820047295752,0.18752145975376466,0.1734527687296417,0.3148148148148148,0.19840637450199203,0.22727272727272727,0.13462922966162708,0.18392857142857144,0.1927512355848435,0.16749612466345762,0.17889015090053545,0.2611749680715198
LogisticRegression (PREP),0.18067739720802503,0.18580467945259233,0.1734527687296417,0.18518518518518517,0.19282868525896416,0.13636363636363635,0.11231101511879049,0.16785714285714284,0.1925363512642361,0.16716978053357265,0.17645627129644653,0.2471264367816092
SVMClassifier (ERM),0.1830803264932489,0.18948349438367587,0.17223127035830618,0.19444444444444445,0.18645418326693228,0.13636363636363635,0.1101511879049676,0.16964285714285715,0.1971921782107299,0.16700660846863016,0.17917410352101248,0.2445721583652618
SVMClassifier (G-ERM),0.1830803264932489,0.18928729092068475,0.1734527687296417,0.3055555555555556,0.19601593625498007,0.18181818181818182,0.13102951763858892,0.19285714285714287,0.19490007879091756,0.16896467324793996,0.17872789226026287,0.25925925925925924
SVMClassifier (PREP),0.1818597909832939,0.18820817187423358,0.16734527687296416,0.19444444444444445,0.18725099601593626,0.13636363636363635,0.11159107271418287,0.175,0.19490007879091756,0.16700660846863016,0.17815998701930877,0.24010217113665389
DecisionTree2 (ERM),0.2497902204592265,0.2636484033943199,0.22068403908794787,0.2222222222222222,0.21832669322709164,0.18181818181818182,0.15334773218142547,0.2,0.2795645011102357,0.2158766419189035,0.24379360700957325,0.3441890166028097
DecisionTree2 (G-ERM),0.2497902204592265,0.26404081032030213,0.21416938110749187,0.2222222222222222,0.21832669322709164,0.18181818181818182,0.14038876889848811,0.2,0.28035241028579616,0.2158766419189035,0.24379360700957325,0.3205619412515964
DecisionTree2 (PREP),0.2456709131131284,0.2601657919262275,0.21335504885993486,0.2222222222222222,0.21832669322709164,0.18181818181818182,0.14038876889848811,0.2,0.27247331853019124,0.2151423676266623,0.2424955378873925,0.29565772669220947
DecisionTree4 (ERM),0.24105576321611108,0.2548682984254672,0.20602605863192183,0.24074074074074073,0.22788844621513943,0.18181818181818182,0.13894888408927286,0.18392857142857144,0.27992264164458136,0.1967855103206331,0.23543728703553465,0.32950191570881227
DecisionTree4 (G-ERM),0.24105576321611108,0.25256290773532153,0.20969055374592835,0.2222222222222222,0.2103585657370518,0.18181818181818182,0.1447084233261339,0.2,0.25205930807248766,0.19629599412580567,0.23377413597274055,0.2765006385696041
DecisionTree4 (PREP),0.22221374628118087,0.23176534065826263,0.20846905537459284,0.2222222222222222,0.20796812749003984,0.13636363636363635,0.1353491720662347,0.19107142857142856,0.2461141752023494,0.19499061760626582,0.21876521174752556,0.2765006385696041
DecisionTree8 (ERM),0.2101990998550614,0.2170010300681807,0.2007328990228013,0.24074074074074073,0.21912350597609562,0.13636363636363635,0.13678905687544995,0.16964285714285715,0.22827877659193468,0.1896059394631639,0.2054600032451728,0.2848020434227331
DecisionTree8 (G-ERM),0.2101990998550614,0.216265267081964,0.19543973941368079,0.24074074074074073,0.2,0.3181818181818182,0.13606911447084233,0.20714285714285716,0.2273476112026359,0.18813739087868156,0.20760993022878468,0.2739463601532567
DecisionTree8 (PREP),0.20752917842703486,0.21616716535046843,0.19055374592833876,0.24074074074074073,0.2,0.13636363636363635,0.1331893448524118,0.1732142857142857,0.22519876799656185,0.1874031165864404,0.20343177024176537,0.2720306513409962
DecisionTree16 (ERM),0.2061560759783355,0.21263550301662823,0.2003257328990228,0.2777777777777778,0.19760956175298805,0.09090909090909091,0.14254859611231102,0.16964285714285715,0.2257001647446458,0.18389491719017703,0.20075450267726758,0.29118773946360155
DecisionTree16 (G-ERM),0.2061560759783355,0.21817825084612744,0.2003257328990228,0.3148148148148148,0.20796812749003984,0.3181818181818182,0.15550755939524838,0.21964285714285714,0.22820714848506554,0.1854450518071306,0.20322894694142463,0.2988505747126437
DecisionTree16 (PREP),0.2061560759783355,0.21263550301662823,0.2003257328990228,0.2777777777777778,0.19760956175298805,0.09090909090909091,0.14254859611231102,0.16964285714285715,0.2257001647446458,0.18389491719017703,0.20075450267726758,0.29118773946360155
