,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP),5 (ERM),5 (G-ERM),5 (PREP),6 (ERM),6 (G-ERM),6 (PREP),7 (ERM),7 (G-ERM),7 (PREP),8 (ERM),8 (G-ERM),8 (PREP),9 (ERM),9 (G-ERM),9 (PREP),10 (ERM),10 (G-ERM),10 (PREP),11 (ERM),11 (G-ERM),11 (PREP)
incomeCA,0.24959251275040747,0.24959251275040747,0.24567537725432462,0.26993735184558076,0.26993735184558076,0.2644344734168642,0.24600827912477824,0.306327616794796,0.24009461856889414,0.22522522522522523,0.23423423423423423,0.22072072072072071,0.25135981539475855,0.2516894676116697,0.2508653370693918,0.20915032679738563,0.20915032679738563,0.20915032679738563,0.15032119914346895,0.15331905781584582,0.15032119914346895,0.2468811556139199,0.2468811556139199,0.24359816152330926,0.2689395813746351,0.26953337621851653,0.2618635261517146,0.22766279656739022,0.22766279656739022,0.22732626619552415,0.24110881581151247,0.24110881581151247,0.24110881581151247,0.38673285198555957,0.3506317689530686,0.3194945848375451
incomeNY,0.26755208847635037,0.26755208847635037,0.26221980843290216,0.2801489347031649,0.2802178859546301,0.2745638833344825,0.23742786479802144,0.23784006595218465,0.2370156636438582,0.26229508196721313,0.26229508196721313,0.26229508196721313,0.2586412395709178,0.2592371871275328,0.2556615017878427,0.0,0.09090909090909091,0.0,0.1960431654676259,0.18345323741007194,0.17715827338129497,0.2444933920704846,0.2444933920704846,0.2444933920704846,0.290835870739613,0.28710342795403204,0.28287987427561145,0.24401866375459147,0.24401866375459147,0.24133823091432544,0.25977461509973016,0.25977461509973016,0.25892809904237873,0.3762010347376201,0.30968218773096823,0.3082039911308204
incomeTX,0.2497902204592265,0.2497902204592265,0.2456709131131284,0.2636484033943199,0.26404081032030213,0.2601657919262275,0.22068403908794787,0.21416938110749187,0.21335504885993486,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.21832669322709164,0.21832669322709164,0.21832669322709164,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.15334773218142547,0.14038876889848811,0.14038876889848811,0.2,0.2,0.2,0.2795645011102357,0.28035241028579616,0.27247331853019124,0.2158766419189035,0.2158766419189035,0.2151423676266623,0.24379360700957325,0.24379360700957325,0.2424955378873925,0.3441890166028097,0.3205619412515964,0.29565772669220947
employmentCA,0.23576262847873203,0.23576262847873203,0.21410241067985694,0.2309437876855914,0.2309437876855914,0.209656156123706,0.31131078224101477,0.2864693446088795,0.24815010570824525,0.35589941972920697,0.32495164410058025,0.28239845261121854,0.23588621444201313,0.23938730853391685,0.2262582056892779,0.2571428571428571,0.2714285714285714,0.22857142857142856,0.23613985404640017,0.23483280688378172,0.2188214791417057,0.19567658618753508,0.1979225154407636,0.17209432902863558,0.21246045266488198,0.21246045266488198,0.1902328222600795,0.25830586511798254,0.25830586511798254,0.2371945796055041,0.2516880166593046,0.22598914621063923,0.22598914621063923,0.15035112953718588,0.15035112953718588,0.15035112953718588
employmentNY,0.23928507687208384,0.23928507687208384,0.20738889880421202,0.22400873044743544,0.22400873044743544,0.19730811204074208,0.2960617454977241,0.2727092816148822,0.23728478131802888,0.25196850393700787,0.25196850393700787,0.2283464566929134,0.2665832290362954,0.2590738423028786,0.2428035043804756,0.4,0.28,0.28,0.2537045352492142,0.23933542882801975,0.20969914683430624,0.24487895716945995,0.2206703910614525,0.20949720670391062,0.22718857445120338,0.21946574980163977,0.19402274530547475,0.25054144516637133,0.25054144516637133,0.2198267375467612,0.2566085402674225,0.2180972333477109,0.21806642430217513,0.1561437231997634,0.1561437231997634,0.1561437231997634
employmentTX,0.2330278732340588,0.2330278732340588,0.2110729285987018,0.2284345442422147,0.2284345442422147,0.2100363025708147,0.28382522039095437,0.2443464929091606,0.22882330394787276,0.2653061224489796,0.2653061224489796,0.22448979591836735,0.2256020278833967,0.2213772708069286,0.21884241656104775,0.29411764705882354,0.29411764705882354,0.2647058823529412,0.22624952308279284,0.23044639450591378,0.20373903090423504,0.1960497439648866,0.20921726408193123,0.17483540599853695,0.2055226670821,0.205366879576258,0.16809471880355195,0.2594742360695027,0.2594742360695027,0.2523966446974236,0.24597262732779898,0.2201705182858425,0.2201705182858425,0.1591549295774648,0.1591549295774648,0.1591549295774648
coverageCA,0.32487413952532623,0.32487413952532623,0.3212096304667968,0.30745547841835197,0.30745547841835197,0.30745547841835197,0.41304347826086957,0.35812356979405036,0.35812356979405036,0.39768339768339767,0.38223938223938225,0.38223938223938225,0.28101325757575757,0.27959280303030304,0.27959280303030304,0.368,0.36,0.36,0.3894061659424788,0.38961307676391477,0.3894061659424788,0.3078635014836795,0.3078635014836795,0.3078635014836795,0.33672211953173137,0.33672211953173137,0.3315619223659889,0.31538698735738513,0.3154486586493987,0.3129201356768424,0.33229527921296625,0.33243683204756175,0.33045509236322457,0.3179163901791639,0.31884538818845387,0.31254147312541475
coverageNY,0.3119221070327823,0.3119221070327823,0.2968618660689269,0.25772732381701696,0.25772732381701696,0.2567157468809711,0.4057971014492754,0.40535792709705754,0.3618796662274923,0.35294117647058826,0.3137254901960784,0.29411764705882354,0.39278131634819535,0.3609341825902335,0.3609341825902335,0.2,0.2,0.2,0.44347063978965817,0.39000876424189307,0.39000876424189307,0.32096069868995636,0.3384279475982533,0.32751091703056767,0.31234137055837563,0.31234137055837563,0.2955266497461929,0.31159056698444554,0.31159056698444554,0.2979177119919719,0.30124673818498116,0.30124673818498116,0.2926935343577849,0.3219029547302792,0.3219029547302792,0.30075901328273247
coverageTX,0.16300738464588393,0.16300738464588393,0.1602815086484611,0.1586654185611126,0.1586654185611126,0.15766247659802085,0.2175824175824176,0.20703296703296703,0.20175824175824175,0.1686746987951807,0.18072289156626506,0.1686746987951807,0.08461538461538462,0.08901098901098901,0.08571428571428572,0.25,0.15,0.15,0.16017316017316016,0.16017316017316016,0.15800865800865802,0.18309859154929578,0.18712273641851107,0.18309859154929578,0.16903813318155947,0.16903813318155947,0.1628912919749573,0.1583567415730337,0.1583567415730337,0.1582689606741573,0.16494198808403887,0.1635831504128776,0.1621197867670116,0.16126295947219604,0.16361922714420357,0.1586239396795476
incomeCA_err,0.004411496975613632,0.004411496975613632,0.004387603337825674,0.005737195635530601,0.005737195635530601,0.005698598958738477,0.020331198318968374,0.021940781711335844,0.020145622154564058,0.05092316298706279,0.05183634960834649,0.05045317331371338,0.01097223348340784,0.010977292706864455,0.010964628642796986,0.05792807806267014,0.05792807806267014,0.05792807806267014,0.0101600061120318,0.010247558659914974,0.0101600061120318,0.02141608982090898,0.02141608982090898,0.021308297596927928,0.0061920580520988255,0.006196520315167764,0.00613777987723052,0.006219321697546104,0.006219321697546104,0.006215970822364886,0.004491069414054305,0.004491069414054305,0.004491069414054305,0.020468988857871406,0.019987302079159386,0.019469955159355623
incomeNY_err,0.0061747569666211755,0.0061747569666211755,0.006133789778939414,0.007396504501759715,0.007397083758072631,0.007348856853741592,0.016836863886638048,0.01684783101139145,0.01682587444965558,0.09546944951527975,0.09546944951527975,0.09546944951527975,0.020787774565159706,0.020805140877656864,0.02070016982674705,0.0,0.07513556549782623,0.0,0.022703366548283116,0.022064522579814894,0.021730054734389243,0.03799564408843567,0.03799564408843567,0.03799564408843567,0.008918318750682108,0.008882431155877057,0.008840922535217344,0.008456188050671581,0.008456188050671581,0.008423084321141083,0.0063279250872697035,0.0063279250872697035,0.006320986636034143,0.025938619665008822,0.02454810429907056,0.02451066837897181
incomeTX_err,0.005308549497628601,0.005308549497628601,0.005278194986374968,0.0061249576982931875,0.0061279790220418184,0.006097866272915753,0.016274628223170856,0.01608443224800768,0.016060227387369008,0.06927064302966313,0.06927064302966313,0.06927064302966313,0.022407651702004344,0.022407651702004344,0.022407651702004344,0.110053384628001,0.110053384628001,0.110053384628001,0.018338601159235995,0.01761136434315433,0.01761136434315433,0.0316255433596902,0.0316255433596902,0.0316255433596902,0.007532478232540163,0.007539237109108976,0.007470332002496194,0.007339139740773187,0.007339139740773187,0.007329727629587335,0.005427493389010052,0.005427493389010052,0.005417385104942912,0.023587354894147095,0.023103786107942392,0.02251912240537446
employmentCA_err,0.003081550933896532,0.003081550933896532,0.0029762926590345407,0.00389503321512899,0.00389503321512899,0.003759574144033412,0.014848508933929083,0.014467893365676554,0.013772718219321411,0.04086014548202571,0.03971622500137462,0.037808993204623526,0.00785058238527006,0.007892164736373969,0.007732334335548319,0.04856147626993293,0.04965456349861244,0.04615792985605999,0.008748860958132876,0.00873129643800133,0.00850642566146148,0.012949936900396003,0.01300973774038372,0.01227945606979422,0.0042229660974650585,0.0042229660974650585,0.004048325345848702,0.004451992347883349,0.004451992347883349,0.00432356984084506,0.0034317173343079155,0.0033049880351311567,0.0033049880351311567,0.006456914160143906,0.006456914160143906,0.006456914160143906
employmentNY_err,0.0042819080964136,0.0042819080964136,0.004064491112889923,0.004988894865902649,0.004988894865902649,0.0047563490763405936,0.01267901949713457,0.012346788823495825,0.011758642088567917,0.06866616522535424,0.06866616522535424,0.06552317819759329,0.01534411385572143,0.015191870706975807,0.014841479442602057,0.1686725042113511,0.13914766520613117,0.13914766520613117,0.017988373865781948,0.017605454556503808,0.016724889993226244,0.025264623907432227,0.02424593785325352,0.023734631664286965,0.006036889457559758,0.005960651566842834,0.005687168467754744,0.006030786612399697,0.006030786612399697,0.00575548145054991,0.0048183706839947105,0.0045493868586670705,0.0045491496158864,0.008624363905473303,0.008624363905473303,0.008624363905473303
