,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP),5 (ERM),5 (G-ERM),5 (PREP),6 (ERM),6 (G-ERM),6 (PREP),7 (ERM),7 (G-ERM),7 (PREP),8 (ERM),8 (G-ERM),8 (PREP),9 (ERM),9 (G-ERM),9 (PREP),10 (ERM),10 (G-ERM),10 (PREP),11 (ERM),11 (G-ERM),11 (PREP)
incomeCA,0.23045375676954624,0.23045375676954624,0.23021715126978284,0.23890958347443278,0.23874026413816457,0.23874026413816457,0.244234180958013,0.25310467179183915,0.244234180958013,0.24774774774774774,0.24774774774774774,0.24774774774774774,0.24542607549035766,0.24460194494807977,0.24460194494807977,0.21568627450980393,0.2549019607843137,0.21568627450980393,0.16852248394004282,0.17044967880085654,0.16852248394004282,0.21470781352593565,0.22521339461588968,0.21470781352593565,0.2393488049878767,0.23994259983175814,0.23652827947943986,0.22037130517695888,0.22362443210499747,0.22306354815188736,0.22368935291161857,0.22600636480375189,0.2240522583886997,0.3398014440433213,0.34025270758122744,0.3298736462093863
incomeNY,0.2443467956946776,0.2443467956946776,0.24019946677199566,0.25174101909949664,0.24836240777770116,0.2474660415086534,0.24319868095630667,0.23784006595218465,0.23619126133553173,0.2459016393442623,0.3114754098360656,0.2459016393442623,0.23182359952324194,0.22884386174016685,0.22884386174016685,0.2727272727272727,0.0,0.0,0.18345323741007194,0.1906474820143885,0.18255395683453238,0.21365638766519823,0.2511013215859031,0.22246696035242292,0.2605834397406934,0.26824476966899125,0.25744033002652,0.22793606671299513,0.23101360071478208,0.22277375161322346,0.23914078620178827,0.23855880641235913,0.23506692767578435,0.3170731707317073,0.3148558758314856,0.31189948263118994
incomeTX,0.2338851170951255,0.2338851170951255,0.23243573117705393,0.23951537744641194,0.2395644283121597,0.23951537744641194,0.2259771986970684,0.21661237785016288,0.21661237785016288,0.28703703703703703,0.25925925925925924,0.25925925925925924,0.2342629482071713,0.23187250996015937,0.23187250996015937,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.16918646508279336,0.16414686825053995,0.16414686825053995,0.22142857142857142,0.23392857142857143,0.22142857142857142,0.25349187020987035,0.2548528042403839,0.2512713988969272,0.21155258219792772,0.2125316145875826,0.21098147997062902,0.228987506084699,0.23117799772837905,0.22785169560279084,0.3109833971902937,0.31417624521072796,0.3045977011494253
employmentCA,0.23004507559136783,0.23004507559136783,0.2290079380908692,0.22809102893821184,0.2279829698947505,0.22735622744267467,0.25396405919661735,0.2510570824524313,0.24973572938689217,0.2765957446808511,0.27079303675048355,0.26305609284332687,0.23956236323851204,0.24297592997811815,0.2386870897155361,0.29642857142857143,0.2642857142857143,0.2642857142857143,0.22089097048251824,0.2292778564426533,0.22078204988563338,0.20746771476698483,0.21420550252667042,0.20718697361033128,0.19799356426272952,0.20012979638192585,0.19756090965630999,0.26105268665306336,0.2612619682938314,0.25943075393711085,0.23572284975074145,0.2348078500662586,0.2346185397867104,0.19959387427024283,0.19925543616211186,0.1989169980539809
employmentNY,0.22610336299431427,0.22610336299431427,0.2240381428316463,0.21447799199708986,0.21371407784648963,0.21371407784648963,0.24737779536908766,0.2543043736394221,0.24757569760538295,0.3228346456692913,0.30708661417322836,0.2992125984251969,0.26220275344180227,0.2543804755944931,0.2528160200250313,0.24,0.16,0.16,0.2604400538841491,0.2599910193084867,0.2599910193084867,0.23556797020484171,0.21415270018621974,0.2122905027932961,0.20513091774662787,0.2050780216873843,0.20285638719915366,0.2456192163811774,0.24532388265406577,0.24374876944280371,0.22918848974058784,0.22940415305933823,0.22764803746379939,0.2112967617921041,0.2112967617921041,0.20671299719059588
employmentTX,0.2163802978235968,0.2163802978235968,0.2146811760213822,0.2134442990146445,0.21265403896969848,0.21245647395846196,0.2334227673438099,0.22997316979685703,0.2265235722499042,0.24489795918367346,0.22448979591836735,0.22448979591836735,0.23658639628221378,0.23996620194338825,0.23616392057456695,0.35294117647058826,0.23529411764705882,0.23529411764705882,0.22472338801983976,0.23884013735215567,0.2266310568485311,0.17483540599853695,0.18215069495245062,0.17044623262618874,0.18090824115905904,0.18005140987692786,0.17938931297709923,0.25048681845416415,0.25056171360095864,0.24861443978430198,0.2166704061027597,0.2166479694862015,0.21492035001121831,0.2147247119078105,0.21331626120358516,0.21331626120358516
coverageCA,0.3378540360971266,0.3378540360971266,0.3325798828727011,0.32297011771808026,0.32158164805312406,0.32037428312707517,0.35068649885583525,0.32894736842105265,0.32379862700228834,0.3938223938223938,0.38996138996138996,0.3783783783783784,0.32670454545454547,0.3312026515151515,0.3191287878787879,0.416,0.352,0.352,0.3927167390854542,0.3960273122284296,0.39085454169253053,0.3219584569732938,0.3434718100890208,0.3115727002967359,0.34850585335797907,0.33903265557609363,0.33895563770794823,0.32932469935245146,0.3312981806968856,0.3274745605920444,0.34510581074386015,0.3433364003114162,0.3357633236605563,0.33105507631055076,0.33171864631718645,0.32959522229595223
coverageNY,0.3128327262538526,0.3128327262538526,0.30379658167553936,0.280544003596718,0.27885804203664155,0.2716646060469821,0.3386034255599473,0.33113746157224416,0.3201581027667984,0.39215686274509803,0.27450980392156865,0.21568627450980393,0.40905874026893135,0.42038216560509556,0.40764331210191085,0.3,0.2,0.2,0.37510955302366344,0.38562664329535495,0.38299737072743206,0.34497816593886466,0.3799126637554585,0.3471615720524017,0.31091370558375636,0.30583756345177665,0.30583756345177665,0.31435022579026595,0.3031861515303563,0.30218263923733063,0.3024064946361264,0.30719048999710064,0.29385329080893013,0.3225806451612903,0.32529140688533476,0.31309297912713474
coverageTX,0.18535956782475096,0.18535956782475096,0.18278237597264213,0.18099759293928858,0.17818935544263173,0.17818935544263173,0.22021978021978023,0.22593406593406593,0.22021978021978023,0.21686746987951808,0.26506024096385544,0.21686746987951808,0.12527472527472527,0.14725274725274726,0.12527472527472527,0.2,0.3,0.2,0.1976911976911977,0.20562770562770563,0.1976911976911977,0.22132796780684105,0.2012072434607646,0.2012072434607646,0.18212862834376778,0.1856573705179283,0.1775754126351736,0.18785112359550563,0.18688553370786518,0.18679775280898878,0.18699696874673355,0.19180516358315042,0.188669384342009,0.18388312912346844,0.18143261074458059,0.1774740810556079
incomeCA_err,0.004289999061877964,0.004289999061877964,0.0042884205060661484,0.005504167185537701,0.005502789293219401,0.005502789293219401,0.020276087634587936,0.02054690732723463,0.020276087634587936,0.05314174584814102,0.05314174584814102,0.05314174584814102,0.010879697114676151,0.010866622389109792,0.010866622389109792,0.05880499387861715,0.06359741013915693,0.05880499387861715,0.010670644016702258,0.010721900777157622,0.010670644016702258,0.020281955019435444,0.020671859905668277,0.020281955019435444,0.00595101421182323,0.00595622527624412,0.0059260430342824855,0.006145416719287422,0.006178729155305873,0.006173024934357063,0.004372486679829951,0.004388879207412544,0.004375067070736455,0.01981839468815294,0.01982566405994657,0.01965329836220875
