,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP),5 (ERM),5 (G-ERM),5 (PREP),6 (ERM),6 (G-ERM),6 (PREP),7 (ERM),7 (G-ERM),7 (PREP),8 (ERM),8 (G-ERM),8 (PREP),9 (ERM),9 (G-ERM),9 (PREP),10 (ERM),10 (G-ERM),10 (PREP),11 (ERM),11 (G-ERM),11 (PREP)
incomeCA,0.17774330932225668,0.17774330932225668,0.17758557232241443,0.18561632238401626,0.1869285472400948,0.1854893328818151,0.19041986989946777,0.21289178001182732,0.19101123595505617,0.17567567567567569,0.26126126126126126,0.17567567567567569,0.18823141585627162,0.1893851986154607,0.18790176363936048,0.16993464052287582,0.22875816993464052,0.1568627450980392,0.12441113490364025,0.13040685224839402,0.12548179871520343,0.1654629021667761,0.19238345370978333,0.16349310571240971,0.18199811964966103,0.1851155425800386,0.18199811964966103,0.17292052274384428,0.17258399237197825,0.17258399237197825,0.17282675450840265,0.1728825861202613,0.17282675450840265,0.2572202166064982,0.2694043321299639,0.2545126353790614
incomeNY,0.19586254566999112,0.19586254566999112,0.19378888120865015,0.20319933806798593,0.20375094807970764,0.2014755567813556,0.18878812860676009,0.1941467436108821,0.18672712283594395,0.18032786885245902,0.3442622950819672,0.14754098360655737,0.1907032181168057,0.20083432657926104,0.18593563766388557,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13758992805755396,0.1474820143884892,0.1357913669064748,0.1696035242290749,0.24008810572687225,0.1696035242290749,0.20980257342107847,0.20970435124251055,0.20970435124251055,0.18177305668619081,0.17770276978060162,0.17770276978060162,0.19104809269350828,0.1904132056504947,0.18951378233955876,0.2631189948263119,0.2697708795269771,0.2535107169253511
incomeTX,0.18250820047295752,0.18250820047295752,0.18067739720802503,0.18757051061951244,0.18752145975376466,0.18580467945259233,0.1791530944625407,0.1734527687296417,0.1734527687296417,0.18518518518518517,0.3148148148148148,0.18518518518518517,0.19362549800796813,0.19840637450199203,0.19282868525896416,0.13636363636363635,0.22727272727272727,0.13636363636363635,0.11375089992800576,0.13462922966162708,0.11231101511879049,0.16071428571428573,0.18392857142857144,0.16785714285714284,0.19661915335577682,0.1927512355848435,0.1925363512642361,0.1664355062413315,0.16749612466345762,0.16716978053357265,0.17848450429985396,0.17889015090053545,0.17645627129644653,0.24584929757343552,0.2611749680715198,0.2471264367816092
employmentCA,0.20918265586979937,0.20918265586979937,0.19581953807491323,0.20699790365455684,0.2055499124721748,0.1941604892913488,0.20798097251585623,0.21088794926004228,0.2005813953488372,0.24564796905222436,0.2572533849129594,0.23597678916827852,0.23352297592997812,0.23326039387308534,0.21120350109409192,0.21428571428571427,0.225,0.21785714285714286,0.2046618015466725,0.2068402134843699,0.19627491558653742,0.16451431779898934,0.1656372824256036,0.15384615384615385,0.17792920689002462,0.17444092912576728,0.16292150022984775,0.2394181970386648,0.2379009051430963,0.2276461047454612,0.21295828863507288,0.20434467091563072,0.20434467091563072,0.1889330738641171,0.15009730095608764,0.15009730095608764
employmentNY,0.1991280181535402,0.1991280181535402,0.18615027663751563,0.19323390323754092,0.19323390323754092,0.18006547835576572,0.20997427270928162,0.20878685929151,0.19275677815159312,0.2125984251968504,0.2125984251968504,0.1968503937007874,0.23122653316645808,0.23310387984981226,0.2165206508135169,0.28,0.28,0.24,0.20925011225864393,0.2105972159856309,0.20296362819937136,0.18342644320297952,0.19553072625698323,0.18528864059590316,0.1802697699021423,0.17921184871727056,0.16757471568368157,0.21667651112423705,0.21726717857846034,0.20343571569206537,0.20065931357446545,0.19234087127980776,0.19234087127980776,0.19177879639213366,0.15643944994824782,0.15643944994824782
employmentTX,0.1958381061473845,0.1958381061473845,0.18396334478808707,0.19635492554268638,0.1968241424443731,0.18509371990220533,0.1927941740130318,0.18493675737830587,0.17477960904561135,0.18877551020408162,0.22448979591836735,0.1989795918367347,0.2217997465145754,0.21884241656104775,0.20616814533164343,0.2647058823529412,0.35294117647058826,0.2647058823529412,0.1983975581838993,0.19534528805799314,0.18466234261732165,0.1441111923920995,0.1433796634967081,0.14264813460131676,0.15905904346471414,0.15107493379031,0.14274030222776132,0.23120131815458358,0.2274565608148592,0.22359946075494308,0.19544536683868072,0.18855732555530627,0.18855732555530627,0.19807938540332906,0.15774647887323945,0.15774647887323945
coverageCA,0.30788725641289083,0.30788725641289083,0.3017226617349909,0.2974343495321461,0.2958647751282825,0.2926048898279505,0.3352402745995423,0.33638443935926776,0.3318077803203661,0.3667953667953668,0.3474903474903475,0.3359073359073359,0.26917613636363635,0.2701231060606061,0.2689393939393939,0.336,0.336,0.312,0.3680943513345748,0.3589902751913925,0.3536105938340575,0.28635014836795253,0.29154302670623145,0.2774480712166172,0.3218576709796673,0.316543438077634,0.316543438077634,0.2967005858772741,0.29509713228492135,0.2898550724637681,0.31559204473069574,0.31212400028310566,0.310566919102555,0.3006635700066357,0.29635036496350364,0.2934306569343066
coverageNY,0.2841832446063323,0.2841832446063323,0.2691930512748669,0.24289086208834437,0.24356524671237495,0.23378666966393166,0.3271848924022837,0.33201581027667987,0.30566534914361,0.3333333333333333,0.39215686274509803,0.3137254901960784,0.3765038924274593,0.3581033262561925,0.3581033262561925,0.2,0.15,0.15,0.4014022787028922,0.3663453111305872,0.3663453111305872,0.2925764192139738,0.3231441048034934,0.26200873362445415,0.28125,0.2818845177664975,0.26951142131979694,0.28650275965880584,0.28437029603612646,0.268941294530858,0.28457523919976807,0.27254276601913596,0.2692084662220934,0.2838167525074546,0.27405801030089455,0.26917863919761453
coverageTX,0.1513108985478515,0.1513108985478515,0.14863458393220003,0.14582776143353837,0.14716501738432736,0.1439556031024338,0.2145054945054945,0.20527472527472526,0.20527472527472526,0.18072289156626506,0.21686746987951808,0.20481927710843373,0.08021978021978023,0.09010989010989011,0.07692307692307693,0.25,0.2,0.2,0.1443001443001443,0.15367965367965367,0.1406926406926407,0.15694164989939638,0.16901408450704225,0.158953722334004,0.16004553215708595,0.15799658508821857,0.15719977233921456,0.1445751404494382,0.14518960674157302,0.14202949438202248,0.15292150099299676,0.15553465036061462,0.15145813734713076,0.14985862393967955,0.1472196041470311,0.1460885956644675
incomeCA_err,0.003886375837811401,0.003886375837811401,0.0038849954436011025,0.005005760093570982,0.0050197374521949445,0.005004402402374181,0.018356949101886233,0.019219740292564902,0.018380890822284057,0.04521095278514917,0.05437360784660558,0.04521095278514917,0.009830409235836779,0.009854698441791432,0.00982344327112683,0.052125985160846225,0.06048918900567679,0.04996053969282044,0.009339211873815659,0.009540087403512074,0.00937560484788992,0.01816267556217202,0.01938450890672877,0.018066604293205196,0.005365251777734281,0.005401707124941868,0.005365251777734281,0.005590998481870946,0.005586561302861476,0.005586561302861476,0.003958801394815442,0.003959317961417103,0.003958801394815442,0.01812165271647287,0.018421003998799035,0.01805260486437657
