,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP),5 (ERM),5 (G-ERM),5 (PREP),6 (ERM),6 (G-ERM),6 (PREP),7 (ERM),7 (G-ERM),7 (PREP),8 (ERM),8 (G-ERM),8 (PREP),9 (ERM),9 (G-ERM),9 (PREP),10 (ERM),10 (G-ERM),10 (PREP),11 (ERM),11 (G-ERM),11 (PREP)
incomeCA,0.17863715232136285,0.17863715232136285,0.17721751932278249,0.18718252624449713,0.18582797155435152,0.18582797155435152,0.19396806623299823,0.3116499112950917,0.18982850384387936,0.17117117117117117,0.23423423423423423,0.18468468468468469,0.18724245920553817,0.21608702818526454,0.18674798088017142,0.1830065359477124,0.1830065359477124,0.16339869281045752,0.12355460385438972,0.15331905781584582,0.12312633832976445,0.1654629021667761,0.33223900196979644,0.1582403151674327,0.18333415804839429,0.18660002968974218,0.18313622643376715,0.17331314151102137,0.1751079701609737,0.17050872174547085,0.17332923901513037,0.1723801016135336,0.17212885936016972,0.2644404332129964,0.42193140794223827,0.2594765342960289
incomeNY,0.19719561568085317,0.19719561568085317,0.19591191863335639,0.20340619182238157,0.20650899813831622,0.2034751430738468,0.18672712283594395,0.29719703215169,0.18878812860676009,0.19672131147540983,0.3114754098360656,0.16393442622950818,0.20023837902264602,0.37842669845053634,0.18831942789034564,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.14568345323741008,0.18255395683453238,0.14028776978417265,0.1762114537444934,0.3039647577092511,0.16740088105726872,0.21166879481386897,0.21304390531381986,0.2095079068853747,0.1825672590092326,0.1887223270128065,0.1821701578477117,0.19237077403311995,0.1909951854399238,0.1909951854399238,0.2645971914264597,0.3946784922394678,0.2645971914264597
incomeTX,0.18296590128919063,0.18296590128919063,0.18288961781981844,0.18869868053171138,0.18879678226320695,0.1877176632167558,0.1767100977198697,0.23900651465798045,0.18118892508143322,0.18518518518518517,0.26851851851851855,0.2037037037037037,0.19203187250996015,0.299601593625498,0.18725099601593626,0.13636363636363635,0.18181818181818182,0.18181818181818182,0.11087113030957524,0.14038876889848811,0.11591072714182865,0.1625,0.25535714285714284,0.16607142857142856,0.1964042690351694,0.1974070625313373,0.1957596160733472,0.1676592967284001,0.17198335644937587,0.16823039895569877,0.1790929742008762,0.1790118448807399,0.1790118448807399,0.24393358876117496,0.36845466155810985,0.24393358876117496
employmentCA,0.19028813807225392,0.19028813807225392,0.18986264576435705,0.18830368913574377,0.19409565386527197,0.1882820773270515,0.18948202959830868,0.24445031712473572,0.1873678646934461,0.2379110251450677,0.3307543520309478,0.23404255319148937,0.2071772428884026,0.23702407002188183,0.2060393873085339,0.225,0.44285714285714284,0.225,0.18745234723886287,0.2128308463130378,0.18668990306066877,0.1574957888826502,0.18697361033127458,0.15693430656934307,0.16081230902355265,0.16776182363916606,0.16000108163651605,0.2188039554230105,0.2306283681264061,0.2187516350128185,0.19722975957594496,0.19973812077995834,0.19722975957594496,0.1530586344022337,0.15035112953718588,0.15035112953718588
employmentNY,0.19056117896025088,0.19056117896025088,0.18507942173835445,0.18432157148053838,0.18672244452528192,0.17944707166242269,0.19968335642192755,0.22837918068474175,0.19295468038788838,0.2047244094488189,0.41732283464566927,0.2125984251968504,0.22183979974968712,0.24968710888610762,0.20901126408010012,0.36,0.2,0.2,0.2002694207453974,0.23439604849573417,0.20161652447238437,0.18901303538175046,0.24860335195530725,0.18528864059590316,0.17376355461518117,0.17624966939962972,0.166622586617297,0.20619216381177397,0.2137231738531207,0.20225438078361882,0.19443588637624007,0.1911701275494485,0.19113931850391275,0.17196510424367883,0.1561437231997634,0.15599585982552122
employmentTX,0.184860633829706,0.184860633829706,0.17903780068728523,0.18504432864939618,0.18534067616625097,0.1804015508853382,0.17554618627826754,0.2019931008049061,0.16864699118436183,0.22959183673469388,0.4642857142857143,0.18877551020408162,0.2171525137304605,0.25517532741867344,0.1998310097169413,0.29411764705882354,0.38235294117647056,0.2647058823529412,0.1877146127432278,0.2289202594429607,0.17970240366272416,0.1433796634967081,0.1916605705925384,0.13679590343818582,0.14671288362673313,0.14823181180869294,0.13974139274030223,0.22153984421809467,0.2213900539245057,0.21682144997004194,0.18649315683194975,0.18252187570114425,0.18252187570114425,0.17554417413572343,0.1591549295774648,0.1591549295774648
coverageCA,0.29925682386383096,0.29925682386383096,0.29713346347477654,0.28837911258677934,0.29055236945366736,0.28421370359191067,0.32837528604118993,0.34725400457665906,0.32723112128146453,0.35135135135135137,0.4362934362934363,0.3436293436293436,0.26728219696969696,0.2821969696969697,0.26609848484848486,0.336,0.4,0.336,0.35236912890544175,0.3641630457272915,0.3544382371198014,0.28560830860534125,0.3271513353115727,0.28857566765578635,0.3100739371534196,0.31215341959334564,0.3079174368453481,0.2905951279679309,0.2928152944804194,0.28849830403946963,0.3080189680798358,0.3131148701252743,0.3080189680798358,0.29104180491041803,0.28692767086927673,0.28692767086927673
coverageNY,0.280540767722051,0.280540767722051,0.27682824320537963,0.23996852871754523,0.24199168258963696,0.23524783634933125,0.32367149758454106,0.35924462011418534,0.3201581027667984,0.3333333333333333,0.3333333333333333,0.3137254901960784,0.38075017692852087,0.41118188251946214,0.38075017692852087,0.15,0.2,0.2,0.38299737072743206,0.37861524978089395,0.37861524978089395,0.2816593886462882,0.4148471615720524,0.29475982532751094,0.27823604060913704,0.2823604060913706,0.27553934010152287,0.2823632714500753,0.2822378324134471,0.2778474661314601,0.2822557262974775,0.2831255436358365,0.2822557262974775,0.27893738140417457,0.27175386283545677,0.27175386283545677
coverageTX,0.15245081032859195,0.15245081032859195,0.15121177578430886,0.1477667825621824,0.150240706071142,0.14689756619416958,0.20703296703296703,0.2545054945054945,0.20747252747252748,0.1927710843373494,0.18072289156626506,0.1566265060240964,0.07912087912087912,0.08901098901098901,0.07692307692307693,0.2,0.1,0.1,0.1479076479076479,0.1673881673881674,0.1479076479076479,0.16901408450704225,0.2193158953722334,0.15694164989939638,0.1622083096186682,0.1618668184405236,0.16152532726237906,0.14492626404494383,0.1482619382022472,0.14325842696629212,0.15302602696770148,0.15344413086652034,0.15271244904358733,0.15193213949104617,0.14995287464655985,0.14985862393967955
incomeCA_err,0.0038941765481394774,0.0038941765481394774,0.003881770078581148,0.005022431808572536,0.00500802092983893,0.00500802092983893,0.018499560266506843,0.02205994823293511,0.018332937532575505,0.044626764451044104,0.05183634960834649,0.04634425700779707,0.009809476266744,0.010379074916880726,0.009798970229446397,0.05416944897639975,0.05416944897639975,0.051059195367375854,0.00930993014722542,0.010247558659914974,0.009295233046584264,0.01816267556217202,0.023671726908271296,0.01780560403996112,0.005380947641309197,0.005418861149221993,0.005378629185148365,0.005596165287809873,0.005619649938244875,0.005559024441651517,0.003963445018205808,0.003954663374074352,0.003952331442546947,0.018301263438907922,0.020823323713100972,0.018178482441426252
