,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP),5 (ERM),5 (G-ERM),5 (PREP),6 (ERM),6 (G-ERM),6 (PREP),7 (ERM),7 (G-ERM),7 (PREP),8 (ERM),8 (G-ERM),8 (PREP),9 (ERM),9 (G-ERM),9 (PREP),10 (ERM),10 (G-ERM),10 (PREP),11 (ERM),11 (G-ERM),11 (PREP)
incomeCA,0.20697723329302276,0.20697723329302276,0.20450602029549397,0.214781578056214,0.2177869962749746,0.21346935320013546,0.21584861028976937,0.2306327616794796,0.20993494973388527,0.22072072072072071,0.22072072072072071,0.22072072072072071,0.2211966375473875,0.22169111587275425,0.21773528926982033,0.20261437908496732,0.2549019607843137,0.1895424836601307,0.14753747323340471,0.14411134903640258,0.1411134903640257,0.20223243598161522,0.21076822061720288,0.20288903479973736,0.21747736157157702,0.2149537334850809,0.2139145925082884,0.19507543889169332,0.19412193617140613,0.19384149419485108,0.20049131818435598,0.19895594885824353,0.1988722014404556,0.3118231046931408,0.29693140794223827,0.29557761732851984
incomeNY,0.2232151673743458,0.2232151673743458,0.21980843290214278,0.22740122733227608,0.23009032613941943,0.2255395435427153,0.218878812860676,0.22052761747732894,0.21640560593569663,0.22950819672131148,0.2786885245901639,0.21311475409836064,0.22646007151370678,0.22288438617401668,0.22288438617401668,0.0,0.0,0.0,0.18345323741007194,0.15827338129496402,0.15827338129496402,0.20704845814977973,0.2356828193832599,0.20484581497797358,0.24113544838424517,0.24192122581278852,0.2370101168843925,0.20510274992554353,0.2025215923756577,0.20242231708527747,0.21750171948574148,0.22205174329400562,0.21586159462462304,0.30303030303030304,0.2749445676274945,0.2749445676274945
incomeTX,0.21008467465100314,0.21008467465100314,0.20764360363109313,0.21695197920243292,0.21621621621621623,0.21582380929023398,0.2003257328990228,0.19503257328990228,0.19503257328990228,0.24074074074074073,0.25925925925925924,0.23148148148148148,0.21832669322709164,0.19840637450199203,0.19760956175298805,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.13678905687544995,0.13678905687544995,0.13678905687544995,0.16964285714285715,0.20535714285714285,0.17142857142857143,0.2281355203781964,0.2273476112026359,0.2251271398896927,0.18952435343069265,0.18813739087868156,0.18772946071632537,0.2053788739250365,0.20769105954892098,0.20383741684244686,0.2841634738186462,0.2707535121328225,0.26756066411238827
employmentCA,0.19144494528434852,0.19144494528434852,0.18793463374419933,0.1898381275528949,0.1901190810658944,0.1900326338311253,0.1921247357293869,0.1804968287526427,0.18023255813953487,0.23017408123791103,0.22823984526112184,0.2263056092843327,0.20814004376367615,0.1950109409190372,0.19466083150984684,0.21071428571428572,0.21785714285714286,0.21071428571428572,0.19159132992048797,0.1847293323167411,0.18385796754166212,0.14907355418304324,0.16002245929253228,0.14879281302638966,0.15827046321083799,0.15683729482707337,0.1553770855304075,0.22353895254538794,0.22050436875425103,0.2194318003453147,0.1991701899413138,0.19655139774089733,0.19491070865147977,0.1500126914290549,0.15052034859125138,0.15052034859125138
employmentNY,0.18207082940261596,0.18207082940261596,0.1793681956094949,0.1766096762459076,0.17770098217533647,0.1765732993815933,0.1901840490797546,0.1830595685731249,0.18127844844646746,0.2440944881889764,0.28346456692913385,0.2283464566929134,0.2055694618272841,0.19899874843554444,0.18992490613266583,0.32,0.24,0.24,0.1966771441400988,0.19443197126178716,0.19263583295913786,0.17783985102420857,0.18808193668528864,0.18063314711359404,0.15953451467865645,0.1581063210790796,0.15805342501983602,0.20304193738924986,0.20146682417798778,0.1992025989367986,0.18768870540390659,0.1856861174440816,0.18473103703247273,0.15510867958006802,0.15510867958006802,0.15363004583764603
employmentTX,0.17854142802596412,0.17854142802596412,0.17487590683466972,0.17901859580668264,0.18378485170276343,0.17578346874768477,0.17650440781908777,0.17573783058643158,0.17209658873131467,0.19387755102040816,0.21428571428571427,0.18877551020408162,0.19856358259400084,0.20828052386987747,0.19814110688635403,0.14705882352941177,0.3235294117647059,0.17647058823529413,0.17474246470812668,0.18008393742846243,0.1648225867989317,0.14630577907827358,0.1397220190197513,0.13825896122896855,0.14122137404580154,0.13849509269356597,0.13767720828789531,0.21442480527261834,0.21356351108448174,0.2106426003594967,0.1821628898362127,0.17803455238949967,0.17794480592326678,0.15787451984635084,0.15736235595390524,0.15736235595390524
coverageCA,0.29925682386383096,0.29925682386383096,0.2892222336381383,0.2817989737398129,0.2850588590401449,0.2763658315725928,0.33810068649885583,0.33810068649885583,0.32379862700228834,0.3436293436293436,0.32432432432432434,0.32432432432432434,0.2743844696969697,0.27201704545454547,0.2705965909090909,0.32,0.408,0.264,0.36974963790606247,0.3498861990482102,0.3372646389406166,0.27225519287833827,0.30192878338278933,0.2789317507418398,0.31199938385705484,0.30968884781269257,0.3029882932840419,0.2890533456675917,0.28270120259019427,0.27819919827320383,0.31375185788095405,0.30221530186141976,0.3019321961922288,0.2856668878566689,0.2773059057730591,0.2773059057730591
coverageNY,0.2673017652003362,0.2673017652003362,0.2613477164471841,0.2256940541755648,0.22232213105541193,0.22209733618073507,0.3214756258234519,0.3214756258234519,0.3170838823012736,0.23529411764705882,0.3137254901960784,0.29411764705882354,0.35456475583864117,0.3446567586694975,0.3347487615003539,0.4,0.25,0.25,0.3637160385626643,0.3549517966695881,0.3531989482909728,0.2925764192139738,0.3558951965065502,0.28602620087336245,0.2684010152284264,0.27093908629441626,0.26173857868020306,0.266432513798294,0.26404917210235823,0.26103863522328147,0.27544215714699916,0.27326761380110176,0.268918527109307,0.2596909731634589,0.25426944971537,0.25426944971537
coverageTX,0.1427367795014125,0.1427367795014125,0.14164642910244338,0.13867344209681734,0.1396095212623696,0.1376705001337256,0.1934065934065934,0.1934065934065934,0.1920879120879121,0.10843373493975904,0.24096385542168675,0.10843373493975904,0.07802197802197802,0.09230769230769231,0.07362637362637363,0.1,0.15,0.1,0.13924963924963926,0.170995670995671,0.14357864357864358,0.16096579476861167,0.18108651911468812,0.1529175050301811,0.14741035856573706,0.14968696642003415,0.14422310756972112,0.13913272471910113,0.14159058988764045,0.13965941011235955,0.15093550747360718,0.15009929967596947,0.15009929967596947,0.1353440150801131,0.1340245051837889,0.1340245051837889
incomeCA_err,0.004123647669330294,0.004123647669330294,0.004104944441527897,0.005295242083756202,0.0053226926562147114,0.005283123992062766,0.01932639940125147,0.019837346180806015,0.01911153953485123,0.05045317331371338,0.05045317331371338,0.05045317331371338,0.010471651785072922,0.010480485681137491,0.010409197771264478,0.05702693744353721,0.06359741013915693,0.05514856738635951,0.010077421326324082,0.009974034611296784,0.009881950866302142,0.019792464161002332,0.020130561501114835,0.019818971601673036,0.005747594322732558,0.005722627764220001,0.0057122537685267705,0.005866669930803758,0.005855442981944459,0.005852130486242474,0.004197177310284739,0.004184822465436194,0.004184145758119956,0.019327224044439872,0.019032143774354804,0.01900411322247969
incomeNY_err,0.005796789643414457,0.005796789643414457,0.005764020849430146,0.0068853283589513925,0.006914897359592248,0.0068646191265057666,0.01631961132449833,0.016367520165511323,0.016247017749626697,0.08899137673677324,0.09843447574181363,0.08545462598331047,0.019770378151487217,0.01964717669867322,0.01964717669867322,0.0,0.0,0.0,0.022064522579814894,0.020661280844046448,0.020661280844046448,0.03539443214634902,0.03742281073320139,0.035227162757477865,0.008376334148376019,0.008386042294424523,0.008324722559689857,0.00792841536611208,0.00788959811349188,0.007888094985636501,0.0059414021186960375,0.005987141918087635,0.005924652947984832,0.024377271209021667,0.023586557174216594,0.023586557174216594
incomeTX_err,0.004987319795628831,0.004987319795628831,0.0049653582804607965,0.005717545940113838,0.005710313044635901,0.005706444400703448,0.015659478450333275,0.015489176908363073,0.015489176908363073,0.07206574681978517,0.07466455790353418,0.0706936759504703,0.022407651702004344,0.021540958176253733,0.021504529310087228,0.08982282227745335,0.06619710008824747,0.06619710008824747,0.017400147908838468,0.017400147908838468,0.017400147908838468,0.029351300279788634,0.03199422041183281,0.02949441270468825,0.0070244886327614775,0.007015609005429413,0.006990392312398397,0.00697839718585222,0.006958035648515104,0.006952019341051885,0.0050979135520309304,0.005119633890302816,0.005083290112132682,0.022221925678001853,0.021852251071513507,0.021760477995885957
employmentCA_err,0.0028528714583116455,0.0028528714583116455,0.0028324238006364744,0.003619437173201706,0.0036215255700242366,0.003620883310002404,0.012481345182643683,0.01216501306324283,0.012157605056401427,0.034870326058126705,0.034747297903612695,0.03462317497240375,0.007493541686885458,0.007306281468126841,0.0073011147683713085,0.044495592007839674,0.0451762002264281,0.044495592007839674,0.008079637151093222,0.007962452729293301,0.00794727535192119,0.011541351850258924,0.01190358394058108,0.011531780723869567,0.0037590219323148377,0.003744859617268753,0.0037303158965248107,0.004232689713467935,0.004211613269246434,0.0042040850578343725,0.0031535265448656147,0.0031375857488826764,0.003127488387088262,0.006450707115815274,0.006460013357964395,0.006460013357964395
employmentNY_err,0.0038646792188966883,0.0038646792188966883,0.003841760600567262,0.004552803339208711,0.004564090442224278,0.004552425990055092,0.010794983434172678,0.010628337989415593,0.010585724545197267,0.06765146500068644,0.07241747261547604,0.06552317819759329,0.013924399507250801,0.013744278646395047,0.013485654642295813,0.15018727641999338,0.12675622238002202,0.12675622238002202,0.016295652416589007,0.016218823659715748,0.01615674348501056,0.02212760857941079,0.022674742843236173,0.02227956177334786,0.0052542421502824455,0.005234556274177848,0.00523382424646307,0.005585739162043635,0.005569052022142029,0.005544827765675442,0.004296024518807978,0.004277906419267424,0.004269198976431132,0.008599866266342876,0.008599866266342876,0.00856463159103471
employmentTX_err,0.003322060443521846,0.003322060443521846,0.003294633768495675,0.003778509516479095,0.0038181400191298898,0.0037510412634570167,0.01030675512350876,0.010288147713418488,0.010198750412580837,0.05012046440620682,0.05259523323416726,0.04946689743985533,0.015884430496921426,0.016194274806766384,0.01587061952437724,0.08361117563369715,0.13433837393048273,0.09423126535666046,0.014336445049047186,0.014520299552889832,0.01398140792146299,0.01808538052868197,0.017705117465321274,0.017618749649805587,0.004290810928090721,0.004255063852676544,0.004244230674404437,0.004980152193868881,0.004972673977471337,0.004947066737318678,0.0036279793751707867,0.0035950550525235825,0.003594331370503606,0.008076415834113532,0.008065273518789995,0.008065273518789995
coverageCA_err,0.005331993535838353,0.005331993535838353,0.005277596013077757,0.006937479467903851,0.006962600785268558,0.006894601035662085,0.022237213911494635,0.022237213911494635,0.02195961667907259,0.05623954583820984,0.05512118079382011,0.05512118079382011,0.013512679899750468,0.013473417307804603,0.013449625556718858,0.07674987936342173,0.08373612180965662,0.07064678341620292,0.01377471712334688,0.01359155771681858,0.013461660834211131,0.02354693893942733,0.02439231628119598,0.023748482254879022,0.008073047557067503,0.008055769951630543,0.0080043200895758,0.007067271626049754,0.007018442310168016,0.006982786986628242,0.007753788766333758,0.007669816557989317,0.0076676839978922495,0.007301959901607258,0.007233580621666125,0.007233580621666125
