,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP),5 (ERM),5 (G-ERM),5 (PREP),6 (ERM),6 (G-ERM),6 (PREP),7 (ERM),7 (G-ERM),7 (PREP),8 (ERM),8 (G-ERM),8 (PREP),9 (ERM),9 (G-ERM),9 (PREP),10 (ERM),10 (G-ERM),10 (PREP),11 (ERM),11 (G-ERM),11 (PREP)
incomeCA,0.18042483831957515,0.18042483831957515,0.1797676008202324,0.18972231628852015,0.19073823230612935,0.18912969861158144,0.18982850384387936,0.20283855706682435,0.18746303962152572,0.15315315315315314,0.20270270270270271,0.15315315315315314,0.18823141585627162,0.19053898137464975,0.186912806988627,0.17647058823529413,0.17647058823529413,0.16339869281045752,0.12676659528907924,0.1278372591006424,0.12633832976445397,0.1654629021667761,0.18844386080105055,0.16874589625738673,0.18595675194220396,0.1876391706665347,0.18531347419466573,0.17415446744068652,0.17421055583599754,0.1734814066969544,0.17525542962425325,0.17572999832505165,0.17472502931159622,0.26398916967509023,0.2612815884476534,0.2612815884476534
incomeNY,0.19581317270662585,0.19581317270662585,0.19413449195220697,0.20244087430186858,0.2074743156588292,0.2010618492725643,0.19167353668590273,0.18713932399010716,0.1863149216817807,0.19672131147540983,0.22950819672131148,0.21311475409836064,0.18295589988081049,0.1966626936829559,0.18116805721096543,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1474820143884892,0.15377697841726617,0.14568345323741008,0.17841409691629956,0.22026431718061673,0.18502202643171806,0.2132403496709557,0.21451723799233868,0.21157057263530105,0.17819914623250274,0.17988682616896653,0.17651146629603892,0.19067774191841702,0.19147135072218402,0.19009576212898788,0.2675535846267554,0.25055432372505543,0.25055432372505543
incomeTX,0.18628423220688076,0.18628423220688076,0.1830803264932489,0.19453573355569725,0.19576200519939177,0.19120027468484818,0.1746742671009772,0.1763029315960912,0.17223127035830618,0.17592592592592593,0.2222222222222222,0.19444444444444445,0.16733067729083664,0.16892430278884463,0.1641434262948207,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.12311015118790497,0.1216702663786897,0.11663066954643629,0.14464285714285716,0.16607142857142856,0.14821428571428572,0.2024210300121768,0.20213451758470025,0.19876799656185087,0.16790405482581383,0.16521171575426288,0.16521171575426288,0.18241927632646437,0.18116177186435178,0.17953918546162584,0.2471264367816092,0.25223499361430396,0.2388250319284802
employmentCA,0.2064169558684697,0.2064169558684697,0.20391718855957558,0.20797043504570897,0.20905102548032245,0.20673856195024962,0.2100951374207188,0.21168076109936576,0.19952431289640593,0.218568665377176,0.22437137330754353,0.20889748549323017,0.21321663019693654,0.2135667396061269,0.21059080962800875,0.21785714285714286,0.23214285714285715,0.21785714285714286,0.19736412155538613,0.19616599498965254,0.19420542424572487,0.17798989331836046,0.1810780460415497,0.17181358787198203,0.1733322516968173,0.17214245152916363,0.1714393877937319,0.23842410924501647,0.23792706534819233,0.23533720504368755,0.2122325992301382,0.20986622073578595,0.20986622073578595,0.1752263304848126,0.1720111684575683,0.1720111684575683
employmentNY,0.19951046633181205,0.19951046633181205,0.19866908033961397,0.19225172790105494,0.19381593306656966,0.191524190614769,0.21314070849000594,0.2172966554522066,0.2127449040174154,0.2440944881889764,0.2440944881889764,0.2440944881889764,0.22715894868585731,0.2327909887359199,0.2265331664580726,0.16,0.16,0.16,0.22406825325550067,0.23439604849573417,0.22272114952851368,0.186219739292365,0.1824953445065177,0.18063314711359404,0.17646125363660406,0.17804813541391165,0.17513885215551442,0.22095885016735578,0.22282929710572946,0.22056507186454027,0.20318565530839855,0.20478772567625855,0.20300080103518392,0.18187195031790626,0.17787963921336686,0.17787963921336686
employmentTX,0.19398625429553265,0.19398625429553265,0.19379534173348606,0.19561405675054946,0.19623144741066356,0.19561405675054946,0.19624377155998468,0.19586048294365657,0.19586048294365657,0.20408163265306123,0.21428571428571427,0.20408163265306123,0.20954795099281792,0.20616814533164343,0.20616814533164343,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.18428080885158338,0.19191148416634873,0.18428080885158338,0.12801755669348938,0.14264813460131676,0.12801755669348938,0.15337279950147997,0.15574855896557097,0.153450693254401,0.23303624925104854,0.23371030557219893,0.2325868783702816,0.19564729638770473,0.19549024007179716,0.1954229302221225,0.18450704225352113,0.1851472471190781,0.18450704225352113
coverageCA,0.2964142607623549,0.2964142607623549,0.29435939586972154,0.28191971023241774,0.2809538182915786,0.2795653486266224,0.3009153318077803,0.3003432494279176,0.2997711670480549,0.3281853281853282,0.3590733590733591,0.35135135135135137,0.2840909090909091,0.2890625,0.2843276515151515,0.304,0.368,0.28,0.3569211669770329,0.36250775915580385,0.35195530726256985,0.2774480712166172,0.28486646884273,0.27967359050445106,0.30244916820702406,0.30167898952556993,0.29990757855822553,0.291581868640148,0.29398704902867717,0.2899167437557817,0.30922216717389767,0.3094344964257909,0.3061080048127964,0.28440610484406104,0.2833443928334439,0.2833443928334439
coverageNY,0.2622583356682544,0.2622583356682544,0.26176800224152424,0.22715522086096437,0.22895357985837922,0.22715522086096437,0.2968818620992534,0.29907773386034253,0.2968818620992534,0.1568627450980392,0.29411764705882354,0.1568627450980392,0.3637650389242746,0.36588818117480537,0.3637650389242746,0.1,0.15,0.1,0.3496932515337423,0.34355828220858897,0.34355828220858897,0.26200873362445415,0.29694323144104806,0.26200873362445415,0.2628489847715736,0.2628489847715736,0.2611040609137056,0.2617912694430507,0.2686904164576016,0.26229302558956347,0.26210495795882865,0.26268483618440125,0.2612351406204697,0.2624017348875034,0.2667389536459745,0.26226619680130114
coverageTX,0.14293502502849778,0.14293502502849778,0.1418942360113,0.14128109120085586,0.14281893554426317,0.14087991441561915,0.17406593406593407,0.17494505494505494,0.16835164835164834,0.10843373493975904,0.14457831325301204,0.10843373493975904,0.08461538461538462,0.0912087912087912,0.08021978021978023,0.2,0.25,0.25,0.14357864357864358,0.15223665223665223,0.14357864357864358,0.158953722334004,0.16096579476861167,0.16096579476861167,0.13989755264655662,0.14285714285714285,0.13989755264655662,0.14527738764044945,0.14352176966292135,0.14343398876404495,0.15574370231002405,0.15637085815825233,0.1548029685376816,0.13138548539114042,0.13308199811498586,0.1302544769085768
incomeCA_err,0.003909668878778388,0.003909668878778388,0.003903990002113694,0.005049181883851228,0.005059784170688947,0.005042971524912815,0.018332937532575505,0.018845423705694447,0.018236187759189337,0.04216445807846424,0.048479313903127985,0.04216445807846424,0.009830409235836779,0.009878845808930725,0.009802475179647108,0.05316231065980033,0.05316231065980033,0.051059195367375854,0.009418972964175418,0.00945486310034549,0.009404553467179125,0.01816267556217202,0.019215743805939323,0.018320663285907562,0.005411443895233736,0.005430790940888275,0.005404001941421682,0.00560720123153452,0.005607935231250638,0.005598376375201802,0.0039811320475076906,0.003985462253522309,0.003976279595033105,0.018290227991001856,0.018223485344064455,0.018223485344064455
