,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP),5 (ERM),5 (G-ERM),5 (PREP),6 (ERM),6 (G-ERM),6 (PREP),7 (ERM),7 (G-ERM),7 (PREP),8 (ERM),8 (G-ERM),8 (PREP),9 (ERM),9 (G-ERM),9 (PREP),10 (ERM),10 (G-ERM),10 (PREP),11 (ERM),11 (G-ERM),11 (PREP)
incomeCA,0.17745412482254588,0.17745412482254588,0.17745412482254588,0.18578564172028444,0.18790213342363699,0.18578564172028444,0.18923713778829096,0.20993494973388527,0.18923713778829096,0.1981981981981982,0.25225225225225223,0.1981981981981982,0.1860886764463491,0.19020932915773858,0.1860886764463491,0.16993464052287582,0.21568627450980393,0.16993464052287582,0.12312633832976445,0.13019271948608138,0.12312633832976445,0.16611950098489822,0.18844386080105055,0.16611950098489822,0.18155277351674995,0.18561037161660646,0.18155277351674995,0.17280834595322228,0.17308878792977733,0.17280834595322228,0.17246384903132153,0.1725755122550388,0.17246384903132153,0.2581227436823105,0.2657942238267148,0.2581227436823105
incomeNY,0.19527007010960798,0.19527007010960798,0.19423323787893748,0.20223402054747294,0.20409570433703372,0.20168241053575123,0.18672712283594395,0.19291014014839242,0.18549051937345423,0.18032786885245902,0.3770491803278688,0.16393442622950818,0.1907032181168057,0.19785458879618595,0.18593563766388557,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1420863309352518,0.14298561151079137,0.14298561151079137,0.17400881057268722,0.2422907488986784,0.1696035242290749,0.20803457420685592,0.2108830173853256,0.20773990767115214,0.18236870842847216,0.18058175320162811,0.18058175320162811,0.19073064917200147,0.1911539072006772,0.18935506057880536,0.2586844050258684,0.2727272727272727,0.262379896526238
incomeTX,0.1830803264932489,0.1830803264932489,0.1818597909832939,0.18948349438367587,0.18928729092068475,0.18820817187423358,0.17223127035830618,0.1734527687296417,0.16734527687296416,0.19444444444444445,0.3055555555555556,0.19444444444444445,0.18645418326693228,0.19601593625498007,0.18725099601593626,0.13636363636363635,0.18181818181818182,0.13636363636363635,0.1101511879049676,0.13102951763858892,0.11159107271418287,0.16964285714285715,0.19285714285714287,0.175,0.1971921782107299,0.19490007879091756,0.19490007879091756,0.16700660846863016,0.16896467324793996,0.16700660846863016,0.17917410352101248,0.17872789226026287,0.17815998701930877,0.2445721583652618,0.25925925925925924,0.24010217113665389
employmentCA,0.20859760394644117,0.20859760394644117,0.19569986836331724,0.2065440556720192,0.20475027555056083,0.19349052322188845,0.20745243128964058,0.2100951374207188,0.19952431289640593,0.24758220502901354,0.2611218568665377,0.2437137330754352,0.23256017505470458,0.2326477024070022,0.21164113785557986,0.20714285714285716,0.22857142857142856,0.21785714285714286,0.20368151617470864,0.20477072214355735,0.19736412155538613,0.1647950589556429,0.16591802358225716,0.15524985962942167,0.17838890240934535,0.17506287012249533,0.1628674184040453,0.2378224245278083,0.23745618165646418,0.22746298330978915,0.2113018236890263,0.20415536063608253,0.20415536063608253,0.19409425501311448,0.15035112953718588,0.15035112953718588
employmentNY,0.19900053542744958,0.19900053542744958,0.18630325590882435,0.19377955620225537,0.19210622044379774,0.18021098581302292,0.2079952503463289,0.20680783692855728,0.1921630714427073,0.1889763779527559,0.2047244094488189,0.1889763779527559,0.22903629536921152,0.233729662077597,0.21777221526908636,0.28,0.24,0.24,0.20925011225864393,0.2088010776829816,0.20431073192635832,0.18342644320297952,0.19553072625698323,0.18528864059590316,0.18053425019836022,0.18079873049457815,0.16768050780216873,0.21618428824571767,0.2164796219728293,0.20363260484347312,0.19893400702446237,0.192710579826237,0.19261815268962967,0.19931982847848587,0.1561437231997634,0.15599585982552122
employmentTX,0.19471172203130965,0.19471172203130965,0.184135166093929,0.1951942311016719,0.19640431679549553,0.1854641542982738,0.1899195093905711,0.1858949789191261,0.1749712533537754,0.19387755102040816,0.2193877551020408,0.1989795918367347,0.22306717363751585,0.21841994085340094,0.20659062103929024,0.29411764705882354,0.35294117647058826,0.2647058823529412,0.19648988935520795,0.19687142312094622,0.18428080885158338,0.14484272128749084,0.14045354791514264,0.13752743233357717,0.1587864153294906,0.1523991275899673,0.1420003115750117,0.2292540443379269,0.2279808268424206,0.2246479928100659,0.1935831276643482,0.18851245232218983,0.18851245232218983,0.20115236875800255,0.1591549295774648,0.1591549295774648
coverageCA,0.3081954861467858,0.3081954861467858,0.3035720401383609,0.2973136130395412,0.2982795049803803,0.2938122547539994,0.33581235697940504,0.33352402745995424,0.33352402745995424,0.3590733590733591,0.35135135135135137,0.35135135135135137,0.2675189393939394,0.27178030303030304,0.2677556818181818,0.32,0.344,0.32,0.37243947858473,0.3602317401200083,0.35712807779846883,0.2870919881305638,0.28635014836795253,0.28635014836795253,0.32085643869377695,0.31908502772643255,0.31608133086876156,0.2980573543015726,0.2946037619488128,0.29355534998458216,0.3175030079977352,0.313468752211763,0.3125486587868922,0.29946914399469143,0.2976111479761115,0.2951559389515594
coverageNY,0.2842532922387223,0.2842532922387223,0.2711543849817876,0.24367764414971338,0.24423963133640553,0.23457345172530067,0.3241106719367589,0.33245498462889767,0.3113746157224418,0.29411764705882354,0.37254901960784315,0.3137254901960784,0.37933474876150036,0.35739561217268223,0.35739561217268223,0.15,0.15,0.15,0.4057843996494303,0.37248028045574055,0.37248028045574055,0.2816593886462882,0.32532751091703055,0.2663755458515284,0.28204314720812185,0.2817258883248731,0.27220812182741116,0.286001003512293,0.28763171098845963,0.27032112393376817,0.28196578718469123,0.27602203537257175,0.27196288779356337,0.2863919761452968,0.27419354838709675,0.2703984819734345
coverageTX,0.15368984487287504,0.15368984487287504,0.1508648461119096,0.14963894089328697,0.1509093340465365,0.146964428991709,0.20659340659340658,0.2043956043956044,0.20307692307692307,0.18072289156626506,0.2289156626506024,0.18072289156626506,0.08021978021978023,0.09340659340659341,0.08021978021978023,0.25,0.2,0.2,0.14502164502164502,0.15151515151515152,0.14285714285714285,0.16901408450704225,0.16700201207243462,0.16096579476861167,0.16209447922595333,0.15902105862265226,0.15902105862265226,0.14720856741573032,0.14615519662921347,0.1445751404494382,0.15302602696770148,0.1546984425629769,0.15271244904358733,0.15428840716305373,0.14976437323279926,0.14919886899151744
incomeCA_err,0.003883844242385359,0.003883844242385359,0.003883844242385359,0.005007568960702646,0.005030046642671759,0.005007568960702646,0.018308855865477952,0.01911153953485123,0.018308855865477952,0.04796128059117383,0.05356034459649264,0.04796128059117383,0.009784920981030315,0.009871960976823968,0.009784920981030315,0.052125985160846225,0.05880499387861715,0.052125985160846225,0.009295233046584264,0.009533034002205287,0.009295233046584264,0.018194484868789162,0.019215743805939323,0.018194484868789162,0.0053599955932702725,0.005407439764850641,0.0053599955932702725,0.0055895202937911725,0.0055932141316450135,0.0055895202937911725,0.003955439996833537,0.003956474959477485,0.003955439996833537,0.01814446172361686,0.018334219192394557,0.01814446172361686
incomeNY_err,0.005510404442079647,0.005510404442079647,0.005498972363502469,0.006588098836106615,0.00661141050133679,0.006581149161598937,0.015303344735784707,0.015511522618047585,0.015260933218250172,0.07770844207090485,0.11289786426812848,0.07345808387768453,0.01843655858868215,0.018722231307900822,0.01824044886658968,0.07513556549782623,0.07513556549782623,0.07513556549782623,0.01965886936451211,0.019716842625140507,0.019716842625140507,0.03269707806815064,0.03785458157694932,0.03230469735898189,0.007930120628098475,0.007971524290542875,0.007925803360872535,0.007568350780121608,0.007538233335348199,0.007538233335348199,0.005649704007097661,0.005654633339940707,0.005633609370258474,0.023074659092875593,0.02351916863466591,0.023194646414493036
incomeTX_err,0.004728376622050251,0.004728376622050251,0.004715799709220564,0.005428224902870676,0.005426008469781807,0.005413777951225052,0.014701916413798838,0.014746425602266383,0.014521071277348363,0.06467316527301764,0.08038532193127707,0.06467316527301764,0.02097943272652264,0.02143124833737467,0.021017894661350067,0.08982282227745335,0.110053384628001,0.08982282227745335,0.01569457933482038,0.017053309234807426,0.01579385817386686,0.029351300279788634,0.031119427423142304,0.02977694674661996,0.00664762445583969,0.0066172787658602406,0.0066172787658602406,0.006629056390812155,0.006661089757560745,0.006629056390812155,0.004832860735935474,0.004828029146822871,0.0048218635475549,0.02105501109183,0.021514910531120618,0.020908356045691717
employmentCA_err,0.0029476177236468226,0.0029476177236468226,0.0028771626763541003,0.0037385019117565643,0.003726202340443213,0.0036463509687873485,0.012871105737080418,0.012935349327018397,0.012673229107875411,0.03592983129642993,0.036697126295768184,0.035701649651036255,0.007810385758204641,0.007811452306101058,0.0075414079138590995,0.04414717142751495,0.04615792985605999,0.0451762002264281,0.008276402409849087,0.008293544244859924,0.008175094518665604,0.012055017125743334,0.012090102124684726,0.01174828977038564,0.003946754738487768,0.003917083692560247,0.003803713221195215,0.004327596346353407,0.0043252491408934945,0.004259461657426494,0.0032246318239629035,0.0031832834393379084,0.0031832834393379084,0.0071719331363830074,0.006456914160143906,0.006456914160143906
employmentNY_err,0.004001155107112853,0.004001155107112853,0.0038999281031473487,0.0047231705765678755,0.004707224730033349,0.004589807614138186,0.011186318583189025,0.011161302906147502,0.01084021645065622,0.059568407703883164,0.06206600158065953,0.059568407703883164,0.01452191646299042,0.014633321070837396,0.014243749240331616,0.13914766520613117,0.12675622238002202,0.12675622238002202,0.016710541039420573,0.016696160473962662,0.01655059950953683,0.02242944373964259,0.023055861694949054,0.022528232457463992,0.005527066328363112,0.005530314114748219,0.005363685655170258,0.005719869091727031,0.005722781264324683,0.005591962322201605,0.004394356294922741,0.00434064208818305,0.004339831311900411,0.009536519519918157,0.008624363905473303,0.008620872592334461
