,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP),5 (ERM),5 (G-ERM),5 (PREP),6 (ERM),6 (G-ERM),6 (PREP),7 (ERM),7 (G-ERM),7 (PREP),8 (ERM),8 (G-ERM),8 (PREP),9 (ERM),9 (G-ERM),9 (PREP),10 (ERM),10 (G-ERM),10 (PREP),11 (ERM),11 (G-ERM),11 (PREP)
incomeCA,0.17453599032546402,0.17453599032546402,0.17361585782638414,0.18206061632238402,0.18282255333559091,0.18206061632238402,0.19041986989946777,0.205204021289178,0.19041986989946777,0.1891891891891892,0.22522522522522523,0.1891891891891892,0.1804845887588594,0.1771880665897478,0.1771880665897478,0.16993464052287582,0.24183006535947713,0.16993464052287582,0.12483940042826552,0.12162740899357602,0.12162740899357602,0.1674326986211425,0.175311884438608,0.1674326986211425,0.18115691028749567,0.18115691028749567,0.1791775941412242,0.16703124123618823,0.16989174939704976,0.16731168321274328,0.16953268940874322,0.17081681648149183,0.1688347942605103,0.25541516245487367,0.2536101083032491,0.2509025270758123
incomeNY,0.19304828675817123,0.19304828675817123,0.19062901155327341,0.1980279942080949,0.19789009170516444,0.19589050541267325,0.1941467436108821,0.1863149216817807,0.18425391591096454,0.19672131147540983,0.2786885245901639,0.18032786885245902,0.18593563766388557,0.20023837902264602,0.1871275327771156,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.14388489208633093,0.15557553956834533,0.1447841726618705,0.18061674008810572,0.20044052863436124,0.1894273127753304,0.2099990177782143,0.2099990177782143,0.20823101856399176,0.17591581455375757,0.17283828055197062,0.17283828055197062,0.18824400825353155,0.1889847098037141,0.1869213269139199,0.2601626016260163,0.254249815225425,0.24242424242424243
incomeTX,0.17938057822869785,0.17938057822869785,0.17705393241284614,0.18585373031834013,0.18448030607740226,0.18408789915142001,0.1734527687296417,0.1758957654723127,0.16978827361563517,0.16666666666666666,0.23148148148148148,0.16666666666666666,0.17290836653386454,0.17609561752988048,0.16812749003984065,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.11879049676025918,0.12239020878329733,0.11591072714182865,0.14642857142857144,0.1732142857142857,0.13392857142857142,0.19447031014970273,0.19103216101998424,0.19103216101998424,0.16219303255282697,0.16219303255282697,0.1611324141307008,0.1745902969333117,0.17714587051760505,0.17329222781113093,0.2547892720306513,0.23754789272030652,0.23627075351213284
employmentCA,0.18058159479835653,0.18058159479835653,0.1800896193173508,0.1824036653627542,0.18186337014544748,0.18186337014544748,0.181553911205074,0.1828752642706131,0.181553911205074,0.19922630560928434,0.218568665377176,0.19922630560928434,0.18301969365426696,0.18914660831509847,0.18301969365426696,0.2,0.24285714285714285,0.2,0.17775841411610935,0.1764513669534909,0.1764513669534909,0.14823133071308253,0.15889949466591802,0.14823133071308253,0.14994186203726237,0.14991482112436116,0.14959033016954654,0.2102234081515199,0.21058965102286403,0.20959556322921571,0.18634441850192465,0.1862970909320376,0.18577648766328012,0.14967425332092393,0.15035112953718588,0.1495896437938912
employmentNY,0.17250962494581984,0.17250962494581984,0.1708013564162056,0.17035285558384866,0.16947981084030556,0.16947981084030556,0.17573718583019987,0.18167425291905798,0.172174945576885,0.2204724409448819,0.25984251968503935,0.2283464566929134,0.18053817271589487,0.18335419274092615,0.17928660826032541,0.12,0.2,0.2,0.1728783116299955,0.19443197126178716,0.16883700044903457,0.18528864059590316,0.19553072625698323,0.17225325884543763,0.15334567574715682,0.15382174028034912,0.15101824914043904,0.1903425871234495,0.1904902539870053,0.1892104745028549,0.17607369523692157,0.17465647914227617,0.1746256700967404,0.15540440632855243,0.1539257725861304,0.15244713884370842
employmentTX,0.17048491790759832,0.17048491790759832,0.16932035127911416,0.17143703850048156,0.17109129973081766,0.17030103968587162,0.17133001149865848,0.17592947489459562,0.16864699118436183,0.17346938775510204,0.22448979591836735,0.17346938775510204,0.18166455428812844,0.1854668356569497,0.17997465145754118,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.16291491797024035,0.17588706600534149,0.16444105303319342,0.13094367227505485,0.14118507681053402,0.1324067300658376,0.133743573765384,0.133665680012463,0.13300358311263435,0.20581186339125224,0.2052501497902936,0.204239065308568,0.1725151447161768,0.17119138433924164,0.1711465111061252,0.15889884763124199,0.16030729833546736,0.15889884763124199
coverageCA,0.27586561183602176,0.27586561183602176,0.27586561183602176,0.26326592212496225,0.2636281316027769,0.26326592212496225,0.2986270022883295,0.31292906178489704,0.2986270022883295,0.33976833976833976,0.3667953667953668,0.33976833976833976,0.2526041666666667,0.25923295454545453,0.2526041666666667,0.304,0.36,0.304,0.3335402441547693,0.3393337471549762,0.3335402441547693,0.24851632047477745,0.2789317507418398,0.24851632047477745,0.28835489833641403,0.2886629698089957,0.28835489833641403,0.2658649398704903,0.26765340733888376,0.2658649398704903,0.28515818529266046,0.2867152664732111,0.28515818529266046,0.2671532846715328,0.2710019907100199,0.2671532846715328
coverageNY,0.24901933314653965,0.24901933314653965,0.24488652283552817,0.21422951556704506,0.21715184893784423,0.21175677194559964,0.2995169082125604,0.29600351339481773,0.2828282828282828,0.23529411764705882,0.37254901960784315,0.2549019607843137,0.33828733191790517,0.3503184713375796,0.34111818825194623,0.15,0.15,0.15,0.3041191936897458,0.3540753724802805,0.30499561787905344,0.26419213973799127,0.32532751091703055,0.25327510917030566,0.24888959390862944,0.24666878172588833,0.24666878172588833,0.24912192674360262,0.24586051179126944,0.24347717009533368,0.24992751522180343,0.24601333719918816,0.24369382429689765,0.24817023583627,0.2525074545947411,0.24600162645703444
coverageTX,0.1329236259106904,0.1329236259106904,0.13287406452891906,0.12991441561914951,0.13091735758224124,0.12991441561914951,0.1767032967032967,0.17626373626373626,0.17626373626373626,0.12048192771084337,0.21686746987951808,0.12048192771084337,0.07472527472527472,0.0912087912087912,0.07472527472527472,0.2,0.35,0.2,0.13203463203463203,0.1471861471861472,0.13203463203463203,0.13480885311871227,0.158953722334004,0.13480885311871227,0.13557199772339215,0.1362549800796813,0.135685828116107,0.1308813202247191,0.13237359550561797,0.1307057584269663,0.14267795547193476,0.14382774119368663,0.14246890352252534,0.1241281809613572,0.12704995287464657,0.12422243166823752
incomeCA_err,0.0038580818046667353,0.0038580818046667353,0.003849876122024032,0.0049674048616094035,0.004975683517565721,0.0049674048616094035,0.018356949101886233,0.01893515203269386,0.018356949101886233,0.046894024781894805,0.05092316298706279,0.046894024781894805,0.009663574296912558,0.009590549082360678,0.009590549082360678,0.052125985160846225,0.06208506409669581,0.052125985160846225,0.009353796831656672,0.009243495070890173,0.009243495070890173,0.018257784846084563,0.018628866522828635,0.018257784846084563,0.005355313211343776,0.005355313211343776,0.005331756169324187,0.005512200033869791,0.005550779570668102,0.005516008235910197,0.003928052362018208,0.003940103104468684,0.00392146851699296,0.01807572464457069,0.018029380772050713,0.01795907894174642
